"transitionStartRule","label","uuid:ID","description","transitionEndRule","id","name"
"","Screening 1","de9417c9-1ad8-4404-ada6-cebd13f5271b","Screening encounter","","Encounter_1","E1"
"","Screening 2","3a8b397f-c6e0-441c-874c-e71d3feabc50","Screening encounter - Ambulatory ECG Placement","","Encounter_2","E2"
"","Baseline","9ed4d344-be97-4a9d-a5ea-39771976c72c","Baseline encounter - Ambulatory ECG Removal","","Encounter_3","E3"
"","Week 2","a3b52be1-54e8-439f-81af-047296d5c188","Day 14","","Encounter_4","E4"
"","Week 4","2477f5b7-38d6-422d-958c-4cd4d84338c6","Day 28","","Encounter_5","E5"
"","Week 6","cb04fa0e-ce70-4b61-820f-9b4ee02fb9e6","Day 42","","Encounter_6","E7"
"","Week 8","c96a9212-c624-4762-972e-b8105ad906a6","Day 56","","Encounter_7","E8"
"","Week 12","e5327ba8-d90f-4d6a-9837-bee8e7e432be","Day 84","","Encounter_8","E9"
"","Week 16","02a7943a-92c7-4bb9-968b-f06ee9addb15","Day 112","","Encounter_9","E10"
"","Week 20","8bb87443-1b7c-4653-bdf6-c04d9d4debbb","Day 140","","Encounter_10","E11"
"","Week 24","161a220d-1cc3-4a6a-bc7f-30eb3f4c1bfc","Day 168","","Encounter_11","E12"
"","Week 26","2ce3c0e3-3621-4909-89df-0ee7f4da5a98","Day 182","","Encounter_12","E13"
