"timingWindowLower","timingWindowUpper","label","uuid:ID","description","id","timingWindow","name","timingValue"
"","","Screening","cdb29e68-e574-4a3a-9cd4-49200a56448a","Screening timing","Timing_1","","TIM1","P2W"
"PT4H","PT0H","Pre dose","f5010d42-958b-4b12-a40a-328a0861c3d2","Pre dose timing","Timing_2","-4..0 hours","TIM2","P2D"
"","","Dosing","703e88df-9d82-4ad8-ab56-7bd8f4b8e0d1","Dosing anchor","Timing_3","","TIM3","P1D"
"P3D","P3D","Week 2","172c0e02-fa02-45d0-b15d-3595668e71c7","Week 2 timing","Timing_4","-3..3 days","TIM4","P2W"
"P3D","P3D","Week 4","743dfe4d-aa0d-49a0-b626-808ed52f8970","Week 4 timing","Timing_5","-3..3 days","TIM5","P4W"
"P3D","P3D","Week 6","9fc63a2f-f214-4967-8a14-a0baaf62623c","Week 6 timing","Timing_6","-3..3 days","TIM6","P6W"
"P3D","P3D","Week 8","b7dfd878-b7ed-4705-93fe-6c5eef6f3add","Week 8 timing","Timing_7","-3..3 days","TIM7","P8W"
"","","Week 8 Home","7d8674c9-2378-4ebb-b462-f573ec993590","Week 8 at home timing","Timing_8","","TIM8","P2W"
"P4D","P4D","Week 12","d29c6a80-46a4-4c3b-9889-5d4fa01d211b","Week 12 timing","Timing_9","-4..4 days","TIM9","P12W"
"","","Week 12 Home","64649ead-f842-4d50-9d4a-92c944ab1c08","Week 12 at home timing","Timing_10","","TIM10","P2W"
"P4D","P4D","Week 16","36a7fb87-df80-49b1-aa0e-6ca672dd44c3","Week 16 timing","Timing_11","-4..4 days","TIM11","P16W"
"","","Week 16 Home","63c30fac-a5e8-4b33-a061-c010ba19b7fc","Week 16 at home timing","Timing_12","","TIM12","P2W"
"P4D","P4D","Week 20","ab4d6122-02e0-4012-8ba5-a5e415431996","Week 20 timing","Timing_13","-4..4 days","TIM13","P20W"
"","","Week 20 Home","993b9c22-1008-4f22-8827-c2f3908ac8aa","Week 20 at home timing","Timing_14","","TIM14","P2W"
"P4D","P4D","Week 24","3d2c9af6-1d4a-42ed-9c77-2376ff4d7b38","Week 24 timing","Timing_15","-4..4 days","TIM15","P24W"
"P3D","P3D","Week 26","15e4b4a0-8ff9-4e92-a0e0-aaca319c7f7d","Week 26 timing","Timing_16","-3..3 days","TIM16","P26W"
"","","Adverse Event","3b396206-d56c-433b-af98-e36e741eb76a","Adverse Event","Timing_17","","TIM17","P1D"
"","","Early Termination","99f36ae8-1ee1-4cea-b7ad-9ce6fa5f26f0","Early Termination","Timing_18","","TIM18","P1D"
"","","BP Anchor","3387eeaa-7bf1-4cc9-80b5-d592266fd0e7","BP Anchor","Timing_19","","TIM19","PT0M"
"","","BP while Supine","2aa7c1c0-ea3a-4e98-ab43-88b842001121","BP while Supine","Timing_20","","TIM20","PT5M"
"PT2M","PT0M","BP Stand Up","62da4a3e-c53b-4344-a239-9c34fafd05f7","BP Stand Up","Timing_21","-2..0 mins","TIM21","PT3M"
"","","BP while standing","33ffded3-8337-4d5e-b65d-1a93e0e9dc70","BP while standing","Timing_22","","TIM22","PT0M"
