"description","label","id","name","uuid:ID","text"
"","","TransitionRule_1","ENCOUNTER_START_RULE_1","54efef07-12f6-4f1c-b6fa-c2469e7622e9","Subject identified"
"","","TransitionRule_2","ENCOUNTER_START_RULE_1","bd0d5cbd-8066-49cd-a195-fa9bb61c3c83","IEs passed"
"","","TransitionRule_3","ENCOUNTER_START_RULE_3","2456cafe-6247-42bc-9f45-d6aca0e1cdfd","Radomized"
"","","TransitionRule_4","ELEMENT_START_RULE_1","7d65b963-25a4-43b7-97f6-4ad42b7dcb36","Study Start"
"","","TransitionRule_5","ELEMENT_END_RULE_1","372228e0-9ff3-445e-8226-151d2f8127a6","Screened"
"","","TransitionRule_6","ELEMENT_START_RULE_2","e87d2bbd-222a-4811-8ccf-d56d479f2feb","Screened"
"","","TransitionRule_7","ELEMENT_END_RULE_2","883653ff-4bb9-4e47-9957-70d2eb0aff2c","Radomized"
"","","TransitionRule_8","ELEMENT_START_RULE_3","da94d667-8819-4e97-87da-37861bd8b722","Radomized"
"","","TransitionRule_9","ELEMENT_END_RULE_3","64d3a558-c886-4002-a629-a82d87362461","Completed treatment 1"
"","","TransitionRule_12","ELEMENT_START_RULE_5","349b36b3-9903-4cf8-80a4-4b9e155bb1b6","Radomized"
"","","TransitionRule_13","ELEMENT_END_RULE_5","7268fb5e-46ef-4354-9c79-e04dc13114d6","Completed treatment 2"
"","","TransitionRule_10","ELEMENT_START_RULE_4","9369c1cd-b0f8-44a8-b2a3-cc1786183233","Treated"
"","","TransitionRule_11","ELEMENT_END_RULE_4","4c484102-cc19-4842-b03e-5e3f959c2ee3","Leave Study"
