"id","sectionTitle","name","sectionNumber","uuid:ID","text"
"NarrativeContent_1","Root","ROOT","0","32f0020b-3204-4cf5-bba6-82ca042bc168",""
"NarrativeContent_2","PROTOCOL SUMMARY","SECTION 1","1","6afba322-a2eb-4093-9ee0-067df8664e87","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>"
"NarrativeContent_3","Protocol Synopsis","SECTION 1.1","1.1","4763abd8-1983-4f81-b927-9a0839ce8d07","<div></div>"
"NarrativeContent_4","Trial Schema","SECTION 1.2","1.2","4d80a1a9-efe8-4621-a984-a3fd2bc351fb","<div></div>"
"NarrativeContent_5","Schedule of Activities","SECTION 1.3","1.3","3c4a59d6-e1fa-4c26-9d7b-d078007e6d4a","<div></div>"
"NarrativeContent_6","INTRODUCTION","SECTION 2","2","a43198c5-f78b-490a-a2d1-cc163e432669","<div></div>"
"NarrativeContent_7","Purpose of Trial","SECTION 2.1","2.1","821bf318-ce89-4fbe-b555-c2226d21c47f","<div></div>"
"NarrativeContent_8","Summary of Benefits and Risks","SECTION 2.2","2.2","ede2b9b5-219d-4469-b03b-da0e0e402767","<div></div>"
"NarrativeContent_9","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","3","e95c2b72-753a-4a27-b030-257d72fd36cd","<div></div>"
"NarrativeContent_10","Primary Objectives","SECTION 3.1","3.1","521c67f3-c154-4cae-b15d-40fd1b8878c0","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>"
"NarrativeContent_11","TRIAL DESIGN","SECTION 4","4","3aceb304-2cb8-40dd-ae90-a2390cec8bc5","<div></div>"
"NarrativeContent_12","Description of Trial Design","SECTION 4.1","4.1","a3e18f3b-65e1-471a-a2f4-7b2f5405b7bb","<div></div>"
"NarrativeContent_13","Participant Input into Design","SECTION 4.1.1","4.1.1","909a2d68-e718-4393-807d-6efb34eef387","<div></div>"
"NarrativeContent_14","Rationale for Trial Design","SECTION 4.2","4.2","5bac7584-345b-424a-a0d8-630a6fc49072","<div></div>"
"NarrativeContent_15","Rationale for Comparator","SECTION 4.2.1","4.2.1","f85a81a7-41b5-4fa4-bc78-3a12dee058c6","<div></div>"
"NarrativeContent_16","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","4.2.2","ae9ceae6-e178-42ae-a5aa-a5876663fb26","<div></div>"
"NarrativeContent_17","Other Trial Design Considerations","SECTION 4.2.3","4.2.3","2e836646-b978-474f-9646-9907cecf320f","<div></div>"
"NarrativeContent_18","Access to Trial Intervention After End of Trial","SECTION 4.3","4.3","fc042d76-41e8-4c5d-94ab-6bb97beeea1a","<div></div>"
"NarrativeContent_19","Start of Trial and End of Trial","SECTION 4.4","4.4","4a30b27b-4543-42e5-8937-0cc4fe44e90c","<div></div>"
"NarrativeContent_20","TRIAL POPULATION","SECTION 5","5","88dd1837-00a6-4782-ad73-d2787763136d","<div></div>"
