"instanceType","description","label","id","purpose","name","uuid:ID","text"
"ENDPOINT","","","Endpoint_1","","END1","79c79da2-921e-4c78-b9df-7baa02358fb8","Clinical status assessed using a 7-category ordinal scale at Day 28"
"ENDPOINT","","","Endpoint_2","","END2","a49cd166-53e8-417d-a731-91350a0ccbf5","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours"
"ENDPOINT","","","Endpoint_3","","END3","542f2a94-c768-4831-bae5-12c8ef6b6fb2","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status"
"ENDPOINT","","","Endpoint_4","","END4","9b9ec19e-afa1-4d2d-8c5b-82a1cc36520e","Incidence of mechanical ventilation"
"ENDPOINT","","","Endpoint_5","","END5","05fff555-c747-4180-94c3-365d847a24a1","Ventilator-free days to Day 28"
"ENDPOINT","","","Endpoint_6","","END6","bbbbf543-0bf4-4ede-931b-40cf0aee3a07","Incidence of intensive care unit (ICU) stay"
"ENDPOINT","","","Endpoint_7","","END7","d036b6d8-7a28-4ad2-8ec3-401deb66d456","Duration of ICU stay"
"ENDPOINT","","","Endpoint_8","","END8","12149f2f-9bc3-4e3a-8b4c-5ad65d3eda47","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death."
"ENDPOINT","","","Endpoint_9","","END9","3d60f0a4-5711-44eb-9fe2-759fb008b3cb","Mortality rate at Days 7, 14, 21, 28, and 60"
"ENDPOINT","","","Endpoint_10","","END10","67c89eea-d380-49f4-b2d7-d5eb3764b2cb","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)"
"ENDPOINT","","","Endpoint_11","","END11","4ce4e791-42d4-4cdf-8cbf-1538d46fa321","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen"
"ENDPOINT","","","Endpoint_12","","END12","cb6be2ec-83e3-469d-88fc-c9238dab4c38","Duration of supplemental oxygen"
