"id:ID","bcReference","bcSynonyms","id","uuid","label","name"
"690","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_18","9a11eda2-8713-4f84-995e-897909e38d21","Body Temperature","Body Temperature"
"691","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_19","a477ef0a-9ad6-4aff-a8f9-cfc873ba0285","Body Weight","Body Weight"
"692","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_20","04fe6aa2-9eae-4404-a226-395e5b827108","Body Height","Body Height"
"693","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_21","02ea9f6f-b153-48c6-b3b2-6aff8d6fc4c0","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"694","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_22","da40853f-a660-4ff1-a477-c46f7e4e5217","Albumin Measurement","Albumin Measurement"
"695","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_23","001e3fbc-dbcd-4cd0-b99c-8982ad510b74","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"696","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_24","cf086400-471b-455c-981d-adf62da06d69","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"697","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_25","5558ae8b-8ff2-47bf-ba29-8181fa8b38af","Creatinine Measurement","Creatinine Measurement"
"698","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_26","e9f1175b-4739-4032-985a-a8b4c1efa0c9","Potassium Measurement","Potassium Measurement"
"699","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_27","8a21be8e-cf78-4e03-8c2f-0e3442dda75d","Sodium Measurement","Sodium Measurement"
"700","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1","27fe0a7b-d489-471c-93f9-524260575023","Adverse Event","Adverse Event"
"701","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_2","4703e4c8-3017-4a9f-a902-4a16b1d0ecf7","Systolic Blood Pressure","Systolic Blood Pressure"
"702","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_3","6be5144b-7cb0-4d00-ab69-76eb95e668d7","Diastolic Blood Pressure","Diastolic Blood Pressure"
"703","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_4","b40f75c3-dbbe-4a63-9f85-d9a6d51a388b","Body Temperature","Body Temperature"
"704","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_5","3d34e040-1c57-42c5-9845-c44427ce3480","Body Weight","Body Weight"
"705","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_6","de591fcc-31a5-4879-8ee8-b35b1265ccb1","Body Height","Body Height"
"706","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_7","5eb9b287-2a3a-4f59-8713-180d2e627c0d","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"707","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_8","21c3b312-12e0-404d-b6db-eae7d58aa533","Albumin Measurement","Albumin Measurement"
"708","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_9","05c9e3c1-83c6-428b-a848-b71b803a3a4f","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"709","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_10","a07fff75-18ad-4935-a2d7-05772164b1d6","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"710","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_11","2edb25cb-043f-4799-85a4-b88823b1a0f2","Creatinine Measurement","Creatinine Measurement"
