"id:ID","text","uuid","id","description","label","name"
"480","Subject identifier","2ce7ef25-bb1f-4169-af94-fbfd4f2596c0","TransitionRule_1","","","ENCOUNTER_START_RULE_1"
"481","completion of screening activities","6da7bbe6-0606-4000-9870-26de29a72695","TransitionRule_2","","","ENCOUNTER_START_RULE_1"
"482","subject leaves clinic after connection of ambulatory ECG machine","943ddef3-5734-402e-92e5-b12036cff2ed","TransitionRule_3","","","ENCOUNTER_START_RULE_2"
"483","subject has connection of ambulatory ECG machine removed","294b35bb-aa1e-420b-baff-2c79e5eecd85","TransitionRule_4","","","ENCOUNTER_START_RULE_3"
"484","Radomized","907b703a-8d0a-4673-a949-62f684ac163c","TransitionRule_5","","","ENCOUNTER_START_RULE_3"
"485","End of treatment","a2cb88af-b519-42f6-af4d-1d2f4b1bf367","TransitionRule_6","","","ENCOUNTER_START_RULE_12"
"486","Informed consent","3920fec8-b8a4-4999-ac6c-a0d25bcdf0e8","TransitionRule_7","","","ELEMENT_START_RULE_1"
"487","Completion of all screening activities and no more than 2 weeks from informed consent","0ba0b122-0930-413e-bbea-1685ba77c8d3","TransitionRule_8","","","ELEMENT_END_RULE_1"
"488","Administration of first dose","410b9e58-2760-484a-bc0d-f22582ee7151","TransitionRule_9","","","ELEMENT_START_RULE_2"
"489","End of last scheduled visit on study (including early termination)","1f4fd957-f050-4137-83c3-af5e4b2097b8","TransitionRule_14","","","ELEMENT_START_RULE_7"
"490","Completion of all specified followup activities (which vary on a patient-by-patient basis)","17dc6840-1864-44e7-a808-e4070b409111","TransitionRule_15","","","ELEMENT_END_RULE_7"
"491","Administration of first dose","c3222b1d-3e46-4d5f-824f-5393ff0e532b","TransitionRule_10","","","ELEMENT_START_RULE_3"
"492","Randomized","77f38d87-8703-4a26-93d7-2469994a072b","TransitionRule_11","","","ELEMENT_START_RULE_4"
"493","Administration of first dose (from patches supplied at Visit 4)","56eeff77-4e20-4f0a-b26d-5dd23ad3f27c","TransitionRule_12","","","ELEMENT_START_RULE_5"
"494","Administration of first dose (from patches supplied at Visit 12)","a8bad9b7-dda3-43df-a8d1-a5343cde1482","TransitionRule_13","","","ELEMENT_START_RULE_6"
