"id:ID","decode","codeSystemVersion","uuid","id","codeSystem","code"
"1","Interventional Study","2023-09-29","1b161ea6-1693-48ed-aeee-df2ce6a454f0","Code_1","http://www.cdisc.org","C98388"
"2","Phase II Trial","2023-09-29","2ab4c815-fb07-47a9-a223-b29ddd5d64a2","Code_2","http://www.cdisc.org","C15601"
"3","Sponsor Approval Date","2023-09-29","90062a5d-7dc2-42fc-8223-708ee115fc1d","Code_5","http://www.cdisc.org","C132352"
"4","Global","2023-09-29","d4a0f09a-0440-4342-a39c-cfa8e0c4a5ef","Code_6","http://www.cdisc.org","C68846"
"5","IRB/IEC Feedback","2023-09-29","a554c462-cf49-48b7-a838-34cb232ad644","Code_54","http://www.cdisc.org","C99904x3"
"6","Other","2023-09-29","d6fdd054-1f82-409a-8920-34f317f3c642","Code_55","http://www.cdisc.org","C17649"
"7","Region","2023-09-29","ec59f182-f8af-499e-b3c8-ef6344a92338","Code_57","http://www.cdisc.org","C41129"
"8","Europe","2020-08","39315b47-9cfe-4570-8334-fbf8890aa8eb","Code_56","ISO 3166 1 alpha3","150"
"9","Country","2023-09-29","0f42b0ce-0c26-44a9-adb9-f6676ccaae28","Code_59","http://www.cdisc.org","C25464"
"10","Denmark","2020-08","bc067e4f-f9c7-4602-a1e8-e38566025b12","Code_58","ISO 3166 1 alpha3","DNK"
"11","Eli Lilly","12","1af7e953-a962-45cf-bb41-e2f12f975883","Code_3","SPONSOR","PHARMA"
"12","Clinical Study Sponsor","2023-09-29","963efb6d-025e-4179-86e1-5a789a31067f","Code_60","http://www.cdisc.org","C70793"
"13","United States of America","2020-08","f96bbf20-2731-420c-a37f-6e42351f599b","Code_61","ISO 3166 1 alpha3","USA"
"14","Study Registry","2023-09-29","135b4d0e-9ffc-49d7-a297-d1d496964cbb","Code_62","http://www.cdisc.org","C93453"
"15","Treatment Study","2023-09-29","4fed26ce-97b0-49fa-942e-4dc77ede9a11","Code_120","http://www.cdisc.org","C49656"
"16","Efficacy Study","2023-09-29","dbaecaa7-a515-484e-be51-928288e8cbd4","Code_121","http://www.cdisc.org","C49666"
"17","Safety Study","2023-09-29","557d7828-7974-4260-bc98-bb521347df78","Code_122","http://www.cdisc.org","C49667"
"18","Pharmacokinetic Study","2023-09-29","b4b23d97-0801-4c06-8e62-2ee55550d8c7","Code_123","http://www.cdisc.org","C49663"
"19","Mild to Moderate Alzheimer\'s Disease","12","e20281b0-171b-4bff-888e-117c94455bb5","Code_117","SPONSOR","MILD_MOD_ALZ"
"20","Alzheimer\'s disease","January 31, 2018","96eedf24-8153-4eba-b02e-90b3d6b612ae","Code_118","SNOMED","26929004"
"21","Parallel Study","2023-09-29","01301111-f179-41ba-807e-aa0ea739c1c8","Code_124","http://www.cdisc.org","C82639"
"22","Visit","2023-09-29","6b305a8e-b771-45c5-ab73-60951f50d76c","Code_66","http://www.cdisc.org","C25716"
"23","Clinic","2023-09-29","03c1fba8-14c2-48a5-a525-0ae736603c10","Code_67","http://www.cdisc.org","C51282"
"24","In Person","2023-09-29","24f58c29-9546-4566-9277-73ad6b9ada6d","Code_68","http://www.cdisc.org","C175574"
"25","Visit","2023-09-29","1af79154-84fa-4f61-8544-74e423796a9b","Code_69","http://www.cdisc.org","C25716"
"26","Clinic","2023-09-29","72917db8-3df0-4451-b6bf-1d39c4659f60","Code_70","http://www.cdisc.org","C51282"
"27","In Person","2023-09-29","c672c634-8600-4b97-aac3-82183b8e9f92","Code_71","http://www.cdisc.org","C175574"
"28","Visit","2023-09-29","3444f221-b44a-4bc6-97b5-c63f646dbc68","Code_72","http://www.cdisc.org","C25716"
"29","Clinic","2023-09-29","267c9748-4d16-4eb4-ab2d-72d45d3d168c","Code_73","http://www.cdisc.org","C51282"
"30","In Person","2023-09-29","8690b3b4-8a75-4350-9432-efd5f549dc78","Code_74","http://www.cdisc.org","C175574"
"31","Visit","2023-09-29","6eb63be9-f32a-47eb-8fa8-d97562a5d991","Code_75","http://www.cdisc.org","C25716"
"32","Clinic","2023-09-29","042726ce-990a-41b4-9d5a-ef5a906fa412","Code_76","http://www.cdisc.org","C51282"
"33","In Person","2023-09-29","d943ccaf-b4d3-48e8-ad39-e548446d17a5","Code_77","http://www.cdisc.org","C175574"
"34","Visit","2023-09-29","9a4ef9ee-26ae-483b-a4b9-eae6ea9aeeff","Code_78","http://www.cdisc.org","C25716"
"35","Clinic","2023-09-29","3b6a7ffd-fbc5-43f1-873a-2cdc1d839095","Code_79","http://www.cdisc.org","C51282"
"36","In Person","2023-09-29","cbe926b2-70a6-4018-8fb7-a6b4b816d0ef","Code_80","http://www.cdisc.org","C175574"
"37","Visit","2023-09-29","4259d6f0-16cd-4748-9839-38ebcbdc20c1","Code_81","http://www.cdisc.org","C25716"
"38","Clinic","2023-09-29","757a50ec-e391-4875-aa1f-144dc573c550","Code_82","http://www.cdisc.org","C51282"
"39","In Person","2023-09-29","1116289a-bc6a-4ea8-974a-d54ea5a2567f","Code_83","http://www.cdisc.org","C175574"
"40","Visit","2023-09-29","62d0549f-5b03-4341-bbf5-9c3099912234","Code_84","http://www.cdisc.org","C25716"
"41","Clinic","2023-09-29","43832292-7395-4cdc-bc9a-7f19e90f1059","Code_85","http://www.cdisc.org","C51282"
"42","In Person","2023-09-29","0d86f82e-d558-4231-8929-0e6c61ff8ca7","Code_86","http://www.cdisc.org","C175574"
"43","Telephone Call","2023-09-29","5c636603-b284-46f0-bcc2-865127d470f6","Code_87","http://www.cdisc.org","C171537"
"44","Visit","2023-09-29","a7272647-4cbb-4742-a596-3b59e6cc81a2","Code_88","http://www.cdisc.org","C25716"
"45","Clinic","2023-09-29","a7b7def6-04e0-4794-8f58-8b9b5668bb4f","Code_89","http://www.cdisc.org","C51282"
"46","In Person","2023-09-29","85691672-0e69-4cd2-8a61-5d270776c75c","Code_90","http://www.cdisc.org","C175574"
"47","Telephone Call","2023-09-29","f53a5637-506c-4e06-a032-c0a41739e790","Code_91","http://www.cdisc.org","C171537"
"48","Visit","2023-09-29","481fccb9-cf05-49b1-a434-564fc62f4cb9","Code_92","http://www.cdisc.org","C25716"
"49","Clinic","2023-09-29","80928b73-f2cf-44c6-9d0b-400f37bd94b8","Code_93","http://www.cdisc.org","C51282"
"50","In Person","2023-09-29","79075113-6f1a-4ea9-a70a-763f207fd4fa","Code_94","http://www.cdisc.org","C175574"
"51","Telephone Call","2023-09-29","e14a6bae-8323-41ca-bd38-9a487eb917c6","Code_95","http://www.cdisc.org","C171537"
"52","Visit","2023-09-29","01d3e5e7-d484-4a9a-a58a-0b85ddbb15ea","Code_96","http://www.cdisc.org","C25716"
"53","Clinic","2023-09-29","99a25568-f7fc-4809-a762-74a50fab481b","Code_97","http://www.cdisc.org","C51282"
"54","In Person","2023-09-29","431bfda7-eb75-417d-a22e-f069a0fd3238","Code_98","http://www.cdisc.org","C175574"
"55","Telephone Call","2023-09-29","b2865349-f002-4b30-8c66-fd3c26104457","Code_99","http://www.cdisc.org","C171537"
"56","Visit","2023-09-29","0af377a4-62a5-46ab-80a3-81523c0c0a37","Code_100","http://www.cdisc.org","C25716"
"57","Clinic","2023-09-29","5c84c1f0-b033-48e3-ada6-3f69f3a14152","Code_101","http://www.cdisc.org","C51282"
"58","In Person","2023-09-29","a25bd1b2-2a54-4142-95a3-9356c1686946","Code_102","http://www.cdisc.org","C175574"
"59","Visit","2023-09-29","8d5a33a8-f9c0-4d14-823a-8487b973e98a","Code_103","http://www.cdisc.org","C25716"
"60","Clinic","2023-09-29","0383db78-22f2-4284-b874-8d4f46989770","Code_104","http://www.cdisc.org","C51282"
"61","In Person","2023-09-29","ca64bcb6-f6de-483c-ae90-f7fa33dbbb60","Code_105","http://www.cdisc.org","C175574"
"62","CT of head without contrast","January 31, 2018","3c2a7e32-2ca8-4864-8a5f-b5f0bb6c8ece","Code_63","SNOMED","383371000119108"
"63","Supine for 5 minutes","12","0ddb3f70-e850-451d-8fdd-65af9d3a93db","Code_64","SPONSOR","123"
"64","Standingfor 1-3 minutes","12","10612e8f-67ea-4a61-adbf-d4339575e052","Code_65","SPONSOR","124"
"65","Vital Signs Result","","4edc19e8-461b-490b-b1ae-11e1ff155828","Code_244","NCI Thesaurus","C173522"
"66","Kelvin","2023-09-29","ed2708f4-1605-47af-aa3f-de762ed9ccc4","Code_245","http://www.cdisc.org","C42537"
"67","Unit of Temperature","","d369ecff-13c9-448d-8197-d08e5353f245","Code_246","NCI Thesaurus","C44276"
"68","Vital Signs Location","","9acaf775-57b8-4106-97cd-ea38988b1357","Code_247","NCI Thesaurus","C83088"
