"id:ID","sectionTitle","text","id","uuid","sectionNumber","name"
"822","Root","","NarrativeContent_1","83d62afc-c08b-4109-9085-c9109d60d75c","0","ROOT"
"823","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","ed957437-c1ea-4356-846a-dc1a0c22cf15","0","SECTION 0"
"824","PROTOCOL SUMMARY","<div></div>","NarrativeContent_3","161252c8-9e86-440b-ae90-46db29851929","1","SECTION 1"
"825","Protocol Synopsis","<div></div>","NarrativeContent_4","aaca61e7-5f70-4267-8e03-18517223952c","1.1","SECTION 1.1"
"826","Trial Schema","<div></div>","NarrativeContent_5","10d52169-3321-4ade-b8da-ccda1bf077e1","1.2","SECTION 1.2"
"827","Schedule of Activities","<div></div>","NarrativeContent_6","d0d51bf8-d159-473d-b1e0-166a42a89db2","1.3","SECTION 1.3"
"828","INTRODUCTION","<div></div>","NarrativeContent_7","0b83df44-1da4-4eb3-aada-c3e879290767","2","SECTION 2"
"829","Purpose of Trial","<div></div>","NarrativeContent_8","ce7dd328-2a72-421c-94c8-199efbb88f26","2.1","SECTION 2.1"
"830","Summary of Benefits and Risks","<div></div>","NarrativeContent_9","166870f7-f635-4294-9615-b96dca46c5bc","2.2","SECTION 2.2"
"831","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","NarrativeContent_10","2fcb2df5-de59-4531-b0cd-945959e71ec7","3","SECTION 3"
"832","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","6c5e99ca-1066-4975-a48c-40a95a88b8de","3.1","SECTION 3.1"
"833","TRIAL DESIGN","<div></div>","NarrativeContent_12","ac36d619-d4d8-462a-a80e-34c1edcd13be","4","SECTION 4"
"834","Description of Trial Design","<div></div>","NarrativeContent_13","40092785-2cb7-439b-80d4-0e748b0b924e","4.1","SECTION 4.1"
"835","Participant Input into Design","<div></div>","NarrativeContent_14","daeaa47f-e0c6-4936-91ab-fce7705d126c","4.1.1","SECTION 4.1.1"
