"id:ID","bcPropertyRequired","bcPropertyDatatype","bcPropertyEnabled","bcPropertyResponseCodes","id","uuid","label","name"
"546","True","decimal","True","[]","BiomedicalConceptProperty_86","3e92d303-7a3c-41d0-8563-250a7a0d7c67","Vital Signs Result","Vital Signs Result"
"547","True","string","True","","BiomedicalConceptProperty_87","de6c8f9f-8428-4c1f-b19a-2d8719e92f69","Unit of Temperature","Unit of Temperature"
"548","True","string","True","[]","BiomedicalConceptProperty_88","ead1ca7f-5bdb-4b5e-80de-8715ebc45886","Vital Signs Location","Vital Signs Location"
"549","True","decimal","True","[]","BiomedicalConceptProperty_89","cc26a773-9c47-41e7-942a-bbc439a2810f","Vital Signs Result","Vital Signs Result"
"550","True","string","True","","BiomedicalConceptProperty_90","56c84775-b0b8-406f-859e-292698491c6c","Unit of Weight","Unit of Weight"
"551","True","decimal","True","[]","BiomedicalConceptProperty_91","2f4c3645-6182-45e7-84fe-c6665dad6e1e","Vital Signs Result","Vital Signs Result"
"552","True","string","True","","BiomedicalConceptProperty_92","b86ac2b5-b1c8-47ad-9c32-07e51774d6e2","Unit of Height","Unit of Height"
"553","True","decimal","True","[]","BiomedicalConceptProperty_93","8bdb3f42-22fa-49bd-b7a0-f7ca4e0fa7f0","Laboratory Test Result","Laboratory Test Result"
"554","True","boolean","True","[]","BiomedicalConceptProperty_94","96714b15-79f1-4481-b81c-e440b2eaf401","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"555","True","string","True","[]","BiomedicalConceptProperty_95","39df54e8-e429-4d01-a5e9-3f0d296d0c97","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
"556","True","string","True","[]","BiomedicalConceptProperty_96","686f0347-03e3-4e67-a2bd-dca711b3baad","Biospecimen Type","Biospecimen Type"
"557","True","string","True","[]","BiomedicalConceptProperty_97","3746c993-4f2e-4a52-9762-ce47e7a57e38","Laboratory Test Result","Laboratory Test Result"
"558","True","boolean","True","[]","BiomedicalConceptProperty_98","5dc4435c-5743-45c6-be68-be0d2facdf4b","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"559","True","string","True","[]","BiomedicalConceptProperty_99","bacc17c0-ac23-4063-920b-7df7b73aaf49","Unit of Concentration","Unit of Concentration"
"560","True","string","True","[]","BiomedicalConceptProperty_100","aa5e62e4-0d47-41a7-bd89-9c959b976905","Biospecimen Type","Biospecimen Type"
"561","True","decimal","True","[]","BiomedicalConceptProperty_101","16730e57-3ebb-46f4-9073-95a3218bdd80","Laboratory Test Result","Laboratory Test Result"
"562","True","boolean","True","[]","BiomedicalConceptProperty_102","ca4e039e-10ba-4afa-95a8-1822d646950d","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"563","True","string","True","[]","BiomedicalConceptProperty_103","91cf312d-33a7-45f9-8ac2-663789321dfb","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
"564","True","string","True","[]","BiomedicalConceptProperty_104","e37657fc-5466-4ae1-b2b1-739848e46b46","Biospecimen Type","Biospecimen Type"
"565","True","decimal","True","[]","BiomedicalConceptProperty_105","95db7c78-8008-411d-a640-d5eb767b905c","Laboratory Test Result","Laboratory Test Result"
"566","True","boolean","True","[]","BiomedicalConceptProperty_106","f439a26f-d28f-460f-9370-c0e74730b8ab","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"567","True","string","True","[]","BiomedicalConceptProperty_107","184ee2d5-3582-4b3e-8245-40ac3a9fa2be","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
"568","True","string","True","[]","BiomedicalConceptProperty_108","813a01b5-729d-4c94-8bbe-93abcc66a97f","Biospecimen Type","Biospecimen Type"
