"id:ID","timingValue","timingWindow","timingWindowUpper","timingWindowLower","id","uuid","description","label","name"
"766","P2W","","","","Timing_1","ae91a5d5-dfc1-4b6f-b326-c176fc058930","Screening timing","Screening","TIM1"
"767","P2D","-4..0 hours","PT0H","PT4H","Timing_2","a17bc5e4-8800-46f5-aad8-5191c6e1d429","Pre dose timing","Pre dose","TIM2"
"768","P1D","","","","Timing_3","33da13f1-8274-4150-b66e-b0779fba369d","Dosing anchor","Dosing","TIM3"
"769","P2W","-3..3 days","P3D","P3D","Timing_4","733e00b4-ac20-4653-9d24-1973c7c3c51d","Week 2 timing","Week 2","TIM4"
"770","P4W","-3..3 days","P3D","P3D","Timing_5","6a6f0790-2d65-4ddf-b0e1-9b5572f01c44","Week 4 timing","Week 4","TIM5"
"771","P6W","-3..3 days","P3D","P3D","Timing_6","c34fedd5-5e9b-4294-b6dc-49339b3573f2","Week 6 timing","Week 6","TIM6"
"772","P8W","-3..3 days","P3D","P3D","Timing_7","97555ef5-f865-4d2b-986a-68b62a617d4f","Week 8 timing","Week 8","TIM7"
"773","P2W","","","","Timing_8","d4842037-5b0a-45f2-80d2-9ee93310f4f3","Week 8 at home timing","Week 8 Home","TIM8"
"774","P12W","-4..4 days","P4D","P4D","Timing_9","5e8b904f-7922-4e39-9232-a3e6c88d7006","Week 12 timing","Week 12","TIM9"
"775","P2W","","","","Timing_10","29b296ba-c255-4ea7-b06c-69529dcf9c6a","Week 12 at home timing","Week 12 Home","TIM10"
"776","P16W","-4..4 days","P4D","P4D","Timing_11","f991d206-01d0-425f-b09a-b33a495375c7","Week 16 timing","Week 16","TIM11"
"777","P2W","","","","Timing_12","6cf71fb0-d431-46fc-b406-98e68768e120","Week 16 at home timing","Week 16 Home","TIM12"
"778","P20W","-4..4 days","P4D","P4D","Timing_13","ca35d6d3-9081-48d5-b114-52c19065491e","Week 20 timing","Week 20","TIM13"
"779","P2W","","","","Timing_14","0bdffdc3-97c0-462d-bdeb-8c095594f040","Week 20 at home timing","Week 20 Home","TIM14"
"780","P24W","-4..4 days","P4D","P4D","Timing_15","e4bccd4e-a76f-4957-928a-98a31c36d951","Week 24 timing","Week 24","TIM15"
"781","P26W","-3..3 days","P3D","P3D","Timing_16","113d9bd2-9134-402a-860b-0858cecfa56e","Week 26 timing","Week 26","TIM16"
"782","P1D","","","","Timing_17","e41bcef2-ce72-426e-920e-294e36a3da80","Adverse Event","Adverse Event","TIM17"
"783","P1D","","","","Timing_18","aa2d96e2-0a3c-4b4f-b721-955e343dfb59","Early Termination","Early Termination","TIM18"
"784","PT0M","","","","Timing_19","b6084ea7-1818-4b53-b06b-19d8dd042864","BP Anchor","BP Anchor","TIM19"
"785","PT5M","","","","Timing_20","ce832d79-7a51-4a18-9e60-0021ea676152","BP while Supine","BP while Supine","TIM20"
"786","PT3M","-2..0 mins","PT0M","PT2M","Timing_21","09a5ce57-61f3-4c87-9a66-16f3d6f28442","BP Stand Up","BP Stand Up","TIM21"
"787","PT0M","","","","Timing_22","a3eb9ca6-6301-4a5c-a7de-07276fbad2d7","BP while standing","BP while standing","TIM22"
