"id:ID","transitionStartRule","transitionEndRule","uuid","id","description","label","name"
"495","","","f2ec8913-6aa2-4d3b-a1b3-76f6fff56f14","Encounter_1","Screening encounter","Screening 1","E1"
"496","","","a00e3efc-48b3-4856-8d5a-7b56469f759f","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2","E2"
"497","","","5fc775fa-1cd6-40ae-bc0c-335e02d4b368","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline","E3"
"498","","","2c5e0cae-2cd7-4a99-865a-5579a36f9640","Encounter_4","Day 14","Week 2","E4"
"499","","","3972e532-b8fe-48ed-8de8-6e3f054e458d","Encounter_5","Day 28","Week 4","E5"
"500","","","f3c59ba2-5438-4c9d-88ba-66f868439707","Encounter_6","Day 42","Week 6","E7"
"501","","","3093e0a8-9c56-4beb-b3c4-365083b8181b","Encounter_7","Day 56","Week 8","E8"
"502","","","f8414799-aa8a-4cc5-bd05-71f614a1ead5","Encounter_8","Day 84","Week 12","E9"
"503","","","716498ea-b789-4fec-932f-e13713cbba79","Encounter_9","Day 112","Week 16","E10"
"504","","","b88edeca-bed2-43d8-9bae-83f8d131a811","Encounter_10","Day 140","Week 20","E11"
"505","","","44d8f9ea-f4b6-44a8-bc1a-32e6cd4da3c1","Encounter_11","Day 168","Week 24","E12"
"506","","","174177a4-b73e-42b7-a647-891685962c1b","Encounter_12","Day 182","Week 26","E13"
