"id","codeSystem","uuid:ID","code","codeSystemVersion","decode"
"Code_1","http://www.cdisc.org","abad6354-23ed-485c-a929-ec833e64760e","C98388","2023-09-29","Interventional Study"
"Code_2","http://www.cdisc.org","b9fdc4d3-196a-41d5-8c89-923738ba47ef","C15602","2023-09-29","Phase III Trial"
"Code_6","http://www.cdisc.org","016ea7ff-0f7f-4a1a-a8cb-7eb3797c318f","C132352","2023-09-29","Sponsor Approval Date"
"Code_8","http://www.cdisc.org","b6eb57d9-3538-46ba-996a-eff99c594553","C25464","2023-09-29","Country"
"Code_7","ISO 3166 1 alpha3","f749fe85-ce4e-45be-998b-61e2855f44e6","GBR","2020-08","United Kingdom of Great Britain and Northern Ireland"
"Code_10","http://www.cdisc.org","e0fcbeed-a083-4980-873e-92dc12390ace","C25464","2023-09-29","Country"
"Code_9","ISO 3166 1 alpha3","9e6ec348-db12-424a-affa-6919585e322f","FRA","2020-08","France"
"Code_12","http://www.cdisc.org","b82d50b5-0955-4514-b1ca-a2c64f065aa5","C41129","2023-09-29","Region"
"Code_11","ISO 3166 1 alpha3","fbdc003e-94ca-4e82-9774-e8307429b89f","142","2020-08","Asia"
"Code_14","http://www.cdisc.org","41595b06-bd01-46fa-9ebd-484202d38e60","C25464","2023-09-29","Country"
"Code_13","ISO 3166 1 alpha3","5067fa3a-feb4-4762-be54-3b6dc6b2fc65","USA","2020-08","United States of America"
"Code_43","http://www.cdisc.org","910a4a1f-b91e-4c41-a56b-148837cafb79","C17649","2023-09-29","Other"
"Code_45","http://www.cdisc.org","a133fc41-f821-404d-9496-f2c82c560937","C41129","2023-09-29","Region"
"Code_44","ISO 3166 1 alpha3","ebfbf878-cd20-4bde-8362-88fb400e347b","150","2020-08","Europe"
"Code_40","http://www.cdisc.org","067b359c-cd95-43f4-b9a3-2db4f8ddddfc","C99904x7","2023-09-29","Change In Strategy"
"Code_41","http://www.cdisc.org","b047fb7b-6ef9-491b-845a-714dc04381fe","C99904x10","2023-09-29","Investigator/Site Feedback"
"Code_42","http://www.cdisc.org","808561f2-d95c-43b8-accf-679b690c76f0","C68846","2023-09-29","Global"
"Code_35","http://www.cdisc.org","1a072947-c670-4385-8b51-82d2545c2727","C99904x4","2023-09-29","New Safety Information Available"
"Code_37","http://www.cdisc.org","de9fce50-8b1f-4c78-b738-57ad7ff729ca","C41129","2023-09-29","Region"
"Code_36","ISO 3166 1 alpha3","78d8c44f-765b-423a-84d9-32e24da0e1d1","150","2020-08","Europe"
"Code_39","http://www.cdisc.org","2f9d812e-a123-40cc-b9e5-f8aba4c63d78","C25464","2023-09-29","Country"
"Code_38","ISO 3166 1 alpha3","1b570191-e042-4163-b69a-fa5c530b20b5","DNK","2020-08","Denmark"
"Code_33","http://www.cdisc.org","aa725daa-720a-4692-b080-3dc8a32e3bd6","C99904x3","2023-09-29","IRB/IEC Feedback"
"Code_34","http://www.cdisc.org","28ae0da6-5869-4729-b4a6-7443dc26b01b","C68846","2023-09-29","Global"
"Code_3","SPONSOR","321d7c2e-f62f-4841-ae5b-53cb8f7325c3","VAC","12","Vacines Group"
"Code_4","SPONSOR","ff559945-15fc-405e-8c04-0edca05b667e","REG","12","Regulatory"
"Code_46","http://www.cdisc.org","a829bf72-b2cd-4955-9679-27d9ae04a54e","C93453","2023-09-29","Study Registry"
"Code_47","ISO 3166 1 alpha3","592609de-0619-4944-aa35-76b306d9c9a3","GBR","2020-08","United Kingdom of Great Britain and Northern Ireland"
"Code_48","http://www.cdisc.org","8f437f08-ae20-4a80-8f6e-4d9bc7a5db94","C70793","2023-09-29","Clinical Study Sponsor"
"Code_49","ISO 3166 1 alpha3","ec29a879-a416-4bb2-a567-8cf1c9835092","FRA","2020-08","France"
"Code_50","http://www.cdisc.org","f2772802-ade7-4895-a18c-e11d232ef31c","C188863","2023-09-29","Regulatory Agency"
"Code_51","http://www.cdisc.org","43d976ce-2f1a-4806-9b8e-aaa99de58291","C188863","2023-09-29","Regulatory Agency"
"Code_52","http://www.cdisc.org","94cb55ea-9812-4466-ac81-fb4fc21d7612","C93453","2023-09-29","Study Registry"
"Code_84","http://www.cdisc.org","fc6eda83-436a-4cb7-9e51-7dfce8bb42d4","C15714","2023-09-29","Basic Research"
"Code_85","http://www.cdisc.org","fbfee879-e022-49a8-bbae-9c36ea297ef3","C139174","2023-09-29","Device Feasibility Study"
"Code_86","http://www.cdisc.org","68217adf-e586-4432-8a82-f54a1a699aee","C49666","2023-09-29","Efficacy Study"
"Code_81","SPONSOR","7950a3c5-4199-47c8-8bd0-006fb186d802","T2_DIABETES","12","Type 2 diabetes"
"Code_82","SNOMED","7d534f38-e8e2-496c-96ad-996124191110","73211009","January 31, 2018","Diabetes mellitus (disorder)"
"Code_87","http://www.cdisc.org","79a10fc8-a0b5-4b30-8cf6-e126f4b8a0c2","C82639","2023-09-29","Parallel Study"
"Code_55","http://www.cdisc.org","6ab8c403-5aa1-42b6-bb97-5750d8acc5c7","C25716","2023-09-29","Visit"
"Code_56","http://www.cdisc.org","d7c73c5c-88bd-4d88-99f6-d2c31a61b989","C51282","2023-09-29","Clinic"
"Code_57","http://www.cdisc.org","d7f53da9-9257-40a5-ba2b-c918bc6f9f9b","C175574","2023-09-29","In Person"
"Code_58","http://www.cdisc.org","091d7d81-afc0-41c8-8acc-af16f1be5480","C25716","2023-09-29","Visit"
"Code_59","http://www.cdisc.org","99670ea0-256e-49a5-89bd-feebcca795f9","C51282","2023-09-29","Clinic"
"Code_60","http://www.cdisc.org","20a477bc-3fba-4e44-9393-0d07153c4667","C175574","2023-09-29","In Person"
"Code_61","http://www.cdisc.org","565c85c4-4c46-4db0-b242-03bc47767d48","C25716","2023-09-29","Visit"
"Code_62","http://www.cdisc.org","358b1b66-a592-46e9-825e-f60f7d167165","C51282","2023-09-29","Clinic"
"Code_63","http://www.cdisc.org","f69edec8-8e6d-4bc5-8d72-c80051136bb5","C175574","2023-09-29","In Person"
"Code_64","http://www.cdisc.org","350a5043-0ac3-439c-a607-a2fa2a99a66d","C25716","2023-09-29","Visit"
