"id","sectionNumber","uuid:ID","text","sectionTitle","name"
"NarrativeContent_1","0","d7463fa2-94f9-4ff5-9d3d-279e9da52b2d","","Root","ROOT"
"NarrativeContent_2","0","b9ee73d4-4e94-49c3-80be-8faba737ce80","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE","SECTION 0"
"NarrativeContent_3","1","1851aa1b-9a05-4400-98e1-77a8107b79be","<div></div>","PROTOCOL SUMMARY","SECTION 1"
"NarrativeContent_4","1.1","15cc13f7-2d7b-40e8-8763-ddb5591c1d02","<div></div>","Protocol Synopsis","SECTION 1.1"
"NarrativeContent_5","1.2","ac37243e-9466-4b35-a035-9a4f5731f321","<div></div>","Trial Schema","SECTION 1.2"
"NarrativeContent_6","1.3","71058978-7eae-4781-8459-266f0c70dae9","<div></div>","Schedule of Activities","SECTION 1.3"
"NarrativeContent_7","2","23ec737c-b749-428a-8b51-825c1307b0fc","<div></div>","INTRODUCTION","SECTION 2"
"NarrativeContent_8","2.1","9bc5f279-72de-4521-a809-4c8ca2679794","<div></div>","Purpose of Trial","SECTION 2.1"
"NarrativeContent_9","2.2","3edc87c1-d602-4d79-9786-c981716b97f2","<div></div>","Summary of Benefits and Risks","SECTION 2.2"
"NarrativeContent_10","3","97d8244f-6e88-4785-8309-2372117fa4b9","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3"
"NarrativeContent_11","3.1","5b63c9eb-0895-416e-93b1-23aba4e73af5","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives","SECTION 3.1"
"NarrativeContent_12","4","8fecacb2-05c6-43c4-bbc7-dcbcdd6ee840","<div></div>","TRIAL DESIGN","SECTION 4"
"NarrativeContent_13","4.1","5708edc3-0a3b-44dc-8cd2-7d58d617bb24","<div></div>","Description of Trial Design","SECTION 4.1"
"NarrativeContent_14","4.1.1","cf5948cd-06a1-426f-9f58-4849e31625c8","<div></div>","Participant Input into Design","SECTION 4.1.1"
"NarrativeContent_15","4.2","28aa841e-d3d6-4d4a-8bb5-a2439897bf7d","<div></div>","Rationale for Trial Design","SECTION 4.2"
"NarrativeContent_16","4.2.1","68eb40d6-de7d-4fc0-8e59-077d17b25f84","<div></div>","Rationale for Comparator","SECTION 4.2.1"
"NarrativeContent_17","4.2.2","69a700f6-507c-4ead-a644-e696e2008cd0","<div></div>","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2"
"NarrativeContent_18","4.2.3","8309ea61-dcff-4572-8521-9991c97f4fa1","<div></div>","Other Trial Design Considerations","SECTION 4.2.3"
"NarrativeContent_19","4.3","5227a19e-7a0e-4546-a2c9-d23ed9e20a7b","<div></div>","Access to Trial Intervention After End of Trial","SECTION 4.3"
"NarrativeContent_20","4.4","45d3d893-8f46-4fb0-ab67-e0efdd455522","<div></div>","Start of Trial and End of Trial","SECTION 4.4"
"NarrativeContent_21","5","a34d588b-a09a-46b0-a6fe-f47af0597ce2","<div></div>","TRIAL POPULATION","SECTION 5"
"NarrativeContent_22","5.1","2b5c4336-3102-4590-92e5-2e63f236df1c","<div></div>","Selection of Trial Population","SECTION 5.1"
"NarrativeContent_23","5.2","5fe7c4a3-77ef-46ea-b8d3-adde98b5bc7a","<div></div>","Rationale for Trial Population","SECTION 5.2"
"NarrativeContent_24","5.3","a8a3f979-e386-4c9e-b8e3-4adbe9e90e6a","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria","SECTION 5.3"
"NarrativeContent_25","5.4","b4dde400-e055-42b1-aa6a-8a9781eff73a","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria","SECTION 5.4"
"NarrativeContent_26","5.5","bf5e4739-0988-45c7-945c-70ee0871493d","<div></div>","Lifestyle Considerations","SECTION 5.5"
"NarrativeContent_27","5.5.1","6677e48a-e850-462e-b06d-5fcfd465c8e2","<div></div>","Meals and Dietary Restrictions","SECTION 5.5.1"
