"name","id","uuid:ID","text"
"ENCOUNTER_START_RULE_1","TransitionRule_1","ab99c8c7-238c-4654-b39d-539d3ee1ea58","Subject identified"
"ENCOUNTER_START_RULE_1","TransitionRule_2","1660d2d1-6670-4c05-ad49-16748a67c745","IEs passed"
"ENCOUNTER_START_RULE_3","TransitionRule_3","41ab00cb-fe13-4805-9f1a-4f6146c9d127","Radomized"
"ELEMENT_START_RULE_1","TransitionRule_4","e4f08805-5bac-42cb-b591-b3c0aefd0402","Study Start"
"ELEMENT_END_RULE_1","TransitionRule_5","368ed804-b1f3-42ab-a1e0-df113e02d4ed","Screened"
"ELEMENT_START_RULE_2","TransitionRule_6","919caab2-6aa6-4c2f-a957-20e041c72815","Screened"
"ELEMENT_END_RULE_2","TransitionRule_7","1bf18d5f-d83d-45df-9c02-4a0c3eeb80fe","Radomized"
"ELEMENT_START_RULE_3","TransitionRule_8","6418a38f-df6d-40fd-9719-575883aabf6e","Radomized"
"ELEMENT_END_RULE_3","TransitionRule_9","6b810dc2-1041-4d12-82ed-25421136b3c6","Completed treatment 1"
"ELEMENT_START_RULE_5","TransitionRule_12","9d05c54d-c7ba-4e36-ad4e-cd5441d6dc5c","Radomized"
"ELEMENT_END_RULE_5","TransitionRule_13","aa9f1425-aae3-43c7-be25-5ef9ace8484d","Completed treatment 2"
"ELEMENT_START_RULE_4","TransitionRule_10","d31207da-1101-434d-9b09-e2da775d8ca3","Treated"
"ELEMENT_END_RULE_4","TransitionRule_11","ae1d7f60-f2e4-464a-96f5-dbf2d2c16c16","Leave Study"
