"label","name","synonyms","uuid:ID","id","reference"
"Body Temperature","Body Temperature","['Temperature']","5fc066c0-941f-48d2-a48b-0ee9b6a94f4f","BiomedicalConcept_18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"Body Weight","Body Weight","['Weight']","0399e83b-eb18-4714-b766-e393edae6a95","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"Body Height","Body Height","['Height']","9c676df6-62f7-4336-81a7-b21893824042","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","9280eed7-517e-4af9-92d5-98dbdf5fc64c","BiomedicalConcept_21","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"Albumin Measurement","Albumin Measurement","['Albumin']","8ebaff4b-8aa8-4920-859c-1b3a060842bc","BiomedicalConcept_22","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","eeff1223-828a-456b-8053-e9dc8a737c3c","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","8dace10a-b207-4124-9502-768530814ac8","BiomedicalConcept_24","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"Creatinine Measurement","Creatinine Measurement","['Creatinine']","b201926d-f9c7-48b7-8515-e2dea3d3b561","BiomedicalConcept_25","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"Potassium Measurement","Potassium Measurement","['Potassium', 'K']","46accd5c-096c-4bd9-b2b9-d1c90182ad50","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","af90f312-9208-4f12-8257-7b2324e24c47","BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"Adverse Event","Adverse Event","['Adverse Event Reported Term', 'AETERM']","03eaaf09-b9a5-4f68-a73b-fbe7a9be9d33","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331"
"Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","3c0e1050-6f68-426e-a085-10a2ec7dd158","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","8aebbfc9-db07-4858-b736-05cce9eba82c","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"Body Temperature","Body Temperature","['Temperature']","57ae8e6a-d131-4e99-a820-0a1b434a9eb8","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"Body Weight","Body Weight","['Weight']","fea2451b-e7c7-4e11-8672-d322d6626f81","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"Body Height","Body Height","['Height']","f140dc1c-381d-4710-b9ae-2e4a822f44db","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","df8d3871-fe07-4e42-9748-7bc9775c5cde","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"Albumin Measurement","Albumin Measurement","['Albumin']","446f3c6f-4a1e-4a4e-be0c-965dc0e4f2ae","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","7cbc2446-e791-4e29-9a32-8eadd3c4dda8","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","9d891d8f-5751-4236-be35-be0259fad9c1","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"Creatinine Measurement","Creatinine Measurement","['Creatinine']","5cae4b9f-2e31-426d-94e3-deeff5636937","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"Potassium Measurement","Potassium Measurement","['Potassium', 'K']","d68573b7-045f-4f66-9ae4-bda4db07128b","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","f7dd4d75-61db-486e-aee1-d0e2976da03f","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","e60cc6fa-2daf-4af2-91a1-0c35604477b2","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","2ccc6aa4-1bf2-4ac5-b338-3edabf3b6355","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","0d7c2f93-b1b2-4f5c-a7a4-3fff6bd1bc9b","BiomedicalConcept_16","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","e6cecfda-7676-4529-979f-74a5f7c6eb97","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
