"name","uuid:ID","text","sectionNumber","id","sectionTitle"
"ROOT","2cd3f097-79bc-4225-a8a7-23094e4ee358","","0","NarrativeContent_1","Root"
"SECTION 0","5a1420bc-7e64-4812-8ab0-a845154cf930","<div><usdm:section name=""M11-title-page""></div>","0","NarrativeContent_2","TITLE PAGE"
"SECTION 1","7b481e9b-2b6b-4fa2-a6ed-028a7a9a6279","<div></div>","1","NarrativeContent_3","PROTOCOL SUMMARY"
"SECTION 1.1","ce86e919-db63-4e6f-95d1-445f9e1f065f","<div></div>","1.1","NarrativeContent_4","Protocol Synopsis"
"SECTION 1.2","629497e8-b3a3-4524-aa9a-847eccccf741","<div></div>","1.2","NarrativeContent_5","Trial Schema"
"SECTION 1.3","956fe80b-2126-4fda-a919-9d1363f1db78","<div></div>","1.3","NarrativeContent_6","Schedule of Activities"
"SECTION 2","626b793b-f163-49f2-9efc-bd20e15293ef","<div></div>","2","NarrativeContent_7","INTRODUCTION"
"SECTION 2.1","7147c26b-b766-4f4f-8872-19a239bec6be","<div></div>","2.1","NarrativeContent_8","Purpose of Trial"
"SECTION 2.2","266018ed-68e8-4956-8a57-7f87b06388fe","<div></div>","2.2","NarrativeContent_9","Summary of Benefits and Risks"
"SECTION 3","571ca495-2be8-4b04-8006-35e2d7f509bd","<div></div>","3","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"SECTION 3.1","eb4661db-6e17-4919-86c7-dc2f6e3b23c4","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","NarrativeContent_11","Primary Objectives"
"SECTION 4","84bd2a72-f44d-449b-b9ae-6b0dbe68afe2","<div></div>","4","NarrativeContent_12","TRIAL DESIGN"
"SECTION 4.1","7b32a731-f624-4e0b-9705-651763d41f56","<div></div>","4.1","NarrativeContent_13","Description of Trial Design"
"SECTION 4.1.1","84864de4-55b6-4bdd-8a15-9761775b826a","<div></div>","4.1.1","NarrativeContent_14","Participant Input into Design"
"SECTION 4.2","4a1c702c-f92f-418c-af71-eeb2173e2725","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","NarrativeContent_15","Rationale for Trial Design"
"SECTION 4.2.1","5757ce52-a1d0-44f1-9ba8-18b56705c925","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","NarrativeContent_16","Rationale for Comparator"
"SECTION 4.2.2","02c2e5e4-fcaf-4161-b6e0-c00c444d88f2","<div></div>","4.2.2","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design"
"SECTION 4.2.3","c64dc83c-54c9-48fc-a3f1-1e1c8158ad16","<div></div>","4.2.3","NarrativeContent_18","Other Trial Design Considerations"
"SECTION 4.3","2d7c1673-ba2a-4404-86fc-06154df63123","<div></div>","4.3","NarrativeContent_19","Access to Trial Intervention After End of Trial"
"SECTION 4.4","97394329-a3c5-4d6f-904a-0269ab143831","<div></div>","4.4","NarrativeContent_20","Start of Trial and End of Trial"
"SECTION 5","bfa70f15-2deb-4d2d-960e-47fde54f1b9b","<div></div>","5","NarrativeContent_21","TRIAL POPULATION"
