"id","uuid:ID","text","name"
"TransitionRule_1","ca518a08-d65a-4675-ab26-89e07ae90437","Subject identifier","ENCOUNTER_START_RULE_1"
"TransitionRule_2","85a18e3b-e8ba-4e4b-8330-ad784e1e593d","completion of screening activities","ENCOUNTER_START_RULE_1"
"TransitionRule_3","782b6462-e560-4665-90ec-6ce03dcbc1a0","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2"
"TransitionRule_4","b2462ccc-345b-46e1-90d8-c3bd202c354e","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3"
"TransitionRule_5","19921e12-0b3b-4c70-9419-1cd04fd7486b","Radomized","ENCOUNTER_START_RULE_3"
"TransitionRule_6","454a5d89-9601-45bd-9a52-f688f5843564","End of treatment","ENCOUNTER_START_RULE_12"
"TransitionRule_7","75238940-4f90-4213-afed-680456076d7c","Informed consent","ELEMENT_START_RULE_1"
"TransitionRule_8","7677b564-018f-4c8a-910e-cc132f6dbbb5","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1"
"TransitionRule_9","6ad8aa34-9601-4c21-9b77-ecd7509fed1c","Administration of first dose","ELEMENT_START_RULE_2"
"TransitionRule_14","c47c06f6-252f-455a-b49a-0ca373f0be26","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7"
"TransitionRule_15","d81516d8-ae06-4582-af36-2fd74e7561e2","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7"
"TransitionRule_10","7e81300b-2b52-4c15-b411-b4f45106f3c0","Administration of first dose","ELEMENT_START_RULE_3"
"TransitionRule_11","9fe21d44-6602-480d-9eee-e7c1d0b3a601","Randomized","ELEMENT_START_RULE_4"
"TransitionRule_12","1223d008-b584-4db0-a05b-a223b481264c","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5"
"TransitionRule_13","fbc5ec35-03bb-4c3c-bafe-8d35c20644a0","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6"
