"description","value","label","windowUpper","name","window","uuid:ID","id","windowLower"
"Screening timing","P2W","Screening","","TIM1","","ea602968-855d-4efc-a4b2-1e272547585d","Timing_1",""
"Pre dose timing","P2D","Pre dose","PT0H","TIM2","-4..0 hours","5aea1ada-2b92-4b4c-a700-5187e29caab0","Timing_2","PT4H"
"Dosing anchor","P1D","Dosing","","TIM3","","9c5a141d-45aa-4687-b074-04e18a9a6b75","Timing_3",""
"Week 2 timing","P2W","Week 2","P3D","TIM4","-3..3 days","6595b316-f4e5-44c6-bcda-c6cf44a23d00","Timing_4","P3D"
"Week 4 timing","P4W","Week 4","P3D","TIM5","-3..3 days","fc0fe4f3-bcd2-4b82-b2ee-840fe67e5378","Timing_5","P3D"
"Week 6 timing","P6W","Week 6","P3D","TIM6","-3..3 days","c0e87a57-31b2-470c-8569-8dbfe504da6b","Timing_6","P3D"
"Week 8 timing","P8W","Week 8","P3D","TIM7","-3..3 days","1b73cc13-789e-45dd-8b6d-74e33c5436a3","Timing_7","P3D"
"Week 8 at home timing","P2W","Week 8 Home","","TIM8","","23532ca7-ef99-4e76-8e2c-d0d5f44fb193","Timing_8",""
"Week 12 timing","P12W","Week 12","P4D","TIM9","-4..4 days","2b473218-e9ae-446f-82b2-18b779e18e50","Timing_9","P4D"
"Week 12 at home timing","P2W","Week 12 Home","","TIM10","","15ac351b-decf-4661-aaeb-2c81efba4b09","Timing_10",""
"Week 16 timing","P16W","Week 16","P4D","TIM11","-4..4 days","3c38207a-3a63-45ee-ad65-c153fc77ccda","Timing_11","P4D"
"Week 16 at home timing","P2W","Week 16 Home","","TIM12","","1ee5a8ad-3e6c-4fe9-9796-00efb56ae474","Timing_12",""
"Week 20 timing","P20W","Week 20","P4D","TIM13","-4..4 days","a72044ac-4caa-4ef0-9223-5d3dc0e94f7a","Timing_13","P4D"
"Week 20 at home timing","P2W","Week 20 Home","","TIM14","","5448f85e-daa9-44cd-a2c7-717a79de1c87","Timing_14",""
"Week 24 timing","P24W","Week 24","P4D","TIM15","-4..4 days","43644e14-bca2-4488-afa5-907edade7b7e","Timing_15","P4D"
"Week 26 timing","P26W","Week 26","P3D","TIM16","-3..3 days","4e95e420-8853-43c0-b3cb-67431cc6cbff","Timing_16","P3D"
"Adverse Event","P1D","Adverse Event","","TIM17","","f40dd684-636e-4a37-87c4-debe0f68dfec","Timing_17",""
"Early Termination","P1D","Early Termination","","TIM18","","f1c5d0f6-ba11-4a19-ad08-8993c898ba9c","Timing_18",""
"BP Anchor","PT0M","BP Anchor","","TIM19","","d422664e-3ac2-428c-86f5-eabf7acfefa3","Timing_19",""
"BP while Supine","PT5M","BP while Supine","","TIM20","","de9fd762-f23a-4250-8ced-6cc1f16d8d48","Timing_20",""
"BP Stand Up","PT3M","BP Stand Up","PT0M","TIM21","-2..0 min","98d7c27b-f582-47fd-a997-97fd16048aed","Timing_21","PT2M"
"BP while standing","PT0M","BP while standing","","TIM22","","e8bc2de6-c018-43fe-b974-a5ff2346ba77","Timing_22",""
