"label","name","datatype","isRequired","uuid:ID","id","isEnabled"
"Vital Signs Result","Vital Signs Result","decimal","True","a545a3a7-87a7-464b-8fa4-b1482126893d","BiomedicalConceptProperty_86","True"
"Unit of Temperature","Unit of Temperature","string","True","670458db-bb05-4c01-890b-a5a1ee825502","BiomedicalConceptProperty_87","True"
"Vital Signs Location","Vital Signs Location","string","True","fde1b35c-b922-4342-bc70-4d24fc636766","BiomedicalConceptProperty_88","True"
"Vital Signs Result","Vital Signs Result","decimal","True","eb8ba345-0b34-4a8c-bda8-51b93a15612c","BiomedicalConceptProperty_89","True"
"Unit of Weight","Unit of Weight","string","True","2ecca623-2bde-4bc8-8869-64fe46558144","BiomedicalConceptProperty_90","True"
"Vital Signs Result","Vital Signs Result","decimal","True","90b11cb5-3db8-4e05-8fe4-b302d14c42a7","BiomedicalConceptProperty_91","True"
"Unit of Height","Unit of Height","string","True","3b5b3312-4aad-41e9-93e8-822961326ac9","BiomedicalConceptProperty_92","True"
"Laboratory Test Result","Laboratory Test Result","decimal","True","a090f5c1-d4d9-44e7-abf9-9d0a0f75bbf3","BiomedicalConceptProperty_93","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","263239b8-0a67-4123-81cc-60241445a963","BiomedicalConceptProperty_94","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","True","55d31c94-0dd5-4b66-bb66-743cd15f01be","BiomedicalConceptProperty_95","True"
"Biospecimen Type","Biospecimen Type","string","True","0dc055ea-d67c-4803-ba59-151ec07ab1dd","BiomedicalConceptProperty_96","True"
"Laboratory Test Result","Laboratory Test Result","string","True","34beced4-d881-4598-911a-5262774ad65b","BiomedicalConceptProperty_97","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","ab3dc364-a856-4fcb-b499-8243522ebe73","BiomedicalConceptProperty_98","True"
"Unit of Concentration","Unit of Concentration","string","True","0c1a764e-d936-497a-bab9-edd4a154dce2","BiomedicalConceptProperty_99","True"
"Biospecimen Type","Biospecimen Type","string","True","4dccc13e-1e3a-4fc2-a587-ea885a9d117e","BiomedicalConceptProperty_100","True"
"Laboratory Test Result","Laboratory Test Result","decimal","True","540c8b0a-97c8-4079-9338-ef0e355ba7cf","BiomedicalConceptProperty_101","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","True","1065acdb-abd3-456d-b850-c1f7816b8727","BiomedicalConceptProperty_102","True"
