"codeSystem","code","decode","id","uuid:ID","instanceType","codeSystemVersion"
"http://www.cdisc.org","C98388","Interventional Study","Code_1","c6364665-12d5-4c65-b568-de54c970d2c7","Code","2023-09-29"
"http://www.cdisc.org","C15601","Phase II Trial","Code_2","9ea23e74-8988-4ae3-a698-df23865e4252","Code","2023-09-29"
"http://www.cdisc.org","C132352","Sponsor Approval Date","Code_9","970755d0-4867-406c-aa0c-a3376da8bb09","Code","2023-09-29"
"http://www.cdisc.org","C68846","Global","Code_10","e5c14e25-d1cb-4220-9694-d9efd765a442","Code","2023-09-29"
"http://www.cdisc.org","C99904x3","IRB/IEC Feedback","Code_72","c8b5b734-52e9-41d8-bdda-197d533ee7b6","Code","2023-09-29"
"http://www.cdisc.org","C17649","Other","Code_73","d61f09f3-7e24-4a2e-8d4d-cc99f7cdcba5","Code","2023-09-29"
"http://www.cdisc.org","C41129","Region","Code_75","8fd15900-d342-41b2-baea-67e90fc2b2a5","Code","2023-09-29"
"ISO 3166 1 alpha3","150","Europe","Code_74","5a7eff05-87cf-4818-b5b1-52798e8e5f49","Code","2020-08"
"SPONSOR","PHARMA","Eli Lilly","Code_4","2b6f1e4e-d736-4b9a-ab70-08ff1efa5be8","Code","12"
"http://www.cdisc.org","C70793","Clinical Study Sponsor","Code_76","35c51b72-d68c-4a59-a387-705fc43b7a81","Code","2023-09-29"
"ISO 3166 1 alpha3","DNK","Denmark","Code_77","24bae05a-1403-40a4-8534-3462558c01a6","Code","2020-08"
"http://www.cdisc.org","C93453","Study Registry","Code_78","630bc28f-6cdd-468a-a9cc-2868cf4ed63f","Code","2023-09-29"
"http://www.cdisc.org","C49656","Treatment Study","Code_136","c82d56d4-6318-46ed-8417-99976741cde4","Code","2023-09-29"
"http://www.cdisc.org","C49666","Efficacy Study","Code_137","77c16eea-d029-4a13-8115-5f7a1eb6771d","Code","2023-09-29"
"http://www.cdisc.org","C49667","Safety Study","Code_138","8a9854a3-6ea6-486e-9baf-6982f37721c5","Code","2023-09-29"
"http://www.cdisc.org","C49663","Pharmacokinetic Study","Code_139","efe0d6cb-858b-40d3-82f1-e194e86c4754","Code","2023-09-29"
"SPONSOR","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code_133","15d5d000-bb0a-4b62-8934-247d923e03b3","Code","12"
"SNOMED","26929004","Alzheimer's disease","Code_134","4f449a11-3e84-433b-99a6-2f34a7361820","Code","January 31, 2018"
"http://www.cdisc.org","C99907x1","EXTENSION","Code_142","eee9a5cb-b4a4-485b-be1d-3027ba2dd15f","Code","2023-09-29"
"http://www.cdisc.org","C98704","ADAPTIVE","Code_143","f70d2c5a-0c53-4e5a-862b-ce1e13f0ad7b","Code","2023-09-29"
"http://www.cdisc.org","C82639","Parallel Study","Code_140","0d4dcf69-59d1-4ada-9d1c-7b3b5d118e9f","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_82","5927be88-975c-49ab-bd32-5a143baf50ce","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_83","e3dcc020-2be9-4122-a238-c760a113b00e","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_84","651cf8e7-7d67-4c25-a234-72eb6dd72b5f","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_85","3dba5e30-3d02-43d0-a32f-ff4d339a1dfc","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_86","e3b56d29-7b61-4017-84e5-60c90ec9234e","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_87","ea7d6b7b-fb25-40ec-9cf2-e893ba13441f","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_88","5adc337a-461c-4397-9210-ec96b93ee532","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_89","258274f7-9af4-4f3a-b9f6-454155ed0ed7","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_90","05ef9561-843a-4720-b8df-4780a3c5f1b5","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_91","3661a74c-1933-441e-b86d-c02464ddb7af","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_92","d8a7f095-0e9c-4366-aa11-f113e7db3e0e","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_93","43bd6140-1679-4336-8bac-bea4303f196f","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_94","39ee2893-6438-4dd1-96bd-bde1cd572b0f","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_95","b6b27fed-7d68-473b-82fc-e637807c1cce","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_96","88cff514-59b9-4add-a2b9-9d6eca11bb2a","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_97","aef541dd-bc49-40d0-9134-e0f48104e1d5","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_98","53fd9c32-ee00-4e75-99ff-073e1876f07d","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_99","c01fc1ed-2bea-4927-9dd1-50eb1158c61c","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_100","165a6936-95f6-48f3-8245-3628e07dac9c","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_101","21ee22c5-4a72-450b-a3f9-6ef93d4f760c","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_102","45dfd515-e994-431f-bcff-4e16fe3afcde","Code","2023-09-29"
"http://www.cdisc.org","C171537","Telephone Call","Code_103","5011842d-a55f-48cb-8a02-5525588952a2","Code","2023-09-29"
