"name","sectionTitle","id","sectionNumber","uuid:ID","text","instanceType"
"ROOT","Root","NarrativeContent_1","0","fd84efd8-c606-4f6b-803c-4764211313f1","","NarrativeContent"
"SECTION 0","TITLE PAGE","NarrativeContent_2","0","c993e2f9-9460-418f-a5e0-c9fe6fde57d4","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent"
"SECTION 1","PROTOCOL SUMMARY","NarrativeContent_3","1","66238215-4198-4cd8-abe9-0efaa820368c","<div></div>","NarrativeContent"
"SECTION 1.1","Protocol Synopsis","NarrativeContent_4","1.1","a156e337-f706-4232-b4d0-fc1c099bd21a","<div></div>","NarrativeContent"
"SECTION 1.2","Trial Schema","NarrativeContent_5","1.2","c9b184d4-8b81-4615-9cd7-a2871283105a","<div></div>","NarrativeContent"
"SECTION 1.3","Schedule of Activities","NarrativeContent_6","1.3","cca606e9-67ea-4744-9529-cc3c5bc1ccec","<div></div>","NarrativeContent"
"SECTION 2","INTRODUCTION","NarrativeContent_7","2","986dbd34-ffd9-4ee0-b098-4fd73ad1206a","<div></div>","NarrativeContent"
"SECTION 2.1","Purpose of Trial","NarrativeContent_8","2.1","86161974-3923-4ba6-8812-5a3d947ae6f7","<div></div>","NarrativeContent"
"SECTION 2.2","Summary of Benefits and Risks","NarrativeContent_9","2.2","a4e792bd-fb80-4236-bfd3-7c5375fef4ea","<div></div>","NarrativeContent"
"SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10","3","64b98785-3bf2-4f87-bec8-485c89141dd6","<div></div>","NarrativeContent"
"SECTION 3.1","Primary Objectives","NarrativeContent_11","3.1","eee254ec-fe39-42da-b3b3-a8c061541d14","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent"
"SECTION 4","TRIAL DESIGN","NarrativeContent_12","4","74a4447c-935e-46f8-80a1-21fc93ac1da0","<div></div>","NarrativeContent"
"SECTION 4.1","Description of Trial Design","NarrativeContent_13","4.1","5ca3f27e-1450-42f6-a260-b29df6ed8d17","<div></div>","NarrativeContent"
"SECTION 4.1.1","Participant Input into Design","NarrativeContent_14","4.1.1","545f644e-483a-4c58-8afa-741ae59d8391","<div></div>","NarrativeContent"
"SECTION 4.2","Rationale for Trial Design","NarrativeContent_15","4.2","3f533990-5cee-4118-bd5a-c3d5658626e7","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent"
"SECTION 4.2.1","Rationale for Comparator","NarrativeContent_16","4.2.1","4419db92-ed0f-4930-96d1-91f9d663c836","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent"
"SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","NarrativeContent_17","4.2.2","4f1ca7a7-c4c8-4cbd-906a-4a1474528880","<div></div>","NarrativeContent"
"SECTION 4.2.3","Other Trial Design Considerations","NarrativeContent_18","4.2.3","66ce0d90-e9c6-45b5-b4b6-6f96e09d2d99","<div></div>","NarrativeContent"
"SECTION 4.3","Access to Trial Intervention After End of Trial","NarrativeContent_19","4.3","6efa897f-257f-4898-8a00-ba24218be551","<div></div>","NarrativeContent"
"SECTION 4.4","Start of Trial and End of Trial","NarrativeContent_20","4.4","8bda5c8f-9b35-4311-a340-6af6ca9672e9","<div></div>","NarrativeContent"
"SECTION 5","TRIAL POPULATION","NarrativeContent_21","5","5256a7dd-76da-4667-9525-0849a26d74d5","<div></div>","NarrativeContent"
