"id","text","uuid:ID","name","instanceType"
"TransitionRule_1","Subject identifier","8baf79e9-87ce-4e00-8638-0d7afa9b90da","ENCOUNTER_START_RULE_1","TransitionRule"
"TransitionRule_2","completion of screening activities","d2f15a37-5e4c-4c81-a29f-a460c6534148","ENCOUNTER_START_RULE_1","TransitionRule"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","7ef7f786-ebf8-407a-9e1b-48414af3c526","ENCOUNTER_START_RULE_2","TransitionRule"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","8fc9c980-4e13-49da-84e9-4d643ecb8350","ENCOUNTER_START_RULE_3","TransitionRule"
"TransitionRule_5","Radomized","01b9f222-6b36-4b47-a4ee-85bf8055afa9","ENCOUNTER_START_RULE_3","TransitionRule"
"TransitionRule_6","End of treatment","87d45ee9-f64e-4772-8034-4c83a30314bc","ENCOUNTER_START_RULE_12","TransitionRule"
"TransitionRule_7","Informed consent","e127f465-1b72-430f-9418-2c9928b7a392","ELEMENT_START_RULE_1","TransitionRule"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","764a6eac-09a0-4c90-9451-eeddc79e0462","ELEMENT_END_RULE_1","TransitionRule"
"TransitionRule_9","Administration of first dose","1ca98eb7-ada3-40b5-949a-13770c63b61d","ELEMENT_START_RULE_2","TransitionRule"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","4f02a4d6-d4c4-481d-945e-4a1edeb81431","ELEMENT_START_RULE_7","TransitionRule"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","167f7974-5b74-4ca7-b2ff-192d73b2b984","ELEMENT_END_RULE_7","TransitionRule"
"TransitionRule_10","Administration of first dose","5609fa4a-0d3a-4d96-baaf-40edaa63c29b","ELEMENT_START_RULE_3","TransitionRule"
"TransitionRule_11","Randomized","b288456f-7dcf-406a-b029-cc92ce9262a3","ELEMENT_START_RULE_4","TransitionRule"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","283af309-3d04-4037-8207-f0acf7f8e800","ELEMENT_START_RULE_5","TransitionRule"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","5f1cecf6-af4f-479f-b3fb-ae41058340fb","ELEMENT_START_RULE_6","TransitionRule"
