"id","description","uuid:ID","name","instanceType","label"
"Encounter_1","Screening encounter","841178e7-0dcd-4686-8f56-d054b573796a","E1","Encounter","Screening 1"
"Encounter_2","Screening encounter - Ambulatory ECG Placement","7607bc44-2a71-408f-9645-f5eb1f18b961","E2","Encounter","Screening 2"
"Encounter_3","Baseline encounter - Ambulatory ECG Removal","b9987219-a1cc-41ca-8247-14d2f4f397df","E3","Encounter","Baseline"
"Encounter_4","Day 14","a8e08a6c-2f67-44ec-828c-8f63236cf0c3","E4","Encounter","Week 2"
"Encounter_5","Day 28","aefcca75-f58f-499f-a079-bf3a1d13953b","E5","Encounter","Week 4"
"Encounter_6","Day 42","6f164216-a97f-4c8a-9788-95ebd96beed9","E7","Encounter","Week 6"
"Encounter_7","Day 56","da7362c1-587f-479d-9aac-b8071d6ae14f","E8","Encounter","Week 8"
"Encounter_8","Day 84","c8905603-3772-4976-985c-ee499a6f02c3","E9","Encounter","Week 12"
"Encounter_9","Day 112","50c16308-b2db-418a-aee4-b9278a2abd5a","E10","Encounter","Week 16"
"Encounter_10","Day 140","4d0cdaf7-7dd7-4394-9bab-61fcc7ed4e10","E11","Encounter","Week 20"
"Encounter_11","Day 168","b109a417-76a9-4d3e-9730-ba5a45602f92","E12","Encounter","Week 24"
"Encounter_12","Day 182","a6a8a571-509e-46c2-8ecd-33a38cabe73b","E13","Encounter","Week 26"
