"datatype","isRequired","isEnabled","id","uuid:ID","name","instanceType","label"
"decimal","True","True","BiomedicalConceptProperty_98","5a4dd796-38e1-445f-bb27-9d95f5034186","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result"
"string","True","True","BiomedicalConceptProperty_99","e53c2229-ea12-4001-aea1-2518f69947ed","Unit of Temperature","BiomedicalConceptProperty","Unit of Temperature"
"string","True","True","BiomedicalConceptProperty_100","f48d07df-9f95-4e76-ba0f-832928c57d14","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location"
"decimal","True","True","BiomedicalConceptProperty_101","c86c3725-9e46-46ce-ac62-d8804805f6ac","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result"
"string","True","True","BiomedicalConceptProperty_102","4b53a3b8-8f2c-4497-8eb1-6e62d11e2cba","Unit of Weight","BiomedicalConceptProperty","Unit of Weight"
"decimal","True","True","BiomedicalConceptProperty_103","2b537bd7-9911-4bf9-874a-63dcc7861993","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result"
"string","True","True","BiomedicalConceptProperty_104","ee7b6f8b-38e5-41db-8c5a-41913a098bbc","Unit of Height","BiomedicalConceptProperty","Unit of Height"
"decimal","True","True","BiomedicalConceptProperty_105","fcf99a5d-ec42-468a-9435-ac5cdee2ff87","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_106","6e0b8fcc-a656-4356-a559-fbc821535705","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_107","045b7d58-6fb6-4182-bdda-9b25f739397d","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration"
"string","True","True","BiomedicalConceptProperty_108","73ac2631-ba61-4511-8ad9-9b7e74e8a61a","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"string","True","True","BiomedicalConceptProperty_109","b8d32d4c-727f-45dc-a5ce-7e1d0c02651f","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_110","b3241ea3-c815-4b03-9a1f-7aadcf68e6ec","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_111","9819e7f7-6352-484d-96d8-7e8f5e0c7db9","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration"
"string","True","True","BiomedicalConceptProperty_112","f8aabfad-851e-43c6-9743-c11e77983f9c","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"decimal","True","True","BiomedicalConceptProperty_113","06ae951d-7da3-420c-af5d-3d510d85d2a1","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_114","231db6b9-d33e-40e7-ac9a-e12ba783424b","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_115","810c1d81-6f0f-4bac-aa1a-10fa5371859e","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration"
"string","True","True","BiomedicalConceptProperty_116","3db126d1-f2b7-4dd5-9f51-9f6c8c4810f7","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"decimal","True","True","BiomedicalConceptProperty_117","4f16b7ea-46c6-479a-b21c-0be3f3decb1f","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_118","fca1caba-050f-4b68-bd4e-eb08fa0ad9ea","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_119","12606fa9-9b81-4041-8d96-f77b214c8b3f","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration"
"string","True","True","BiomedicalConceptProperty_120","e58d22b9-74ce-44b8-8d3f-47ec961a1069","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"string","True","True","BiomedicalConceptProperty_121","f36c1612-d887-4a9d-a08c-ae891a801328","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_122","d6a9b692-c2ae-4546-a49b-eb1dbce32ede","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_123","acb132a1-c6b9-4062-8104-f5e22bc81eff","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration"
"string","True","True","BiomedicalConceptProperty_124","3d3a2484-779a-4447-b7eb-73d9c77e15ba","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"decimal","True","True","BiomedicalConceptProperty_125","16179e93-03f2-4c1a-9340-6bf897848df8","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_126","b593c813-fce3-4f45-b321-4325d10c027c","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_127","b93e991f-2ac3-416c-bedc-cc2efc8adf63","Molarity Unit","BiomedicalConceptProperty","Molarity Unit"
"string","True","True","BiomedicalConceptProperty_128","78dcdac6-f4ca-48c8-a198-61e407eecb2a","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"decimal","True","True","BiomedicalConceptProperty_129","168a29d4-61be-42a3-b908-29ac3fad4598","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_130","d927d291-9b76-4e7a-8e82-85d9240ecdb8","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_131","ecd659aa-e1ed-4c27-9951-e9e8a6383eb0","Molarity Unit","BiomedicalConceptProperty","Molarity Unit"
"string","True","True","BiomedicalConceptProperty_132","18fd4441-535a-4d54-bcc5-72a56c48a0ee","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"string","True","True","BiomedicalConceptProperty_1","1c7e0510-393e-450e-a3d8-cec49023d2d2","Adverse Event Verbatim Description","BiomedicalConceptProperty","Adverse Event Verbatim Description"
