"windowLower","windowUpper","id","value","description","uuid:ID","name","instanceType","window","label"
"","","Timing_1","P2W","Screening timing","f53c128f-0c2d-47cd-a102-a6baa812233a","TIM1","Timing","","Screening"
"PT4H","PT0H","Timing_2","P2D","Pre dose timing","43086908-3d77-4524-8cc2-66c210e7cf04","TIM2","Timing","-4..0 hours","Pre dose"
"","","Timing_3","P1D","Dosing anchor","0c222129-a5f4-4ff2-ab16-29afa14d40b6","TIM3","Timing","","Dosing"
"P3D","P3D","Timing_4","P2W","Week 2 timing","e56f9338-7f45-4390-928a-76cc22320845","TIM4","Timing","-3..3 days","Week 2"
"P3D","P3D","Timing_5","P4W","Week 4 timing","a7fa8d22-5d23-468c-8025-038dd7723a47","TIM5","Timing","-3..3 days","Week 4"
"P3D","P3D","Timing_6","P6W","Week 6 timing","a3c0f5a3-545c-4ec1-9519-1117b1a4f7f4","TIM6","Timing","-3..3 days","Week 6"
"P3D","P3D","Timing_7","P8W","Week 8 timing","e79cce14-fbdd-4588-ba98-ebce66f6ed2a","TIM7","Timing","-3..3 days","Week 8"
"P4D","P4D","Timing_9","P12W","Week 12 timing","3e417cee-f501-42df-983e-27365c24b545","TIM9","Timing","-4..4 days","Week 12"
"P4D","P4D","Timing_11","P16W","Week 16 timing","fd4f2e55-284e-4b69-8c52-5bc4cd8e609e","TIM11","Timing","-4..4 days","Week 16"
"P4D","P4D","Timing_13","P20W","Week 20 timing","fa30d15f-e67c-4d8c-a3b4-07cccbe8cf9f","TIM13","Timing","-4..4 days","Week 20"
"P4D","P4D","Timing_15","P24W","Week 24 timing","aac789b1-a7d5-4093-86a7-cb2579667a0f","TIM15","Timing","-4..4 days","Week 24"
"P3D","P3D","Timing_16","P26W","Week 26 timing","ae8c0e9d-3267-4aa6-8a83-061a804140a9","TIM16","Timing","-3..3 days","Week 26"
"","","Timing_8","P2W","Week 8 at home timing","4a223e7f-83bb-4d67-9e47-5cf26d12bd2f","TIM8","Timing","","Week 8 Home"
"","","Timing_10","P2W","Week 12 at home timing","c54f0c6f-2511-426a-975a-e6ae4b71a885","TIM10","Timing","","Week 12 Home"
"","","Timing_12","P2W","Week 16 at home timing","bb82f068-e94a-4996-a7a7-3597aec104f3","TIM12","Timing","","Week 16 Home"
"","","Timing_14","P2W","Week 20 at home timing","5c11be3a-a7ce-4937-9847-21fc6c1dbc81","TIM14","Timing","","Week 20 Home"
"","","Timing_17","P1D","Adverse Event","0f1561bd-5f58-4aff-b272-852f178e8a7b","TIM17","Timing","","Adverse Event"
"","","Timing_18","P1D","Early Termination","76de4533-c1bc-45f5-9a2e-e599f198289d","TIM18","Timing","","Early Termination"
"","","Timing_19","PT0M","Supine","4a85341e-0f47-41dd-b344-b37481d04bdf","TIM19","Timing","","Supine"
"","","Timing_20","PT5M","VS while supine","c67f6495-cbd3-4b02-9e8e-1edad01cb8d1","TIM20","Timing","","VS while supine"
"","","Timing_21","PT0M","Standing","3b17b2f1-3a28-4bc1-a467-2fb835cdb66e","TIM21","Timing","","Standing"
"","","Timing_22","PT1M","VS while standing","f22b2651-ba2a-41bb-987a-e9e7562e19ad","TIM22","Timing","","VS while standing"
"","","Timing_23","PT0M","Standing","96ec9575-bf43-4678-b48f-84229ff03851","TIM23","Timing","","Standing"
"","","Timing_24","PT2M","VS while standing","4ae8cff4-b5d6-4436-a1d2-06f7b6f89257","TIM24","Timing","","VS while standing"
