"reference","id","synonyms","uuid:ID","name","instanceType","label"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_20","['Temperature']","0a045d10-3849-41a2-bf24-7efb651010d9","Body Temperature","BiomedicalConcept","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_21","['Weight']","daece43f-046a-4f96-a583-c972c837c4fc","Body Weight","BiomedicalConcept","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_22","['Height']","d198fe78-a59f-43d1-b96d-755b75167819","Body Height","BiomedicalConcept","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_23","['ALT', 'SGPT']","78a01621-0efc-4d31-9ba2-7eab9ddb4849","Alanine Aminotransferase Measurement","BiomedicalConcept","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_24","['Albumin']","5232a62c-1f6a-42a0-8cf6-683783c63175","Albumin Measurement","BiomedicalConcept","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_25","['Alkaline Phosphatase']","9da82566-0a13-4320-ada1-e7b978064fa5","Alkaline Phosphatase Measurement","BiomedicalConcept","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_26","['AST', 'SGOT']","ed32d38a-af6e-48a0-b80f-456fecd1e98a","Aspartate Aminotransferase Measurement","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_27","['Creatinine']","1514cebf-9118-4114-986f-2eab6aa98cf2","Creatinine Measurement","BiomedicalConcept","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_28","['Potassium', 'K']","ee5fe5b9-c686-4d2d-a31d-60b4e5580fb2","Potassium Measurement","BiomedicalConcept","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_29","['Sodium', 'NA']","a5131a5e-00fd-425d-9c6f-5e9395bfed3f","Sodium Measurement","BiomedicalConcept","Sodium Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","['Adverse Event Reported Term', 'AETERM']","aa26f56b-3f25-4878-9733-a8b962d5cbed","Adverse Event","BiomedicalConcept","Adverse Event"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","['SYSBP']","869f6b52-aaf1-4838-a983-6f1ad906304c","Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","['DIABP']","c0428cd7-87d2-4bcc-9888-32c63109fa0e","Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","['Temperature']","58f33024-f01b-410c-b4e5-22a44e09c425","Body Temperature","BiomedicalConcept","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","['Weight']","c51644d0-8d10-44da-8781-5d57ba43f1c6","Body Weight","BiomedicalConcept","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","['Height']","97f47b5d-583d-4612-b6b7-dc234ed7860c","Body Height","BiomedicalConcept","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","['ALT', 'SGPT']","33ea9d19-8d6b-41a7-b95d-79a085c1a664","Alanine Aminotransferase Measurement","BiomedicalConcept","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","['Albumin']","eefa13d2-0922-4636-9750-cc7df70b1dbb","Albumin Measurement","BiomedicalConcept","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","['Alkaline Phosphatase']","22ea94f9-96c8-4002-b6ad-a49fe8098f1d","Alkaline Phosphatase Measurement","BiomedicalConcept","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","['AST', 'SGOT']","db31cbbf-8681-4e5d-b0b3-e005c76ab5f5","Aspartate Aminotransferase Measurement","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","['Creatinine']","35ce07cf-5af5-49fa-9f2d-a9dce0c056d4","Creatinine Measurement","BiomedicalConcept","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","['Potassium', 'K']","2f381374-693a-4877-8b69-90a76ac2fe6d","Potassium Measurement","BiomedicalConcept","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","['Sodium', 'NA']","28e360a6-e0bb-4234-a7eb-2f0123cc6a90","Sodium Measurement","BiomedicalConcept","Sodium Measurement"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14","['SYSBP']","0ce7b8d9-e5dc-4153-ad5f-1f59e504dd1e","Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15","['DIABP']","2e041a45-e221-4821-9afb-a227b51296b1","Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure"
