"sectionTitle","name","id","uuid:ID","sectionNumber","text"
"Root","ROOT","NarrativeContent_1","534e72d1-ac90-4b68-9207-1f0546828fcd","0",""
"PROTOCOL SUMMARY","SECTION 1","NarrativeContent_2","3373ce6d-880a-4a04-b67b-c436af05d723","1","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>"
"Protocol Synopsis","SECTION 1.1","NarrativeContent_3","f1b6db9b-da26-46b4-982e-7b27670af756","1.1","<div></div>"
"Trial Schema","SECTION 1.2","NarrativeContent_4","b7ed6b6e-7314-430b-9200-45f9d920d415","1.2","<div></div>"
"Schedule of Activities","SECTION 1.3","NarrativeContent_5","f88b4742-ee4f-449f-b4fd-d3b25ead78af","1.3","<div></div>"
"INTRODUCTION","SECTION 2","NarrativeContent_6","098cd35d-f48c-4890-8bd6-5fc1687c2159","2","<div></div>"
"Purpose of Trial","SECTION 2.1","NarrativeContent_7","4081bf30-33ec-4646-b406-bcd7c2818cdf","2.1","<div></div>"
"Summary of Benefits and Risks","SECTION 2.2","NarrativeContent_8","1e521ff5-3845-437e-80ad-0d98f0a0ec62","2.2","<div></div>"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","NarrativeContent_9","0581ce95-7b68-4517-9725-3187497cd747","3","<div></div>"
"Primary Objectives","SECTION 3.1","NarrativeContent_10","5142b202-48a7-4ce6-87e3-516c985a73c7","3.1","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>"
"TRIAL DESIGN","SECTION 4","NarrativeContent_11","b057c7b3-f512-4d90-89df-8502165dc84a","4","<div></div>"
"Description of Trial Design","SECTION 4.1","NarrativeContent_12","32193b3d-2d8d-40d9-b848-e07b00b595ca","4.1","<div></div>"
"Participant Input into Design","SECTION 4.1.1","NarrativeContent_13","d0d01b5c-b83a-447c-b99d-ab512ead5ec6","4.1.1","<div></div>"
"Rationale for Trial Design","SECTION 4.2","NarrativeContent_14","207f0714-62e8-4694-b64f-13ae88ddfa7b","4.2","<div></div>"
"Rationale for Comparator","SECTION 4.2.1","NarrativeContent_15","3f15a218-b8dc-450a-9187-2ba3bb519d27","4.2.1","<div></div>"
"Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","NarrativeContent_16","72f2d49d-47cc-4cc4-866a-36c8f666c091","4.2.2","<div></div>"
"Other Trial Design Considerations","SECTION 4.2.3","NarrativeContent_17","7eb2d36e-9bc0-4838-8c5c-9be03dab9316","4.2.3","<div></div>"
