"instanceType","description","name","purpose","id","uuid:ID","label","text"
"ENDPOINT","","END1","","Endpoint_1","2e6416a7-7fb8-42ec-8529-a10d128202e3","","Clinical status assessed using a 7-category ordinal scale at Day 28"
"ENDPOINT","","END2","","Endpoint_2","cc5fb39b-07d5-403e-acfd-bebcf0309ccf","","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours"
"ENDPOINT","","END3","","Endpoint_3","be60fc0c-9b51-4c52-8682-01e6d839415b","","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status"
"ENDPOINT","","END4","","Endpoint_4","6c713d8e-190f-4d83-bcdf-fe16ac942e4b","","Incidence of mechanical ventilation"
"ENDPOINT","","END5","","Endpoint_5","27ed707d-0c3a-4808-8d32-c042350ac62e","","Ventilator-free days to Day 28"
"ENDPOINT","","END6","","Endpoint_6","80566524-09e7-454e-8564-0015dadb8b1e","","Incidence of intensive care unit (ICU) stay"
"ENDPOINT","","END7","","Endpoint_7","36c491f6-f56b-4d80-8010-6a58a1764222","","Duration of ICU stay"
"ENDPOINT","","END8","","Endpoint_8","1a2731e9-50ff-463b-ba25-f1b9417b0b42","","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death."
"ENDPOINT","","END9","","Endpoint_9","22b0a282-d619-449d-b734-c03d80a5c2f2","","Mortality rate at Days 7, 14, 21, 28, and 60"
"ENDPOINT","","END10","","Endpoint_10","d4f6293e-8ab0-4f9b-9f44-053fbfe0bf77","","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)"
"ENDPOINT","","END11","","Endpoint_11","e76ff740-bb16-4784-8485-c789acae4855","","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen"
"ENDPOINT","","END12","","Endpoint_12","90ef82ab-a1f7-4b6e-a945-6d5deff208ae","","Duration of supplemental oxygen"
