"id","uuid:ID","instanceType","name","text"
"TransitionRule_1","774112d3-7521-4af3-bba7-d353642f1959","TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier"
"TransitionRule_2","b915fa47-e7a5-46bb-9cba-3925aada340a","TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities"
"TransitionRule_3","81981247-fe6a-4798-8952-c1512142b36b","TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","45ec64e8-64ff-46dd-baed-70d54c42ec30","TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","40313a19-2085-45d4-9265-ee0cf5aba078","TransitionRule","ENCOUNTER_START_RULE_3","Radomized"
"TransitionRule_6","23c6f080-9e8e-471d-9f47-7dfa6c0bd215","TransitionRule","ENCOUNTER_START_RULE_12","End of treatment"
"TransitionRule_7","c22472cb-6663-4cfe-88a7-295327e61167","TransitionRule","ELEMENT_START_RULE_1","Informed consent"
"TransitionRule_8","b027c606-0df6-4e66-a2a7-aeef94e5841f","TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","a1b3fc9e-2bba-4ab9-b092-4dc4ea291b33","TransitionRule","ELEMENT_START_RULE_2","Administration of first dose"
"TransitionRule_14","32ba3ce2-d5ea-4d36-a805-8588239a1c90","TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","d3b6938d-3a2f-4629-95d6-997f7930e233","TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","48126f10-bccf-4efd-914f-772a22f20b81","TransitionRule","ELEMENT_START_RULE_3","Administration of first dose"
"TransitionRule_11","3bd7f8cc-8fc1-4f95-a27e-8bc3ab7cd675","TransitionRule","ELEMENT_START_RULE_4","Randomized"
"TransitionRule_12","b5274296-d22c-47ce-890d-9bbc39fe5a3e","TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","cfcd2a4b-ee65-45f3-8049-63533f7f5ff1","TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
