"id","isEnabled","uuid:ID","isRequired","label","datatype","name","instanceType"
"BiomedicalConceptProperty_98","True","e8b4c59a-060b-4a84-a0ce-6b44a8f963d7","True","Vital Signs Result","decimal","Vital Signs Result","BiomedicalConceptProperty"
"BiomedicalConceptProperty_99","True","7e142735-d19b-4eb1-8320-494e1a094974","True","Unit of Temperature","string","Unit of Temperature","BiomedicalConceptProperty"
"BiomedicalConceptProperty_100","True","23a3438a-e16b-4b63-ad8b-30c71c6de4a6","True","Vital Signs Location","string","Vital Signs Location","BiomedicalConceptProperty"
"BiomedicalConceptProperty_101","True","dc5ed950-23fa-4464-b0f6-227501d83fac","True","Vital Signs Result","decimal","Vital Signs Result","BiomedicalConceptProperty"
"BiomedicalConceptProperty_102","True","7623a3a1-bf5c-4743-9eb3-bd62f4ebb5ef","True","Unit of Weight","string","Unit of Weight","BiomedicalConceptProperty"
"BiomedicalConceptProperty_103","True","9b68d8a3-5f53-41fb-95cc-9b7b5b54d473","True","Vital Signs Result","decimal","Vital Signs Result","BiomedicalConceptProperty"
"BiomedicalConceptProperty_104","True","125e555b-d400-4f2d-8ec2-24bbaed7dc9e","True","Unit of Height","string","Unit of Height","BiomedicalConceptProperty"
"BiomedicalConceptProperty_105","True","5d47452a-4d86-4cdf-a573-1fd073f023bb","True","Laboratory Test Result","decimal","Laboratory Test Result","BiomedicalConceptProperty"
"BiomedicalConceptProperty_106","True","bc03185f-616a-41a1-bf9f-c4bca6c330a6","True","Laboratory Test Fasting Status","boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"BiomedicalConceptProperty_107","True","8170a7b0-1261-415f-bfc2-ed5d9bfeeebb","True","Unit of Catalytic Activity Concentration","string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty"
"BiomedicalConceptProperty_108","True","47da7824-f597-497e-bd55-34f4bdf11690","True","Biospecimen Type","string","Biospecimen Type","BiomedicalConceptProperty"
"BiomedicalConceptProperty_109","True","59710c66-161c-4e06-b1df-6b545f9169a0","True","Laboratory Test Result","string","Laboratory Test Result","BiomedicalConceptProperty"
"BiomedicalConceptProperty_110","True","5885f01a-ab3b-4415-9117-16fffbe0b274","True","Laboratory Test Fasting Status","boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"BiomedicalConceptProperty_111","True","26e379de-f5f8-48dc-8ca8-c30fe605b8bf","True","Unit of Concentration","string","Unit of Concentration","BiomedicalConceptProperty"
"BiomedicalConceptProperty_112","True","c9365c15-37a1-4f7a-ba07-27b2c159e31f","True","Biospecimen Type","string","Biospecimen Type","BiomedicalConceptProperty"
"BiomedicalConceptProperty_113","True","5769fd14-5d2d-4fca-802d-921fbc22f76a","True","Laboratory Test Result","decimal","Laboratory Test Result","BiomedicalConceptProperty"
"BiomedicalConceptProperty_114","True","dea44de5-599d-4eab-a01f-f2124aacb724","True","Laboratory Test Fasting Status","boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"BiomedicalConceptProperty_115","True","8a1d23b6-fdf1-4b06-bb71-d32e3f11088b","True","Unit of Catalytic Activity Concentration","string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty"
"BiomedicalConceptProperty_116","True","339fc612-7a9f-4b8d-bd22-9cec9f85f519","True","Biospecimen Type","string","Biospecimen Type","BiomedicalConceptProperty"
"BiomedicalConceptProperty_117","True","a392836a-204c-4480-8ae7-d95a5d8dcd9e","True","Laboratory Test Result","decimal","Laboratory Test Result","BiomedicalConceptProperty"
"BiomedicalConceptProperty_118","True","15a47067-9ba6-454c-bf31-5beb1ee66345","True","Laboratory Test Fasting Status","boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"BiomedicalConceptProperty_119","True","6245ca48-e363-44f9-9576-0eda1026dd54","True","Unit of Catalytic Activity Concentration","string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty"
"BiomedicalConceptProperty_120","True","742d479e-cd05-4723-8899-4174d785d150","True","Biospecimen Type","string","Biospecimen Type","BiomedicalConceptProperty"
"BiomedicalConceptProperty_121","True","dd857c4d-6a15-40c1-8a48-8862387b8a63","True","Laboratory Test Result","string","Laboratory Test Result","BiomedicalConceptProperty"
"BiomedicalConceptProperty_122","True","7c3aa1e2-1d11-40f9-b5e2-17b945cd3d2b","True","Laboratory Test Fasting Status","boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"BiomedicalConceptProperty_123","True","2522d82b-9d53-485d-9284-f3fa5e2f253d","True","Unit of Concentration","string","Unit of Concentration","BiomedicalConceptProperty"
"BiomedicalConceptProperty_124","True","e87f67f7-1197-4f78-affb-fff3ac675a47","True","Biospecimen Type","string","Biospecimen Type","BiomedicalConceptProperty"
"BiomedicalConceptProperty_125","True","0d5bef5d-2445-4d86-a8f9-d53934a8346b","True","Laboratory Test Result","decimal","Laboratory Test Result","BiomedicalConceptProperty"
"BiomedicalConceptProperty_126","True","20e3e22e-20a3-45df-876a-a3033ba0beca","True","Laboratory Test Fasting Status","boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"BiomedicalConceptProperty_127","True","b8b1f628-7729-4ca9-b545-b47f8dff80e0","True","Molarity Unit","string","Molarity Unit","BiomedicalConceptProperty"
