"id","uuid:ID","decode","instanceType","code","codeSystemVersion","codeSystem"
"Code_1","afeb4438-0638-4c64-94fd-637393858cac","Interventional Study","Code","C98388","2023-09-29","http://www.cdisc.org"
"Code_2","5eb6d36c-931b-42f5-9f97-f3cc3704d069","Phase II Trial","Code","C15601","2023-09-29","http://www.cdisc.org"
"Code_9","577231ae-f660-454b-ad6d-a9edb2df9161","Sponsor Approval Date","Code","C132352","2023-09-29","http://www.cdisc.org"
"Code_10","f928f99b-5bc9-416c-b29f-020b61366a64","Global","Code","C68846","2023-09-29","http://www.cdisc.org"
"Code_72","58dafda2-76dd-479f-ae46-19b955c516ed","IRB/IEC Feedback","Code","C99904x3","2023-09-29","http://www.cdisc.org"
"Code_73","35bb2005-bef3-414e-901f-ebd1096dad72","Other","Code","C17649","2023-09-29","http://www.cdisc.org"
"Code_75","03c9044b-2e80-4a01-9a5d-d25dc95cc78b","Region","Code","C41129","2023-09-29","http://www.cdisc.org"
"Code_74","9cdae5f1-c4a3-4560-a099-da8da75dfcea","Europe","Code","150","2020-08","ISO 3166 1 alpha3"
"Code_4","0e17503a-0874-49d6-abe8-777f0fb61f1e","Eli Lilly","Code","PHARMA","12","SPONSOR"
"Code_76","e8a6bcf3-6e70-453f-8f07-3f2bf553067d","Clinical Study Sponsor","Code","C70793","2023-09-29","http://www.cdisc.org"
"Code_77","fc21ee0b-eb7a-420b-9900-73d2945520c3","Denmark","Code","DNK","2020-08","ISO 3166 1 alpha3"
"Code_78","1555034a-93d4-473e-84c4-af30337d3965","Study Registry","Code","C93453","2023-09-29","http://www.cdisc.org"
"Code_136","97ee9cac-b550-4a08-a15b-cfa06545980a","Treatment Study","Code","C49656","2023-09-29","http://www.cdisc.org"
"Code_137","7e426f93-14c1-4578-9900-a9a873759e96","Efficacy Study","Code","C49666","2023-09-29","http://www.cdisc.org"
"Code_138","e2b4c5f6-0a6a-4e5e-bcee-1dfe469b400b","Safety Study","Code","C49667","2023-09-29","http://www.cdisc.org"
"Code_139","43071fdc-5009-4990-a259-4dccdbe8ad98","Pharmacokinetic Study","Code","C49663","2023-09-29","http://www.cdisc.org"
"Code_133","0493b61b-4e13-4fc1-8054-b9b1bbe88875","Mild to Moderate Alzheimer's Disease","Code","MILD_MOD_ALZ","12","SPONSOR"
"Code_134","f8b6cd49-2ccc-4fab-ae90-7fbbcc36c9cb","Alzheimer's disease","Code","26929004","January 31, 2018","SNOMED"
"Code_142","f4ae578f-3ffb-4bf1-a85c-114601a262d3","EXTENSION","Code","C99907x1","2023-09-29","http://www.cdisc.org"
"Code_143","560966a4-cc62-4795-be80-f38b773e0c48","ADAPTIVE","Code","C98704","2023-09-29","http://www.cdisc.org"
"Code_140","78b72326-7ba5-4720-9f1a-d973cca78db7","Parallel Study","Code","C82639","2023-09-29","http://www.cdisc.org"
"Code_82","c83ec7d4-144c-4d0f-b60f-594b9304aca9","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_83","4e69b565-a5f9-4e71-9e35-ad9b9bb90c57","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_84","cf8e2484-2fd2-456c-896c-539e0a301e5c","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_85","eff4ed3b-7a5d-4cd7-bed3-ce29c07443be","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_86","5253eb47-f71a-4c68-b5d9-287113e7a75e","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_87","85a30869-f8ee-42ee-bd12-60baecb4d3cf","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_88","3b1bb78d-bd2d-4758-a32a-4409dba4e290","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_89","8ecf3127-33b0-43d5-a313-bb1436e21a98","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_90","2c4e2234-8104-41c4-a35b-62b9ad84cf5c","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_91","b278ad4b-7a25-419a-9ada-e36ae426319e","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_92","10503842-7a80-44c3-b0e9-84ff4e476194","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_93","799b8326-87b2-46f7-b7b8-91eda4089210","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_94","81bd9550-7379-4858-9c3f-b0ced2240330","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_95","e2db009a-d648-4bcf-a326-774a249c88e5","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_96","83b03ad8-a239-4806-9fc5-6cae657817d9","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_97","399f25e5-aa66-44e0-a3fe-706a3b923ebc","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_98","4552a063-a746-40eb-b8f1-2fab69061cbc","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_99","b7a25898-3a04-46ac-b08c-7797f31142d3","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_100","b531080f-7cae-40b2-9ea7-690b7f306a37","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_101","33161387-41b5-4501-bff0-ac286b0f83be","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_102","7ccf1460-1a80-4131-bd93-5df8d7564d77","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_103","81ab6893-de1d-4d66-b383-0c9a72c8a41f","Telephone Call","Code","C171537","2023-09-29","http://www.cdisc.org"
"Code_104","4046de8a-e481-4951-9a62-75a7e9343457","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_105","b1cff89c-6e82-4c69-be11-99839f2c7a0d","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_106","c3b3fb91-f17f-4cce-9f56-7511c6dedbb8","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_107","890ba532-9ccd-45e1-9fb5-fe4c4a6b0ee3","Telephone Call","Code","C171537","2023-09-29","http://www.cdisc.org"
"Code_108","480c84bf-35ec-47bb-8d51-cf56249ddc65","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_109","1920398b-67a9-4ce5-a5b0-70ba911cbe6c","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_110","234629cf-0526-484b-b3ee-d63ccca82f45","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_111","3e5f53a2-8df4-4661-9877-21f01b27e812","Telephone Call","Code","C171537","2023-09-29","http://www.cdisc.org"
"Code_112","b9beb677-d2e0-4d05-99f6-deb09aadbd4c","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_113","17a8fb2c-79d6-452b-b511-f28d290c7805","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_114","cee9a6cd-ae2f-4a7e-9b8e-21c7596d0cfc","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_115","6e02e3cc-7cfd-48d4-9d84-67af2c465593","Telephone Call","Code","C171537","2023-09-29","http://www.cdisc.org"
"Code_116","c06104d2-d995-4ca3-995c-67371e747429","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_117","c29bb414-31d2-4f61-ae87-82470e896042","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_118","e0c29c6c-b523-465f-b8ea-cc67d2a45ad6","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_119","4d7c93c6-7fd8-4645-984e-4ae3d49e5a9b","Visit","Code","C25716","2023-09-29","http://www.cdisc.org"
"Code_120","26bce87a-ea4b-4abc-ba25-4114d215af63","Clinic","Code","C51282","2023-09-29","http://www.cdisc.org"
"Code_121","6c874142-98ed-4fde-9d94-7f557f6d4f12","In Person","Code","C175574","2023-09-29","http://www.cdisc.org"
"Code_79","c4b96b49-968b-4417-b67e-d3b2443ef6b7","CT of head without contrast","Code","383371000119108","January 31, 2018","SNOMED"
"Code_80","fee3feef-b416-46d4-9782-77e5388d1ae1","Subject Supine","Code","123","12","SPONSOR"
"Code_81","4a72b0db-d9e8-4603-98e6-dee418164b81","Subject Standing","Code","124","12","SPONSOR"
"Code_278","06b835f9-25e7-42a0-8f7e-95edfd902b3f","Vital Signs Result","Code","C173522","","NCI Thesaurus"
"Code_279","2a9d5925-b11b-4621-9678-4d25b974cf2a","Kelvin","Code","C42537","2023-09-29","http://www.cdisc.org"
"Code_280","6e5086d0-c8f5-498f-9c98-1f32bc1dc621","Unit of Temperature","Code","C44276","","NCI Thesaurus"
"Code_281","40ada1cd-8a57-4476-aa0e-cad84fe883ad","Vital Signs Location","Code","C83088","","NCI Thesaurus"
"Code_277","f2e9d7fb-1930-4680-a91d-531108b851d5","Body Temperature","Code","C174446","","NCI Thesaurus"
"Code_283","6d852a7f-6059-44f6-ab02-944d4d774572","Vital Signs Result","Code","C173522","","NCI Thesaurus"
"Code_284","99e6118e-2077-4650-8fb7-ae1588d606e1","Kilogram","Code","C28252","2023-09-29","http://www.cdisc.org"
"Code_285","5112418a-be41-463f-8442-60ad61822ac0","Gram","Code","C48155","2023-09-29","http://www.cdisc.org"
"Code_286","62cc0a9a-4ce1-41dd-b47c-d352ec18239c","Pound","Code","C48531","2023-09-29","http://www.cdisc.org"
"Code_287","bdf794ca-dd13-4193-85e5-9591da7854e3","Unit of Weight","Code","C48208","","NCI Thesaurus"
"Code_282","18c91d9c-99c6-476e-a88d-ba73d8b6f853","Body Weight","Code","C81328","","NCI Thesaurus"
"Code_289","61c56b11-63f5-4f01-8d27-165a1302e2fb","Vital Signs Result","Code","C173522","","NCI Thesaurus"
"Code_290","db3505d5-e6e0-4084-8e32-555adea419dc","Centimeter","Code","C49668","2023-09-29","http://www.cdisc.org"
"Code_291","620a6c87-217d-4c54-bfdb-08e348887686","Inch","Code","C48500","2023-09-29","http://www.cdisc.org"
"Code_292","c138def3-8f64-4eea-b7b6-e896d4b15b59","Millimeter","Code","C28251","2023-09-29","http://www.cdisc.org"
"Code_293","54e4384b-9cb8-4790-8d6b-8f2e91d9e9d5","Meter","Code","C41139","2023-09-29","http://www.cdisc.org"
"Code_294","7321ccdf-a516-4837-a719-3959375ada03","Unit of Height","Code","C168688","","NCI Thesaurus"
"Code_288","ecf3d1d8-5cbc-48ee-a2e0-508f4ca1b727","Body Height","Code","C164634","","NCI Thesaurus"
"Code_296","bc7d925f-96a5-438c-9edb-170f4308b696","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_297","a922ee2f-efd8-41d3-a593-09e5ad043892","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_298","19befd8c-5287-4f80-90e0-d3a0c4f1ad14","Unit of Catalytic Activity Concentration","Code","C67365","","NCI Thesaurus"
"Code_299","7dd84846-d05a-4efc-b8aa-c3db19a90b66","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_295","17b0021d-f61d-4a45-9ae4-d2ff7d11650a","Alanine Aminotransferase Measurement","Code","C64433","","NCI Thesaurus"
"Code_301","81224f77-8532-44bf-aaf5-4a2180ae3749","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_302","69720bc3-cb4e-479b-a77a-3c4a12f8383b","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_303","1f5d9d41-ef37-48e0-9e62-77ea9cd5ddf1","Unit of Concentration","Code","C48207","","NCI Thesaurus"
"Code_304","c9e9a21c-273e-4bec-95f1-1ab1eaf19697","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_300","a09acbba-2945-401c-91a8-2de5f1f86596","Albumin Measurement","Code","C64431","","NCI Thesaurus"
"Code_306","7bb18352-e800-4f09-9aea-eff7798b3a92","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_307","f42f0b84-6c1f-4bff-a6d4-fde926ffa702","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_308","797fc412-2957-4914-8115-50d61984ab80","Unit of Catalytic Activity Concentration","Code","C67365","","NCI Thesaurus"
"Code_309","ff8b678d-2356-46d0-81dd-1233a1ce8ec6","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_305","10876ed2-99fd-4e06-a82e-3065e12f9da5","Alkaline Phosphatase Measurement","Code","C64432","","NCI Thesaurus"
"Code_311","0b1a4ccc-f29d-4dd1-a0e9-56a91999f26e","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_312","3fa89cbe-aa0e-43d5-9169-d1daaa62ac50","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_313","8b734b49-9644-4425-af3f-cbe3283b2563","Unit of Catalytic Activity Concentration","Code","C67365","","NCI Thesaurus"
"Code_314","8e4d7b30-a2b7-4113-97d7-23bc33bde345","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_310","aced667e-3698-4dff-9f65-569d71279e76","Aspartate Aminotransferase Measurement","Code","C64467","","NCI Thesaurus"
"Code_316","8e634d52-b481-4489-8711-1691014a3203","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
"Code_317","5f25feeb-4e3a-430b-9061-a4b833543eb4","Laboratory Test Fasting Status","Code","C83309","","NCI Thesaurus"
"Code_318","38eff1ea-ff57-4032-a509-403949d44d39","Unit of Concentration","Code","C48207","","NCI Thesaurus"
"Code_319","869badf9-de35-4ed5-a0b0-354017cd8745","Biospecimen Type","Code","C70713","","NCI Thesaurus"
"Code_315","d4fca2e5-8d73-4e6c-8b69-d7404ed8ae9a","Creatinine Measurement","Code","C64547","","NCI Thesaurus"
"Code_321","96706e1e-fafb-4dbd-a5de-21f235a8adb1","Laboratory Test Result","Code","C36292","","NCI Thesaurus"
