"id","uuid:ID","sectionNumber","instanceType","name","text","sectionTitle"
"NarrativeContent_1","d318ba24-f989-40bd-9a9b-170e71bb477f","0","NarrativeContent","ROOT","","Root"
"NarrativeContent_2","56d76404-4f02-4bd8-8c1b-e5f3aff1dae3","0","NarrativeContent","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE"
"NarrativeContent_3","f606dc5e-b54a-45d3-9324-260e8fff4a9e","1","NarrativeContent","SECTION 1","<div></div>","PROTOCOL SUMMARY"
"NarrativeContent_4","3d82908c-5591-481a-a63f-64fd782a5ade","1.1","NarrativeContent","SECTION 1.1","<div></div>","Protocol Synopsis"
"NarrativeContent_5","2abb7c14-23a4-442c-b89b-88908df98f0f","1.2","NarrativeContent","SECTION 1.2","<div></div>","Trial Schema"
"NarrativeContent_6","0b9475bd-289d-406f-908f-6f27213f1b2c","1.3","NarrativeContent","SECTION 1.3","<div></div>","Schedule of Activities"
"NarrativeContent_7","bb542af6-be0c-4f76-ace4-0dd9bdafa87b","2","NarrativeContent","SECTION 2","<div></div>","INTRODUCTION"
"NarrativeContent_8","0cd93dc3-b3e4-4a65-996c-aa359c598a8c","2.1","NarrativeContent","SECTION 2.1","<div></div>","Purpose of Trial"
"NarrativeContent_9","b87e0771-94c5-4ab4-a251-0ad8a6efbb29","2.2","NarrativeContent","SECTION 2.2","<div></div>","Summary of Benefits and Risks"
"NarrativeContent_10","e782af31-3069-4d61-a8be-ca4f73f1659f","3","NarrativeContent","SECTION 3","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"NarrativeContent_11","7351e3f4-16f8-4e45-8550-be365298971f","3.1","NarrativeContent","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives"
"NarrativeContent_12","e2b32e20-3931-4adb-b167-683876cfa1c6","4","NarrativeContent","SECTION 4","<div></div>","TRIAL DESIGN"
"NarrativeContent_13","7aa72710-e0ae-40d1-bcb4-3810c00e9714","4.1","NarrativeContent","SECTION 4.1","<div></div>","Description of Trial Design"
"NarrativeContent_14","1c2465bc-4482-4be3-9de8-f6b2f4497296","4.1.1","NarrativeContent","SECTION 4.1.1","<div></div>","Participant Input into Design"
"NarrativeContent_15","690a835d-cdf1-4b66-b738-56e9f92d66e4","4.2","NarrativeContent","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design"
"NarrativeContent_16","0c2e101e-45ea-4751-aba7-2ce3be1d9d39","4.2.1","NarrativeContent","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator"
"NarrativeContent_17","d048ad9c-7a0c-489e-a6e5-bf471c8ce5b8","4.2.2","NarrativeContent","SECTION 4.2.2","<div></div>","Rationale for Adaptive or Novel Trial Design"
"NarrativeContent_18","f559d2ac-b6a3-436f-b021-1ccfe685d5aa","4.2.3","NarrativeContent","SECTION 4.2.3","<div></div>","Other Trial Design Considerations"
"NarrativeContent_19","83ca574f-1fa7-482a-81ce-b1ed3fea4585","4.3","NarrativeContent","SECTION 4.3","<div></div>","Access to Trial Intervention After End of Trial"
"NarrativeContent_20","455bd7e9-7aff-4b2b-8e8d-e8fc37b1dcc3","4.4","NarrativeContent","SECTION 4.4","<div></div>","Start of Trial and End of Trial"
"NarrativeContent_21","105de32d-9b3d-4cfa-90a6-72f615f83528","5","NarrativeContent","SECTION 5","<div></div>","TRIAL POPULATION"
"NarrativeContent_22","b36e92fa-1d4d-4971-aab2-a4db1b890a24","5.1","NarrativeContent","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population"
"NarrativeContent_23","9ef16427-3f85-4a7c-87ef-0b54d06432ca","5.2","NarrativeContent","SECTION 5.2","<div></div>","Rationale for Trial Population"
"NarrativeContent_24","7dfa67c0-f6da-4ee2-88d9-10835190bc1a","5.3","NarrativeContent","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria"
"NarrativeContent_25","18e7a511-a605-4512-b377-b284ed171554","5.4","NarrativeContent","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria"
"NarrativeContent_26","37580f37-56d0-4971-a25c-1ddf3d414787","5.5","NarrativeContent","SECTION 5.5","<div></div>","Lifestyle Considerations"
"NarrativeContent_27","cbbe3bba-1ebd-4167-86f5-16c32b2850d8","5.5.1","NarrativeContent","SECTION 5.5.1","<div></div>","Meals and Dietary Restrictions"
"NarrativeContent_28","2c2b76f8-098d-459f-967b-8fdedb9649fa","5.5.2","NarrativeContent","SECTION 5.5.2","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits"
"NarrativeContent_29","f5ea8204-c4de-443d-b3a1-d7462c66d2c9","5.5.3","NarrativeContent","SECTION 5.5.3","<div></div>","Physical Activity"
"NarrativeContent_30","8734387e-a105-41a2-a57a-985a2d26f0bc","5.5.4","NarrativeContent","SECTION 5.5.4","<div></div>","Other Activity"
"NarrativeContent_31","291a5d9e-51cc-427e-a410-2104e84f981e","5.6","NarrativeContent","SECTION 5.6","<div></div>","Screen Failures"
"NarrativeContent_32","f047a103-d4f8-4d33-bf49-adf33f2cea5f","6","NarrativeContent","SECTION 6","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"NarrativeContent_33","a4ceaa41-50d1-4ae1-9b9a-7f1d6c23cd28","6.1","NarrativeContent","SECTION 6.1","<div></div>","Description of Trial Intervention"
"NarrativeContent_34","4ae14cdb-16af-44f2-a04e-84f2974b2c3f","6.2","NarrativeContent","SECTION 6.2","<div></div>","Rationale for Trial Intervention"
"NarrativeContent_35","fcc7b1ab-74da-49ae-b369-3ce6c95ae0b4","6.3","NarrativeContent","SECTION 6.3","<div></div>","Dosing and Administration"
"NarrativeContent_36","b0d24b81-7b53-4501-93dd-0eb76ca86cb4","6.3.1","NarrativeContent","SECTION 6.3.1","<div></div>","Trial Intervention Dose Modification"
"NarrativeContent_37","b3a9b2fc-4306-420d-b8fc-ccdf5bef9f11","6.4","NarrativeContent","SECTION 6.4","<div></div>","Treatment of Overdose"
"NarrativeContent_38","b433cb39-f4af-46dd-8a4e-2a7fcb4e2d7a","6.5","NarrativeContent","SECTION 6.5","<div></div>","Preparation, Handling, Storage and Accountability"
"NarrativeContent_39","be86b7d8-3697-4d50-8c86-dc2afbf0f333","6.5.1","NarrativeContent","SECTION 6.5.1","<div></div>","Preparation of Trial Intervention"
"NarrativeContent_40","57c679d7-d6d0-458d-9968-dd95febb4d72","6.5.2","NarrativeContent","SECTION 6.5.2","<div></div>","Handling and Storage of Trial Intervention"
"NarrativeContent_41","53e75748-72ef-4399-88a3-32b009cce666","6.5.3","NarrativeContent","SECTION 6.5.3","<div></div>","Accountability of Trial Intervention"
"NarrativeContent_42","368ed13e-bd30-4e1a-8f67-ebfea31c9a88","6.6","NarrativeContent","SECTION 6.6","<div></div>","Participant Assignment, Randomisation and Blinding"
"NarrativeContent_43","660f11d5-3173-475f-b982-c222bb973eb5","6.6.1","NarrativeContent","SECTION 6.6.1","<div></div>","Participant Assignment"
"NarrativeContent_44","183e8008-999f-49c8-8144-c465b17936dd","6.6.2","NarrativeContent","SECTION 6.6.2","<div></div>","Randomisation"
"NarrativeContent_45","9c7bc9c5-01f2-4b6f-9856-10c76a66ae47","6.6.3","NarrativeContent","SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","Blinding and Unblinding"
"NarrativeContent_46","611bb9f4-70e0-4d6e-965b-34bc47ce9fea","6.7","NarrativeContent","SECTION 6.7","<div></div>","Trial Intervention Compliance"
"NarrativeContent_47","8806be0f-51e9-4985-bd6e-35d8fea1f2c2","6.8","NarrativeContent","SECTION 6.8","<div></div>","Concomitant Therapy"
"NarrativeContent_48","aca5e609-5b71-43ed-bd37-e4cb8bc85ebf","6.8.1","NarrativeContent","SECTION 6.8.1","<div></div>","Prohibited Concomitant Therapy"
"NarrativeContent_49","090c1c73-e288-4260-a015-a5652e44ce2b","6.8.2","NarrativeContent","SECTION 6.8.2","<div></div>","Permitted Concomitant Therapy"
"NarrativeContent_50","492c13e1-4f10-4793-aee5-3db978e12ab6","6.8.3","NarrativeContent","SECTION 6.8.3","<div></div>","Rescue Therapy"
"NarrativeContent_51","b04d3c15-ff18-4dcf-9141-59eb22a88c66","6.8.4","NarrativeContent","SECTION 6.8.4","<div></div>","Other Therapy"
"NarrativeContent_52","2efb8499-9bbf-4160-b341-b8e53869b4d8","7","NarrativeContent","SECTION 7","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"NarrativeContent_53","c61dc942-4826-4903-84e6-0730222da6d7","7.1","NarrativeContent","SECTION 7.1","<div></div>","Discontinuation of Trial Intervention"
"NarrativeContent_54","b5f9e52e-61b5-494c-b1bd-9a5ea8a56206","7.1.1","NarrativeContent","SECTION 7.1.1","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention"
"NarrativeContent_55","3ee25660-8f7d-4bba-92a1-c2796266eb71","7.1.2","NarrativeContent","SECTION 7.1.2","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention"
"NarrativeContent_56","9a2af733-8322-4ccd-8a65-f68cd8b0dfda","7.1.3","NarrativeContent","SECTION 7.1.3","<div></div>","Rechallenge"
"NarrativeContent_57","0c228275-06cc-4eaf-aff9-4da787e37ef5","7.2","NarrativeContent","SECTION 7.2","<div></div>","Participant Withdrawal from the Trial"
"NarrativeContent_58","d03e660a-8714-4d7f-9bca-065fd7061754","7.3","NarrativeContent","SECTION 7.3","<div></div>","Lost to Follow-Up"
"NarrativeContent_59","fcf9691b-e6c2-4990-9ff6-d79eb3719185","7.4","NarrativeContent","SECTION 7.4","<div></div>","Trial Stopping Rules"
"NarrativeContent_60","0dde75a8-daab-4647-866c-ecfccd35881c","8","NarrativeContent","SECTION 8","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES"
"NarrativeContent_61","9c31ce00-8f24-4018-867a-b1d43107445c","8.1","NarrativeContent","SECTION 8.1","<div></div>","Screening/Baseline Assessments and Procedures"
"NarrativeContent_62","3217c5c3-d690-4e4a-bb58-6e7b326a55ab","8.2","NarrativeContent","SECTION 8.2","<div></div>","Efficacy Assessments and Procedures"
"NarrativeContent_63","f5d06017-b2da-434d-bf0f-2f2416eb5a24","8.3","NarrativeContent","SECTION 8.3","<div></div>","Safety Assessments and Procedures"
"NarrativeContent_64","11a1b0ab-fcba-4f5c-baf8-ac4a2e8e6612","8.3.1","NarrativeContent","SECTION 8.3.1","<div></div>","Physical Examination"
"NarrativeContent_65","ed9338d9-5d1f-4e6a-a2e9-e124875ffc9f","8.3.2","NarrativeContent","SECTION 8.3.2","<div></div>","Vital Signs"
"NarrativeContent_66","3aff0872-7fec-4cde-80dd-74dffbdaed26","8.3.3","NarrativeContent","SECTION 8.3.3","<div></div>","Electrocardiograms"
