"id","uuid:ID","label","instanceType","reference","name","synonyms"
"BiomedicalConcept_20","fcf5adbf-dc23-4d1f-ad9c-21b535d7bc46","Body Temperature","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","['Temperature']"
"BiomedicalConcept_21","b12ab053-36b9-4eb2-84eb-06530cc0a8c6","Body Weight","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","['Weight']"
"BiomedicalConcept_22","301a49a1-bc37-47aa-a704-c185af13928b","Body Height","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","['Height']"
"BiomedicalConcept_23","2da47ffa-13b1-4c85-ae4b-a4d87012292d","Alanine Aminotransferase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","['ALT', 'SGPT']"
"BiomedicalConcept_24","8327a56b-f56b-4aa1-911d-d2bab3a61941","Albumin Measurement","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","['Albumin']"
"BiomedicalConcept_25","0ebf7d3c-5206-4f75-91cf-3a30cd2b3417","Alkaline Phosphatase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']"
"BiomedicalConcept_26","d667fc10-d4b2-4ae7-9663-2fc6f42cd1d9","Aspartate Aminotransferase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","['AST', 'SGOT']"
"BiomedicalConcept_27","884f8f01-5a0e-4203-828c-7673bd1b7f8b","Creatinine Measurement","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","['Creatinine']"
"BiomedicalConcept_28","2537bbad-a8a4-4066-934b-7bcfae66cdee","Potassium Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","['Potassium', 'K']"
"BiomedicalConcept_29","2e71302a-f4af-452d-8f95-3e0af81cabd1","Sodium Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","['Sodium', 'NA']"
"BiomedicalConcept_1","77ffd89c-7f54-4334-96df-1c6defa859a1","Adverse Event","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","['Adverse Event Reported Term', 'AETERM']"
"BiomedicalConcept_2","adfbaf20-c691-4800-8566-2747e6133651","Systolic Blood Pressure","BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","['SYSBP']"
"BiomedicalConcept_3","594d1c06-5a55-407c-b6e2-136a38b5aec1","Diastolic Blood Pressure","BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","['DIABP']"
"BiomedicalConcept_4","7df1b83e-c47b-4d0a-a5bb-7e98a5c6a829","Body Temperature","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","['Temperature']"
"BiomedicalConcept_5","f520c3e2-2d35-4972-994e-456e01a520ef","Body Weight","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","['Weight']"
"BiomedicalConcept_6","bd570df1-86e5-4ff8-902a-a7a6c9cdaf73","Body Height","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","['Height']"
"BiomedicalConcept_7","e8c3b225-ba73-451f-ab06-28d3dffb58e1","Alanine Aminotransferase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","['ALT', 'SGPT']"
"BiomedicalConcept_8","e60d27b2-efec-4535-80c9-7bf9ffb30c53","Albumin Measurement","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","['Albumin']"
"BiomedicalConcept_9","65e35101-6d82-434a-881a-5e0dbcef2611","Alkaline Phosphatase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']"
"BiomedicalConcept_10","fac336ac-0740-4616-97e9-2e27bf01731c","Aspartate Aminotransferase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","['AST', 'SGOT']"
"BiomedicalConcept_11","f4b36d78-ef3d-4c2d-9395-960dec8683fa","Creatinine Measurement","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","['Creatinine']"
"BiomedicalConcept_12","88f9eacc-3ece-454f-8be8-3952ef7e2249","Potassium Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","['Potassium', 'K']"
"BiomedicalConcept_13","3762e5c9-63ba-4318-9056-32ea69b39b8a","Sodium Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","['Sodium', 'NA']"
"BiomedicalConcept_14","d7049b7f-ccf7-407f-90b8-3e6e7aaee6ae","Systolic Blood Pressure","BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","['SYSBP']"
"BiomedicalConcept_15","e49c5588-1fc2-4707-b8be-ade4dba58f7a","Diastolic Blood Pressure","BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","['DIABP']"
"BiomedicalConcept_16","ff5653a3-ab0f-4c8b-9f7f-c30d7a7f074a","Heart Rate","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate",""
"BiomedicalConcept_17","40ec0dee-ad64-490d-bd9d-2e055a2ddf13","Systolic Blood Pressure","BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","['SYSBP']"
"BiomedicalConcept_18","7ad434b6-4a7a-457f-975c-206f50aa5f2d","Diastolic Blood Pressure","BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","['DIABP']"
"BiomedicalConcept_19","17138b43-8a5f-40bb-94af-f14f9f2aa4b1","Heart Rate","BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate",""
