"id","uuid:ID","label","instanceType","name","description"
"Encounter_1","7e8389c4-090c-42a6-b96f-f0a722c45f10","Screening 1","Encounter","E1","Screening encounter"
"Encounter_2","5cfe7386-8434-4e64-8ea4-e49b66fb8b0a","Screening 2","Encounter","E2","Screening encounter - Ambulatory ECG Placement"
"Encounter_3","d306c98b-5f41-4468-9b50-917b5fee109f","Baseline","Encounter","E3","Baseline encounter - Ambulatory ECG Removal"
"Encounter_4","37386386-ec77-4d2f-b1d0-5072933d1bfe","Week 2","Encounter","E4","Day 14"
"Encounter_5","c0092cbf-bdb2-429e-898d-ccb94adbac0b","Week 4","Encounter","E5","Day 28"
"Encounter_6","95e5d19c-8651-473b-bb0d-4bd3e322c537","Week 6","Encounter","E7","Day 42"
"Encounter_7","a2f8a03c-5b4b-496c-ac32-157e377cf2e7","Week 8","Encounter","E8","Day 56"
"Encounter_8","2f534c5a-27f3-4729-a42b-d2206f2f330b","Week 12","Encounter","E9","Day 84"
"Encounter_9","7830a855-6a5e-47d5-b57f-5f1efa958108","Week 16","Encounter","E10","Day 112"
"Encounter_10","ce34b77b-bf79-493d-8e0c-7f47252b312e","Week 20","Encounter","E11","Day 140"
"Encounter_11","e7bc70b4-b006-4987-8e50-7d92e3c2d473","Week 24","Encounter","E12","Day 168"
"Encounter_12","162ce455-b365-4c65-a2b8-5880d0c75fdc","Week 26","Encounter","E13","Day 182"
