"id","windowUpper","uuid:ID","value","label","window","name","instanceType","windowLower","description"
"Timing_1","","985f83f6-2710-4876-832e-973a04e6094e","P2W","Screening","","TIM1","Timing","","Screening timing"
"Timing_2","PT0H","76be9915-dbea-4089-9d61-ccc12036a069","P2D","Pre dose","-4..0 hours","TIM2","Timing","PT4H","Pre dose timing"
"Timing_3","","e8ff423d-0c0c-4d11-ac5e-b252dd0224b5","P1D","Dosing","","TIM3","Timing","","Dosing anchor"
"Timing_4","P3D","26c3407e-b527-4c49-9f7f-41dd6e1b814a","P2W","Week 2","-3..3 days","TIM4","Timing","P3D","Week 2 timing"
"Timing_5","P3D","6ddff808-a05b-48c2-914e-e7beed4bff3d","P4W","Week 4","-3..3 days","TIM5","Timing","P3D","Week 4 timing"
"Timing_6","P3D","a619f26a-2637-4984-a0d2-000e02f13e0c","P6W","Week 6","-3..3 days","TIM6","Timing","P3D","Week 6 timing"
"Timing_7","P3D","ae7237d8-ca10-41b3-ab89-133fd36fda52","P8W","Week 8","-3..3 days","TIM7","Timing","P3D","Week 8 timing"
"Timing_9","P4D","706251f1-830d-4339-bd29-3f866c133acb","P12W","Week 12","-4..4 days","TIM9","Timing","P4D","Week 12 timing"
"Timing_11","P4D","6e4d9c5f-616f-4c87-8953-ce8a3bc68d4c","P16W","Week 16","-4..4 days","TIM11","Timing","P4D","Week 16 timing"
"Timing_13","P4D","1d3ebca6-3d90-40cf-aa24-b78352977def","P20W","Week 20","-4..4 days","TIM13","Timing","P4D","Week 20 timing"
"Timing_15","P4D","9244ccc9-8419-4bf2-8f7b-f24b476ca987","P24W","Week 24","-4..4 days","TIM15","Timing","P4D","Week 24 timing"
"Timing_16","P3D","e23a2596-008e-46c5-ac22-8650ba0d71c3","P26W","Week 26","-3..3 days","TIM16","Timing","P3D","Week 26 timing"
"Timing_8","","588ce6d4-eacc-4d32-80e4-6d626d4652bb","P2W","Week 8 Home","","TIM8","Timing","","Week 8 at home timing"
"Timing_10","","7fbd3e1e-c362-4875-8cba-2f10b7fc9637","P2W","Week 12 Home","","TIM10","Timing","","Week 12 at home timing"
"Timing_12","","fc0e7780-4fbf-4b17-b9c2-f95fb25c2c5e","P2W","Week 16 Home","","TIM12","Timing","","Week 16 at home timing"
"Timing_14","","3c406c4a-a5c0-4b28-9ea8-873c4e5e4763","P2W","Week 20 Home","","TIM14","Timing","","Week 20 at home timing"
"Timing_17","","f7fb2ee2-b310-43f8-882d-24a3b1eb01ee","P1D","Adverse Event","","TIM17","Timing","","Adverse Event"
"Timing_18","","a7ed3964-7e5d-462b-92b0-221154c4c9a3","P1D","Early Termination","","TIM18","Timing","","Early Termination"
"Timing_19","","1597d43f-6161-4a95-9710-520c7c39031b","PT0M","Supine","","TIM19","Timing","","Supine"
"Timing_20","","39bc78ab-a2d6-4b6a-99db-0ff6320eef10","PT5M","VS while supine","","TIM20","Timing","","VS while supine"
"Timing_21","","d2f3b982-2cb8-44ee-b7e0-64b9ec84ca5d","PT0M","Standing","","TIM21","Timing","","Standing"
"Timing_22","","7f9b9679-ebd5-40c1-8065-6af659b9339c","PT1M","VS while standing","","TIM22","Timing","","VS while standing"
"Timing_23","","e96490ef-dcfa-402e-ac0e-442b5cb0e844","PT0M","Standing","","TIM23","Timing","","Standing"
"Timing_24","","13b7a609-2c06-402a-b870-7bfb0f922d48","PT2M","VS while standing","","TIM24","Timing","","VS while standing"
