"description","id","purpose","instanceType","name","label","text","uuid:ID"
"","Endpoint_1","","ENDPOINT","END1","","Clinical status assessed using a 7-category ordinal scale at Day 28","619c1122-cd50-4998-a516-278634bb0585"
"","Endpoint_2","","ENDPOINT","END2","","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","4b359fc6-eeaf-434f-8f96-df68f3f9cf64"
"","Endpoint_3","","ENDPOINT","END3","","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","f97f15c8-8921-4349-ad15-b004d11c4267"
"","Endpoint_4","","ENDPOINT","END4","","Incidence of mechanical ventilation","f9937edd-9f15-4d2b-b6c9-5873ef60c532"
"","Endpoint_5","","ENDPOINT","END5","","Ventilator-free days to Day 28","4bfc4a54-cf60-4ae3-8ae6-e5b29e0fb2de"
"","Endpoint_6","","ENDPOINT","END6","","Incidence of intensive care unit (ICU) stay","2e9e21ed-490d-4852-a858-eb5a489f84bf"
"","Endpoint_7","","ENDPOINT","END7","","Duration of ICU stay","45d135ad-8972-4187-8593-3788d608af5b"
"","Endpoint_8","","ENDPOINT","END8","","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","f1b7e512-2102-4613-9a98-104a4b33aa3f"
"","Endpoint_9","","ENDPOINT","END9","","Mortality rate at Days 7, 14, 21, 28, and 60","bb6f78c8-26cb-4cba-bb65-2db415dbd348"
"","Endpoint_10","","ENDPOINT","END10","","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","6e36f377-4494-45be-8475-26876da59cb3"
"","Endpoint_11","","ENDPOINT","END11","","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","65ed9da0-8009-47da-90f8-0f4c103cd64a"
"","Endpoint_12","","ENDPOINT","END12","","Duration of supplemental oxygen","063e54bb-c28c-49ba-8a5e-b604861cac30"
