"sectionTitle","id","sectionNumber","name","text","uuid:ID"
"Root","NarrativeContent_1","0","ROOT","","1db00d03-7a0a-44ff-8e20-dee76b337bca"
"PROTOCOL SUMMARY","NarrativeContent_2","1","SECTION 1","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","e52e0cd6-d248-43f2-8dd1-07255813b1a0"
"Protocol Synopsis","NarrativeContent_3","1.1","SECTION 1.1","<div></div>","66cc41b5-aa52-4d08-ba51-18863d438e93"
"Trial Schema","NarrativeContent_4","1.2","SECTION 1.2","<div></div>","76b8afdc-5c32-4d60-abd7-c678ba8702d8"
"Schedule of Activities","NarrativeContent_5","1.3","SECTION 1.3","<div></div>","7010e1d0-8de1-41b4-a667-be425e76e8f6"
"INTRODUCTION","NarrativeContent_6","2","SECTION 2","<div></div>","7687a7d1-f013-46dd-a347-2f442a6acd7c"
"Purpose of Trial","NarrativeContent_7","2.1","SECTION 2.1","<div></div>","ad022264-a8ec-424c-969a-3825818ee1e0"
"Summary of Benefits and Risks","NarrativeContent_8","2.2","SECTION 2.2","<div></div>","e4ba34e1-8cf3-4d54-ae55-a3305468f4b6"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_9","3","SECTION 3","<div></div>","4243caf0-7b66-486f-91f4-071761d01a7f"
"Primary Objectives","NarrativeContent_10","3.1","SECTION 3.1","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","78692a99-780f-49b4-a0d6-84dd5cc4a985"
"TRIAL DESIGN","NarrativeContent_11","4","SECTION 4","<div></div>","63cb16c9-cbad-4db0-b876-490226284879"
"Description of Trial Design","NarrativeContent_12","4.1","SECTION 4.1","<div></div>","248c73d4-5ba9-4ee5-abc4-ef61664e337a"
"Participant Input into Design","NarrativeContent_13","4.1.1","SECTION 4.1.1","<div></div>","6146d8b4-0e7d-4f7a-a602-bb908e7732c5"
"Rationale for Trial Design","NarrativeContent_14","4.2","SECTION 4.2","<div></div>","0163e012-f571-4e08-926a-74fd3766ec7e"
"Rationale for Comparator","NarrativeContent_15","4.2.1","SECTION 4.2.1","<div></div>","6a7591a5-c319-4696-a2fe-0865fb124bde"
"Rationale for Adaptive or Novel Trial Design","NarrativeContent_16","4.2.2","SECTION 4.2.2","<div></div>","870c3c4f-16d8-4a39-9463-edfac186c660"
"Other Trial Design Considerations","NarrativeContent_17","4.2.3","SECTION 4.2.3","<div></div>","ee3f2bf4-98a1-41b0-bcc9-e64013ab0d2b"
"Access to Trial Intervention After End of Trial","NarrativeContent_18","4.3","SECTION 4.3","<div></div>","65b2046e-83ad-4e07-94d8-26f95dc6759b"
"Start of Trial and End of Trial","NarrativeContent_19","4.4","SECTION 4.4","<div></div>","409ca00e-fd72-41f9-a79e-f9af38c371ac"
"TRIAL POPULATION","NarrativeContent_20","5","SECTION 5","<div></div>","859a8d28-f43e-45ce-9e8e-5848306ae688"
"Selection of Trial Population","NarrativeContent_21","5.1","SECTION 5.1","<div></div>","da6ab76b-02cb-44ed-81a7-cf8ffa9619c5"
"Rationale for Trial Population","NarrativeContent_22","5.2","SECTION 5.2","<div></div>","0262bd14-336f-447d-a65d-e94354457d9b"
"Inclusion Criteria","NarrativeContent_23","5.3","SECTION 5.3","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","a5a6e37a-4b06-4cc4-8c76-d91bf2ee75ce"
"Exclusion Criteria","NarrativeContent_24","5.4","SECTION 5.4","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","56dadc37-5cea-47af-a4e7-55e20aa52c79"
"Lifestyle Considerations","NarrativeContent_25","5.5","SECTION 5.5","<div></div>","21fc1e84-f817-4e35-b4d2-062f0fc561b4"
"Meals and Dietary Restrictions","NarrativeContent_26","5.5.1","SECTION 5.5.1","<div></div>","f47e91b7-dc9b-4c25-acfe-d60015b1a293"
"Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_27","5.5.2","SECTION 5.5.2","<div></div>","a7fb2e5c-8416-49a1-b41e-0b558476d8fb"
"Physical Activity","NarrativeContent_28","5.5.3","SECTION 5.5.3","<div></div>","9ff88850-b373-4e70-9c2e-8820db9521f2"
"Other Activity","NarrativeContent_29","5.5.4","SECTION 5.5.4","<div></div>","f8883ba3-a90b-418a-8b0e-d01114bee82d"
"Screen Failures","NarrativeContent_30","5.6","SECTION 5.6","<div></div>","5a7e12c7-8985-43fc-a747-bf060e7c743e"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_31","6","SECTION 6","<div></div>","a43fdfba-236f-4ff2-9b96-e5ce153bc2ec"
"Description of Trial Intervention","NarrativeContent_32","6.1","SECTION 6.1","<div></div>","703242ef-365d-4603-a725-672c7d362b96"
"Rationale for Trial Intervention","NarrativeContent_33","6.2","SECTION 6.2","<div></div>","5063c272-acee-465f-b21e-4b26badd4745"
"Dosing and Administration","NarrativeContent_34","6.3","SECTION 6.3","<div></div>","c6a465b8-6371-4aa8-aff5-f53f3a1036f4"
"Trial Intervention Dose Modification","NarrativeContent_35","6.3.1","SECTION 6.3.1","<div></div>","be62fcf6-2b0c-4aa4-98e0-660124c5bf8d"
"Treatment of Overdose","NarrativeContent_36","6.4","SECTION 6.4","<div></div>","b27b3b10-bf57-45a5-be19-d4159132e8a2"
"Preparation, Handling, Storage and Accountability","NarrativeContent_37","6.5","SECTION 6.5","<div></div>","afe5907f-4f97-470a-9208-8b4fec62fcba"
"Preparation of Trial Intervention","NarrativeContent_38","6.5.1","SECTION 6.5.1","<div></div>","764dbaea-973b-4bec-8300-acb419d4031a"
"Handling and Storage of Trial Intervention","NarrativeContent_39","6.5.2","SECTION 6.5.2","<div></div>","c9b3db2d-5227-49cb-916c-35aec4a1e29f"
"Accountability of Trial Intervention","NarrativeContent_40","6.5.3","SECTION 6.5.3","<div></div>","b5f1d2ba-ed9a-484f-a96d-4b2b44019a8b"
"Participant Assignment, Randomisation and Blinding","NarrativeContent_41","6.6","SECTION 6.6","<div></div>","1b3e7143-42c3-4294-b06a-e768706ce55d"
"Participant Assignment","NarrativeContent_42","6.6.1","SECTION 6.6.1","<div></div>","c1dd18d0-13e0-487a-9f36-f2b62fc6cc94"
"Randomisation","NarrativeContent_43","6.6.2","SECTION 6.6.2","<div></div>","2dd5199b-fdbc-433b-b39b-fdf87dea829c"
"Blinding and Unblinding","NarrativeContent_44","6.6.3","SECTION 6.6.3","<div><p>Blinding and unblinding text here please</p></div>","c4129c59-0222-4243-a520-34bc724010a9"
"Trial Intervention Compliance","NarrativeContent_45","6.7","SECTION 6.7","<div></div>","4fc79ad7-2565-445a-991c-9f09a2d07ade"
"Concomitant Therapy","NarrativeContent_46","6.8","SECTION 6.8","<div></div>","8da1dd30-80f9-4166-aeff-5996526fb8d9"
"Prohibited Concomitant Therapy","NarrativeContent_47","6.8.1","SECTION 6.8.1","<div></div>","7b8148dd-07fc-4b21-a9b5-972e5a060f60"
"Permitted Concomitant Therapy","NarrativeContent_48","6.8.2","SECTION 6.8.2","<div></div>","442dcb50-5e96-4029-83d2-e6539e24b033"
"Rescue Therapy","NarrativeContent_49","6.8.3","SECTION 6.8.3","<div></div>","b3558a76-f186-4fcb-b14f-2a4f2c07a50d"
"Other Therapy","NarrativeContent_50","6.8.4","SECTION 6.8.4","<div></div>","95f1afa5-140d-4f48-830d-f0512d4bb099"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_51","7","SECTION 7","<div></div>","2503df8e-fa79-4f4f-8705-127d04e35692"
"Discontinuation of Trial Intervention","NarrativeContent_52","7.1","SECTION 7.1","<div></div>","3d050097-559c-476f-9887-35c109116279"
"Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_53","7.1.1","SECTION 7.1.1","<div></div>","a0ec4e3f-0e9e-4d2b-9080-7445b18eafd1"
"Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_54","7.1.2","SECTION 7.1.2","<div></div>","123c4f3a-a783-4587-ba0b-8cba02c29dd6"
"Rechallenge","NarrativeContent_55","7.1.3","SECTION 7.1.3","<div></div>","19b347ae-f92f-49b9-8096-ce7e6f0ce564"
"Participant Withdrawal from the Trial","NarrativeContent_56","7.2","SECTION 7.2","<div></div>","4e9a79d0-f71e-433d-8d45-685f2e1084bd"
"Lost to Follow-Up","NarrativeContent_57","7.3","SECTION 7.3","<div></div>","5793a1a9-fcf6-4cb3-85e1-1c59d147977e"
"Trial Stopping Rules","NarrativeContent_58","7.4","SECTION 7.4","<div></div>","50ac8fa1-bcb6-43b4-87b8-6f38127faf45"
"TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_59","8","SECTION 8","<div></div>","63babd4f-4a8f-4358-a4c0-e514dd4b5819"
"Screening/Baseline Assessments and Procedures","NarrativeContent_60","8.1","SECTION 8.1","<div></div>","0b54383d-10a6-45a3-a900-1a8b9771dbb7"
"Efficacy Assessments and Procedures","NarrativeContent_61","8.2","SECTION 8.2","<div></div>","7e307a52-fc7f-43fa-a54c-22ce49780c7f"
"Safety Assessments and Procedures","NarrativeContent_62","8.3","SECTION 8.3","<div></div>","dbdb7ce9-57ae-4b0b-aedc-682bd9edf533"
"Physical Examination","NarrativeContent_63","8.3.1","SECTION 8.3.1","<div></div>","f17aefad-619d-4011-8b3e-c90c4d31bc95"
"Vital Signs","NarrativeContent_64","8.3.2","SECTION 8.3.2","<div></div>","b83bab8d-c7ac-45ff-91b8-0551f5877c5d"
"Electrocardiograms","NarrativeContent_65","8.3.3","SECTION 8.3.3","<div></div>","28a3d36b-508e-4c44-ba68-20e3cafca9db"
"Clinical Laboratory Assessments","NarrativeContent_66","8.3.4","SECTION 8.3.4","<div></div>","5673b577-6f3c-4e42-a15b-f09000a71fe5"
"Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_67","8.3.5","SECTION 8.3.5","<div></div>","a31a6603-0fdd-4aa0-b4dd-bc388a13a031"
"Adverse Events and Serious Adverse Events","NarrativeContent_68","8.4","SECTION 8.4","<div></div>","ab4e5d77-7fea-4542-a66b-1b74b1f462ef"
"Definitions of AE and SAE","NarrativeContent_69","8.4.1","SECTION 8.4.1","<div></div>","19de7861-9c21-474b-abab-130ede2c95bc"
"Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_70","8.4.2","SECTION 8.4.2","<div></div>","ac8a747a-5501-4268-9cf8-2b1feca73d71"
"Identifying AEs and SAEs","NarrativeContent_71","8.4.3","SECTION 8.4.3","<div></div>","20530892-ed1d-43df-9772-7f60c1be78d2"
"Recording of AEs and SAEs","NarrativeContent_72","8.4.4","SECTION 8.4.4","<div></div>","09628413-22fa-4a7e-9783-3dd06c4d679b"
"Follow-up of AEs and SAEs","NarrativeContent_73","8.4.5","SECTION 8.4.5","<div></div>","cd92e61f-2165-4756-bf46-11843493ff62"
"Reporting of SAEs","NarrativeContent_74","8.4.6","SECTION 8.4.6","<div></div>","532015ec-a137-4ee4-b41e-4b0325b00af1"
"Regulatory Reporting Requirements for SAEs","NarrativeContent_75","8.4.7","SECTION 8.4.7","<div></div>","075adee3-feef-49e6-baf5-245f46ffd77a"
"Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_76","8.4.8","SECTION 8.4.8","<div></div>","8550a16b-6bf9-48d3-9e7e-97c4c4a923c0"
"Adverse Events of Special Interest","NarrativeContent_77","8.4.9","SECTION 8.4.9","<div></div>","c2721198-69d7-41b9-9bce-d5c28bd0f736"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_78","8.4.10","SECTION 8.4.10","<div></div>","8febdae6-1d93-4223-80bc-785708d8c2e9"
"Pregnancy and Postpartum Information","NarrativeContent_79","8.5","SECTION 8.5","<div></div>","792b71b4-ab07-4e63-8a6e-2e3bc26dfbde"
"Participants Who Become Pregnant During the Trial","NarrativeContent_80","8.5.1","SECTION 8.5.1","<div></div>","2f3a3660-d722-4345-9508-2301e02e8a6e"
