"id","name","text","uuid:ID"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identified","8dd203cc-eb31-4b05-98c6-2d5fdc4ae8e8"
"TransitionRule_2","ENCOUNTER_START_RULE_1","IEs passed","405075f1-1994-4bfa-ba2b-afe513592651"
"TransitionRule_3","ENCOUNTER_START_RULE_3","Radomized","0aba66d2-4714-4a6f-b3b2-66656c494037"
"TransitionRule_4","ELEMENT_START_RULE_1","Study Start","9d265962-3d35-4ddf-bf3f-5ffec6125079"
"TransitionRule_5","ELEMENT_END_RULE_1","Screened","44444cec-ccbf-4d77-a718-56e4e533ea15"
"TransitionRule_6","ELEMENT_START_RULE_2","Screened","2f5c5464-876e-4bc2-8d76-077fe6b5371f"
"TransitionRule_7","ELEMENT_END_RULE_2","Radomized","e4717a6f-eb86-4331-a412-88329b458280"
"TransitionRule_8","ELEMENT_START_RULE_3","Radomized","bba7f798-e2ba-4b7d-91d6-220a3b0e3a70"
"TransitionRule_9","ELEMENT_END_RULE_3","Completed treatment 1","66b4a012-5fa7-471e-a96a-102e4d4b93aa"
"TransitionRule_12","ELEMENT_START_RULE_5","Radomized","f449b21b-1ffd-4d13-b09f-6def764f8a99"
"TransitionRule_13","ELEMENT_END_RULE_5","Completed treatment 2","1bff7075-aa84-4968-8d18-6662c8531425"
"TransitionRule_10","ELEMENT_START_RULE_4","Treated","db6f5e8c-cb09-4927-bf50-85da50281e09"
"TransitionRule_11","ELEMENT_END_RULE_4","Leave Study","1fc2471f-4985-4ac8-9464-7d466afa3ed7"
