"name","id","uuid:ID","sectionTitle","text","sectionNumber"
"ROOT","NarrativeContent_1","fadb2a51-5dff-4b4f-8ae6-6a2f55fb8829","Root","","0"
"SECTION 0","NarrativeContent_2","064a29c5-9bf5-4aa3-8b11-c5af7f91f4d5","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","0"
"SECTION 1","NarrativeContent_3","93809e39-42c0-4b0c-854b-e076731c9ef6","PROTOCOL SUMMARY","<div></div>","1"
"SECTION 1.1","NarrativeContent_4","cb767565-7238-4546-bc25-6014e1fa5785","Protocol Synopsis","<div></div>","1.1"
"SECTION 1.2","NarrativeContent_5","34915fa0-4457-47c4-9692-d61fd71d3e43","Trial Schema","<div></div>","1.2"
"SECTION 1.3","NarrativeContent_6","9d093246-cb3e-43b9-92b9-1d6210d3974d","Schedule of Activities","<div></div>","1.3"
"SECTION 2","NarrativeContent_7","270f9b29-071c-4f0e-9460-06fe33c2b8d9","INTRODUCTION","<div></div>","2"
"SECTION 2.1","NarrativeContent_8","7df2d14c-2702-48a5-b220-9e14f579c777","Purpose of Trial","<div></div>","2.1"
"SECTION 2.2","NarrativeContent_9","52853a7f-d406-4415-a5f8-a357f9fc7526","Summary of Benefits and Risks","<div></div>","2.2"
"SECTION 3","NarrativeContent_10","e9f4cf8e-19af-47a4-816a-18cd60732049","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","3"
"SECTION 3.1","NarrativeContent_11","bd993e2b-12b2-45a8-9dc5-fa08945eda0c","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1"
"SECTION 4","NarrativeContent_12","2a79d379-3cdc-4c55-9561-e7aff758c3e0","TRIAL DESIGN","<div></div>","4"
"SECTION 4.1","NarrativeContent_13","c29f776b-de26-4f8c-bc71-f32558d212ed","Description of Trial Design","<div></div>","4.1"
"SECTION 4.1.1","NarrativeContent_14","1e5af07a-5da5-44b7-a1a8-dba87b50742f","Participant Input into Design","<div></div>","4.1.1"
"SECTION 4.2","NarrativeContent_15","0c7f9963-6292-4e24-bf1a-82870dc9514b","Rationale for Trial Design","<div></div>","4.2"
"SECTION 4.2.1","NarrativeContent_16","c8730520-bd0f-4238-90ae-a3c9de78b76f","Rationale for Comparator","<div></div>","4.2.1"
"SECTION 4.2.2","NarrativeContent_17","3481b5af-df70-4dd5-ae41-d1d2793ec2f3","Rationale for Adaptive or Novel Trial Design","<div></div>","4.2.2"
"SECTION 4.2.3","NarrativeContent_18","956e8ec0-6a86-4df5-a704-daabd2f2cd2a","Other Trial Design Considerations","<div></div>","4.2.3"
"SECTION 4.3","NarrativeContent_19","3b5cd7c7-7c4f-4d8d-944a-9b9f296e4e20","Access to Trial Intervention After End of Trial","<div></div>","4.3"
"SECTION 4.4","NarrativeContent_20","3c6df632-b814-4098-a3e2-28eadc83a1be","Start of Trial and End of Trial","<div></div>","4.4"
"SECTION 5","NarrativeContent_21","4dfcd696-e5a2-41fa-9449-e563ef42eaf6","TRIAL POPULATION","<div></div>","5"
"SECTION 5.1","NarrativeContent_22","6dbdde81-0199-4418-bbb6-831e5d3dbd03","Selection of Trial Population","<div></div>","5.1"
"SECTION 5.2","NarrativeContent_23","cb123d25-647b-4489-8676-7b97d9c7711d","Rationale for Trial Population","<div></div>","5.2"
"SECTION 5.3","NarrativeContent_24","6903c998-7c41-4db9-901c-9eec47dfb685","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","5.3"
"SECTION 5.4","NarrativeContent_25","41d9c13d-b700-44df-9d8c-be66fbeb2b6e","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","5.4"
"SECTION 5.5","NarrativeContent_26","30c8addc-7065-4347-a8bc-7dd3eee98f59","Lifestyle Considerations","<div></div>","5.5"
"SECTION 5.5.1","NarrativeContent_27","6fde23dc-2752-434a-84a8-415cab8dba80","Meals and Dietary Restrictions","<div></div>","5.5.1"
