"id","uuid:ID","codeSystem","decode","codeSystemVersion","code"
"Code_1","c9b80fc5-391d-4efe-8698-cc32660350a4","http://www.cdisc.org","Interventional Study","2023-09-29","C98388"
"Code_2","d2583c02-c4de-4f48-84f1-fa3da646b963","http://www.cdisc.org","Phase III Trial","2023-09-29","C15602"
"Code_6","eb515768-d78c-4cae-a3f1-b3c807d64036","http://www.cdisc.org","Sponsor Approval Date","2023-09-29","C132352"
"Code_8","34fec32b-4021-4d45-b0a6-8d9e8df5e648","http://www.cdisc.org","Country","2023-09-29","C25464"
"Code_7","152fa4f4-52ed-4817-8c20-4a85183ed77f","ISO 3166 1 alpha3","United Kingdom of Great Britain and Northern Ireland","2020-08","GBR"
"Code_10","a141325c-e199-42a5-a6d0-b317683fa2e3","http://www.cdisc.org","Country","2023-09-29","C25464"
"Code_9","3b9e3fc0-ecdd-4b18-827b-8ce3b6ca0bb1","ISO 3166 1 alpha3","France","2020-08","FRA"
"Code_12","77439897-091b-4af9-ba19-ab5e2c0620e2","http://www.cdisc.org","Region","2023-09-29","C41129"
"Code_11","79f11030-3816-418a-9904-92ea17e9c389","ISO 3166 1 alpha3","Asia","2020-08","142"
"Code_14","69f201c8-2410-4bdc-8823-25aed339a801","http://www.cdisc.org","Country","2023-09-29","C25464"
"Code_13","06d29dfa-4929-49cb-8884-30f159d7beb4","ISO 3166 1 alpha3","United States of America","2020-08","USA"
"Code_43","309302b1-9e52-4663-b10c-03ec89802ccb","http://www.cdisc.org","Other","2023-09-29","C17649"
"Code_45","b54db91a-454e-48c8-8f82-71cff74583a3","http://www.cdisc.org","Region","2023-09-29","C41129"
"Code_44","f24c61de-bceb-4a8f-ac47-118d60636a9c","ISO 3166 1 alpha3","Europe","2020-08","150"
"Code_40","a98ff058-b60e-4dbe-a4cc-4e912cb03839","http://www.cdisc.org","Change In Strategy","2023-09-29","C99904x7"
"Code_41","28fc1b9b-6b25-4630-9c8b-46022146d537","http://www.cdisc.org","Investigator/Site Feedback","2023-09-29","C99904x10"
"Code_42","5e2987b3-a7dc-468d-9471-3d219e92fcea","http://www.cdisc.org","Global","2023-09-29","C68846"
"Code_35","665bf84d-a45a-4a0b-bb5d-30948e546cfe","http://www.cdisc.org","New Safety Information Available","2023-09-29","C99904x4"
"Code_37","eadf46c3-5bcc-4c13-839e-33134799151b","http://www.cdisc.org","Region","2023-09-29","C41129"
"Code_36","83c5e568-bcd8-495e-9c6b-c04800270bff","ISO 3166 1 alpha3","Europe","2020-08","150"
"Code_39","77b4d4ea-f62d-4eab-be2a-fe7e4a53f30b","http://www.cdisc.org","Country","2023-09-29","C25464"
"Code_38","f8375a45-cc95-46b4-8022-b0e68eb1167f","ISO 3166 1 alpha3","Denmark","2020-08","DNK"
"Code_33","936fe85e-e4c8-416e-9b8b-34054fd762b4","http://www.cdisc.org","IRB/IEC Feedback","2023-09-29","C99904x3"
"Code_34","d029dedc-5bf0-4ec7-b64b-ce3413ec9337","http://www.cdisc.org","Global","2023-09-29","C68846"
"Code_3","8bd65db8-eef0-4db6-a464-cdbbff38e371","SPONSOR","Vacines Group","12","VAC"
"Code_4","d3b0981a-77c8-47ca-a52c-0c6d3801b84e","SPONSOR","Regulatory","12","REG"
"Code_46","fb9344e0-a9fc-4206-aff4-e57f11fdbe6b","http://www.cdisc.org","Study Registry","2023-09-29","C93453"
"Code_47","416a750f-36c6-4923-85db-3429107b9e86","ISO 3166 1 alpha3","United Kingdom of Great Britain and Northern Ireland","2020-08","GBR"
"Code_48","9b05078c-7d71-4b84-b5d9-ba9d72290c6e","http://www.cdisc.org","Clinical Study Sponsor","2023-09-29","C70793"
"Code_49","b02701d5-226a-4f0f-aa45-306933224027","ISO 3166 1 alpha3","France","2020-08","FRA"
"Code_50","2aecb365-5a93-4727-90db-7f1a8d7a2b9a","http://www.cdisc.org","Regulatory Agency","2023-09-29","C188863"
"Code_51","9a1db262-5b63-482d-87d1-0837f1046bde","http://www.cdisc.org","Regulatory Agency","2023-09-29","C188863"
"Code_52","dfb296bc-c59e-4ed3-87d4-c895f66ee631","http://www.cdisc.org","Study Registry","2023-09-29","C93453"
"Code_84","3bff8338-65eb-48d3-b4cc-e1bc78b6dbe2","http://www.cdisc.org","Basic Research","2023-09-29","C15714"
"Code_85","8316903a-783e-4805-94cb-e676c2242eff","http://www.cdisc.org","Device Feasibility Study","2023-09-29","C139174"
"Code_86","2e690b21-e12b-4b8a-802f-2c4e36b96376","http://www.cdisc.org","Efficacy Study","2023-09-29","C49666"
"Code_81","92829ddd-5789-4ffd-a095-9517bd347588","SPONSOR","Type 2 diabetes","12","T2_DIABETES"
"Code_82","dc04b738-e697-4186-899b-c3b4e68c2f56","SNOMED","Diabetes mellitus (disorder)","January 31, 2018","73211009"
"Code_87","4315e292-8bb2-42a4-b5dc-c04ef0d6adc6","http://www.cdisc.org","Parallel Study","2023-09-29","C82639"
"Code_55","c05f706b-b3fb-4d72-b1d9-a5668eae2835","http://www.cdisc.org","Visit","2023-09-29","C25716"
"Code_56","15761573-88b0-4c49-914a-709a2f602a12","http://www.cdisc.org","Clinic","2023-09-29","C51282"
"Code_57","80221968-d3e9-4d96-849c-50f942e00f34","http://www.cdisc.org","In Person","2023-09-29","C175574"
"Code_58","7fbdc278-6fff-4ff1-ad12-da75f7fbb9d3","http://www.cdisc.org","Visit","2023-09-29","C25716"
"Code_59","4deb8813-2d95-450a-a719-acb7d8486a42","http://www.cdisc.org","Clinic","2023-09-29","C51282"
"Code_60","520e8e6d-d3af-4c5e-bf68-c3904431f75e","http://www.cdisc.org","In Person","2023-09-29","C175574"
"Code_61","2928ef8e-cb77-4649-98ef-662980fcf876","http://www.cdisc.org","Visit","2023-09-29","C25716"
"Code_62","aa93d478-68f8-4d4b-a7f5-b31e35c2d244","http://www.cdisc.org","Clinic","2023-09-29","C51282"
"Code_63","53c008d7-9f43-4787-ba91-ad26d8e999a6","http://www.cdisc.org","In Person","2023-09-29","C175574"
"Code_64","20a280e6-be7b-4ee4-882c-8f3a87aecb69","http://www.cdisc.org","Visit","2023-09-29","C25716"
