"name","uuid:ID","description","instanceType","id","label"
"Informed consent","d978d5dc-f8e4-43a7-935e-867ba65d64dd","","Activity","Activity_1","Informed consent"
"Inclusion/exclusion criteria","f2d25587-6ed9-45c9-a2b3-0387d8ec6e6a","","Activity","Activity_2","Inclusion and exclusion criteria"
"Patient number assigned","396f3587-c920-454c-99a9-d77cc3164cac","","Activity","Activity_3","Patient number assigned"
"Demographics","651b3d14-2372-498d-907d-b8458b0b5313","","Activity","Activity_4","Demographics"
"Hachinski","298417bf-1fb2-482e-9ae5-734ab90ad4f3","","Activity","Activity_5","Hachinski Ischemic Scale"
"MMSE","5af1f2b3-5bbc-41e0-a958-c7735ac7b21a","","Activity","Activity_6","MMSE"
"Physical examination","f0ebb0e3-ea05-4511-9c5c-8a6abf24fea3","","Activity","Activity_7","Physical examination"
"Medical history","6bc24d06-59d3-4f09-b423-770cf810ed60","","Activity","Activity_8","Medical history"
"Habits","519fd202-b1cd-41f7-b37f-5ff7b095562b","","Activity","Activity_9","Habits"
"Chest X-ray","17b47d5e-11e9-4087-812c-32285de778c7","","Activity","Activity_10","Chest X-ray"
"Apo E genotyping","552bcd38-c3fe-42bc-b9f1-eba4fa78cadf","","Activity","Activity_11","Apo E genotyping"
"Patient randomised","51240066-2f44-4547-bf68-6754c8ecfc95","","Activity","Activity_12","Patient randomised"
"Vital signs / Temperature","bba3cf10-2d0b-461f-9b5d-5c26604ee603","","Activity","Activity_13","Vital Signs and Temperature"
"Ambulatory ECG placed","028bcca7-196e-479d-a2ad-5c134e927d3f","","Activity","Activity_14","Ambulatory ECG placed"
"Ambulatory ECG removed","99443a3e-0a21-48a3-9c61-0893fe483c7a","","Activity","Activity_15","Ambulatory ECG removed"
"ECG","c03a56de-f359-421e-b908-397bc3faeaba","","Activity","Activity_16","ECG"
"Placebo TTS test","4b7a6db3-f1b5-449d-82b2-6f06c49ff9ec","","Activity","Activity_17","Placebo TTS test"
"CT scan","c73382dd-5a4b-449b-adb0-62f57d30a84d","","Activity","Activity_18","CT scan"
"Concomitant medications","d752a6f3-8162-4ae9-89d1-04146bddb4f6","","Activity","Activity_19","Concomitant medications"
"Hematology","c7c2203b-aa42-4e0a-99cf-4e14cd89c927","","Activity","Activity_20","Hematology"
"Chemistry","68deb1af-f81b-4f54-8da0-2fda9ac1ab12","","Activity","Activity_21","Chemistry"
"Uninalysis","e9f10a23-5f72-42d5-8fbb-e95cd2b822ed","","Activity","Activity_22","Uninalysis"
"Plasma Specimen (Xanomeline)","c752e4d4-dde4-4c9d-9eaa-116a2b5aa874","","Activity","Activity_23","Plasma Specimen (Xanomeline)"
"Hemoglobin A1C","b772b7e1-e2a2-42ed-8eb1-19804bb42607","","Activity","Activity_24","Hemoglobin A1C"
"Study drug","99af762f-dfdc-47c4-90b0-cd2a217af267","","Activity","Activity_25","Study drug record , Medications dispensed, Medications returned"
"TTS Acceptability Survey","49891fc7-5082-4a51-81e6-b7ec69cc136d","","Activity","Activity_26","TTS Acceptability Survey"
"ADAS-Cog","91a55137-8b98-4998-a3b6-89e6a7ba800a","","Activity","Activity_27","ADAS-Cog"
"CIBIC+","26939713-3772-4783-9732-cc30844d9d04","","Activity","Activity_28","CIBIC+"
"DAD","956227d8-e5f5-477e-ae48-c072e000bdd8","","Activity","Activity_29","DAD"
"NPI-X","53584073-2754-433f-9804-e5fd9c914491","","Activity","Activity_30","NPI-X"
"Adverse events","2d5fda0e-9808-4d7c-845e-aa61fe6c3ae1","","Activity","Activity_31","Adverse events"
"Check adverse events","38a3316b-eae9-4dd9-8ffc-d02bb450e08a","","Activity","Activity_32","Check adverse events"
"Supine","283b3a90-959f-43ac-8799-2ff861b67f37","","Activity","Activity_33","Subject supine"
"Vital Signs Supine","3f85ab23-3e1e-4eb5-b41d-35550b8be5ac","","Activity","Activity_34","Vital signs while supine"
"Stand","63c91efa-a794-43c2-b455-f82ecd280881","","Activity","Activity_35","Subject Standing"
"Vital Signs Standing","33fb558d-196e-4284-8950-96a23d334dc4","","Activity","Activity_36","Vital signs while standing"
