"synonyms","label","name","uuid:ID","instanceType","id","reference"
"['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","Informed Consent Obtained","409b0af5-f8ea-477b-bc5e-cc0d7530085a","BiomedicalConcept","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"","Sex","Sex","37e7369a-7986-4fe9-8f64-cbe8acdf6cfe","BiomedicalConcept","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"['Racial Group']","Race","Race","1fed3bcc-fbb8-463a-a23a-0299cda8128f","BiomedicalConcept","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"['Temperature', 'Body Temperature']","Temperature","Temperature","c02b4ee4-780b-40db-ae74-0e2ae429bdf4","BiomedicalConcept","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"['Weight', 'Body Weight']","Weight","Weight","07949932-8a11-485f-a6e6-3b2bd84744a8","BiomedicalConcept","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"['Height', 'Body Height']","Height","Height","489eebed-109e-4346-b73c-ad8756b5d5c0","BiomedicalConcept","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","78ed064f-5109-45db-95f9-03a527b7cecd","BiomedicalConcept","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","Albumin Presence in Urine","44ea6c75-88d7-45c1-a195-46573da6df2b","BiomedicalConcept","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","f71e1b27-c00e-478b-ae65-9333a1cb39f5","BiomedicalConcept","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","50b9dab2-1295-4ec1-8028-fc7a2c556635","BiomedicalConcept","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
