"name","uuid:ID","description","instanceType","id","label"
"SCREEN1","4cdb0ab3-c122-4c23-979b-d73eb0340b71","-","ScheduledActivityInstance","ScheduledActivityInstance_9","Screen One"
"SCREEN2","c2ad1f93-6bf7-43c7-83cb-5c2ed2cff6b3","-","ScheduledActivityInstance","ScheduledActivityInstance_10","Screen Two"
"DOSE","26715f62-04ed-4a87-98c8-2e3765e0d84e","-","ScheduledActivityInstance","ScheduledActivityInstance_11","Dose"
"WK2","8ce8a129-9a2e-48e5-b652-721d69ed0958","-","ScheduledActivityInstance","ScheduledActivityInstance_12","Week 2"
"WK4","16b47aa7-b76c-42c2-82f1-3d69be09e42f","-","ScheduledActivityInstance","ScheduledActivityInstance_13","Week 4"
"WK6","fef5d4ef-46e7-478d-83a6-fe138053db61","-","ScheduledActivityInstance","ScheduledActivityInstance_14","Week 6"
"WK8","b5fba8d1-3366-4a8f-9786-1fa9f32fbedd","-","ScheduledActivityInstance","ScheduledActivityInstance_15","Week 8"
"WK8N","87d4a307-3197-4eee-8ff1-796790aa030d","-","ScheduledActivityInstance","ScheduledActivityInstance_16","Week NPI"
"WK12","cfd8af77-2f94-4483-bd63-51006bfe6509","-","ScheduledActivityInstance","ScheduledActivityInstance_17","Week 12"
"WK12N","01b20db0-48e7-42a7-8f1a-12b904065749","-","ScheduledActivityInstance","ScheduledActivityInstance_18","Week 12 NPI"
"WK16","2a4687b7-cef6-49e7-9fbe-3b7be1ed9ee6","-","ScheduledActivityInstance","ScheduledActivityInstance_19","Week 16"
"WK16N","9c38fc20-f7ad-463a-8572-e24536803135","-","ScheduledActivityInstance","ScheduledActivityInstance_20","Week 16 NPI"
"WK20","85b8486d-8c26-4710-9593-6427aa2e1c6a","-","ScheduledActivityInstance","ScheduledActivityInstance_21","Week 20"
"WK20N","0fb40079-924b-440e-841b-64ec184bb10f","-","ScheduledActivityInstance","ScheduledActivityInstance_22","Week 20 NPI"
"WK24","13279b6b-2a5f-4a66-b1cd-8264b47edc65","-","ScheduledActivityInstance","ScheduledActivityInstance_23","Week 24"
"WK26","4d46b533-d1a0-4aaa-8ab8-ade2c86f64e1","-","ScheduledActivityInstance","ScheduledActivityInstance_24","Week 26"
"AE","f6e39ed5-638f-40ae-9c76-ae5bfaf05db6","-","ScheduledActivityInstance","ScheduledActivityInstance_1","Adevers Event"
"ET","19497b50-3677-4119-9171-f0f5ecc92471","-","ScheduledActivityInstance","ScheduledActivityInstance_2","Early Termination"
"VS_5MIN","c3d8c5b7-4c21-4cd1-9534-e138c4a083aa","","ScheduledActivityInstance","ScheduledActivityInstance_3","5 minute supine"
"VS_SUPINE","6016a6eb-ca77-4ff3-941f-fdeba3431dce","","ScheduledActivityInstance","ScheduledActivityInstance_4","Vital signs supine"
"VS_1MIN","bf82f12d-c393-464d-a703-531bec0c28df","","ScheduledActivityInstance","ScheduledActivityInstance_5","1 minute standing"
"VS_STAND1","57b72e2e-8349-4613-a2ef-1f14742cbab2","","ScheduledActivityInstance","ScheduledActivityInstance_6","Vital signs after 1 min standing"
"VS_2MIN","aadb803d-54da-410f-b2d5-adc39a571bd3","","ScheduledActivityInstance","ScheduledActivityInstance_7","2 minute standing"
"VS_STAND3","ca8e0d68-a8d9-4231-a83b-0116132f3e75","","ScheduledActivityInstance","ScheduledActivityInstance_8","Vital signs after 3 min standing"
