"code","decode","uuid:ID","instanceType","codeSystem","codeSystemVersion","id"
"C98388","Interventional Study","c6e40ec1-92d8-4ebf-a95b-11404417a97f","Code","http://www.cdisc.org","2023-12-15","Code_1"
"C15601","Phase II Trial","df0b62a4-183e-49bf-b060-9de35206bfb4","Code","http://www.cdisc.org","2023-12-15","Code_2"
"C132352","Sponsor Approval Date","e91fff93-09b1-48b5-8031-5935faa44a5e","Code","http://www.cdisc.org","2023-12-15","Code_9"
"C68846","Global","3d4d1f23-b1c7-4475-a8a7-d2cc0702dca9","Code","http://www.cdisc.org","2023-12-15","Code_10"
"C99904x3","IRB/IEC Feedback","cb71d30d-fccb-42bc-be36-00ea75b0a3f6","Code","http://www.cdisc.org","2023-12-15","Code_72"
"C17649","Other","a00e861c-cf23-401f-b968-6030b808def1","Code","http://www.cdisc.org","2023-12-15","Code_73"
"C41129","Region","352ad1f3-18e6-4bbe-9cc1-d86f8ebdfe75","Code","http://www.cdisc.org","2023-12-15","Code_75"
"150","Europe","6a8cc9ef-dd9e-4f14-8a8c-dd5f3279b360","Code","ISO 3166 1 alpha3","2020-08","Code_74"
"PHARMA","Eli Lilly","036a91ca-cf16-4485-be96-2b11c1a5040e","Code","SPONSOR","12","Code_4"
"C70793","Clinical Study Sponsor","3fd3655e-a904-4c43-aae6-788004e1698a","Code","http://www.cdisc.org","2023-12-15","Code_76"
"USA","United States of America","7c4a92b1-66cc-4ec0-b36c-f26994707f67","Code","ISO 3166 1 alpha3","2020-08","Code_77"
"C93453","Study Registry","994bd198-d879-4e86-a8c8-814e85018498","Code","http://www.cdisc.org","2023-12-15","Code_78"
"USA","United States of America","e99ecfc3-2af3-4529-8c7f-f1b6d8281160","Code","ISO 3166 1 alpha3","2020-08","Code_79"
"C49656","Treatment Study","51d646b3-185c-4846-84d3-60d35c334f79","Code","http://www.cdisc.org","2023-12-15","Code_137"
"C49666","Efficacy Study","25036a40-e7d1-4642-ad01-85a42047436a","Code","http://www.cdisc.org","2023-12-15","Code_138"
"C49667","Safety Study","3caeba38-c5e9-4251-b90c-2478a763d5ea","Code","http://www.cdisc.org","2023-12-15","Code_139"
"C49663","Pharmacokinetic Study","3685422a-6d0a-4c80-b522-ffcd9aa1264a","Code","http://www.cdisc.org","2023-12-15","Code_140"
"MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","2e8d23ca-aad7-4cb5-80b0-978403770e84","Code","SPONSOR","12","Code_134"
"26929004","Alzheimer's disease","b2cce046-c5f8-4bfd-bb3e-e6446bb93acc","Code","SNOMED","January 31, 2018","Code_135"
"C99907x1","EXTENSION","89eeef3b-336e-4bc0-8901-8c1c6c8333dc","Code","http://www.cdisc.org","2023-12-15","Code_143"
"C98704","ADAPTIVE","6df31adf-0990-4edd-b47c-7b99d270ce21","Code","http://www.cdisc.org","2023-12-15","Code_144"
"C82639","Parallel Study","dddb2ce8-867d-4a80-b171-d8a950ab4ad7","Code","http://www.cdisc.org","2023-12-15","Code_141"
"C25716","Visit","ac8449fd-81a3-4a2e-aa8f-d48f9ebb2bb7","Code","http://www.cdisc.org","2023-12-15","Code_83"
"C51282","Clinic","d27f757f-7297-4ad9-9772-28802a56f92c","Code","http://www.cdisc.org","2023-12-15","Code_84"
"C175574","In Person","77cd9b8c-b101-4a76-991a-309b0d872615","Code","http://www.cdisc.org","2023-12-15","Code_85"
"C25716","Visit","c0d70938-39b4-401b-80ba-8aa1f7ee3320","Code","http://www.cdisc.org","2023-12-15","Code_86"
"C51282","Clinic","072299cf-e7aa-4444-a52b-92fe1d4d6388","Code","http://www.cdisc.org","2023-12-15","Code_87"
"C175574","In Person","92b14dd8-c750-4263-87e2-448c08227c24","Code","http://www.cdisc.org","2023-12-15","Code_88"
"C25716","Visit","f11533a4-0de6-4f8e-b292-d72f954aff44","Code","http://www.cdisc.org","2023-12-15","Code_89"
"C51282","Clinic","b0aa864d-702e-48cd-a192-bba695c5f020","Code","http://www.cdisc.org","2023-12-15","Code_90"
"C175574","In Person","3a6ebfdc-3cfb-4ced-a6ae-bc8952e8ac33","Code","http://www.cdisc.org","2023-12-15","Code_91"
"C25716","Visit","dc40521a-2dc8-4933-9136-c6fe9428d20b","Code","http://www.cdisc.org","2023-12-15","Code_92"
"C51282","Clinic","9e3aaa1a-8f4c-4e95-b41f-6cd553815be3","Code","http://www.cdisc.org","2023-12-15","Code_93"
"C175574","In Person","d8ef9ed8-2cc1-419d-b87d-434f6febc40c","Code","http://www.cdisc.org","2023-12-15","Code_94"
"C25716","Visit","1babe90f-7165-4e79-b0be-87aa22f0aa46","Code","http://www.cdisc.org","2023-12-15","Code_95"
"C51282","Clinic","3efd4397-8035-4b5a-b4f4-3402d8b2f0b3","Code","http://www.cdisc.org","2023-12-15","Code_96"
"C175574","In Person","3521e3ed-5e46-44fb-909c-61ad27e7ad43","Code","http://www.cdisc.org","2023-12-15","Code_97"
"C25716","Visit","9fc12381-b155-4980-8feb-8ec8ca2c5cf7","Code","http://www.cdisc.org","2023-12-15","Code_98"
"C51282","Clinic","160f491b-066e-418c-8701-d791ead64fc4","Code","http://www.cdisc.org","2023-12-15","Code_99"
"C175574","In Person","434d1de3-6800-410c-87f4-92b00e98de5d","Code","http://www.cdisc.org","2023-12-15","Code_100"
"C25716","Visit","ab9f1bdf-f7fa-4943-b93f-d09ebbee2c2f","Code","http://www.cdisc.org","2023-12-15","Code_101"
"C51282","Clinic","3102b185-0c80-4196-b285-4e1a7674d7a2","Code","http://www.cdisc.org","2023-12-15","Code_102"
"C175574","In Person","b731fefb-0e02-497d-9f87-92b8c1a49f10","Code","http://www.cdisc.org","2023-12-15","Code_103"
"C171537","Telephone Call","11b7b33f-bc79-4df5-870b-637a7fe681df","Code","http://www.cdisc.org","2023-12-15","Code_104"
"C25716","Visit","efddf2dd-308e-4b5d-9a42-7e255fe09bbd","Code","http://www.cdisc.org","2023-12-15","Code_105"
"C51282","Clinic","528de894-2cd4-4516-aa27-871a1325c50d","Code","http://www.cdisc.org","2023-12-15","Code_106"
"C175574","In Person","7e4bf671-31d0-446e-b328-f154e89ad01d","Code","http://www.cdisc.org","2023-12-15","Code_107"
"C171537","Telephone Call","9ebd493a-3601-43f8-ad50-7d86c09c501e","Code","http://www.cdisc.org","2023-12-15","Code_108"
"C25716","Visit","fd42de6d-5de0-4cf7-ad1f-9aec5f7a38ed","Code","http://www.cdisc.org","2023-12-15","Code_109"
"C51282","Clinic","ae0a26e9-96a4-4101-8882-d0f0615660c9","Code","http://www.cdisc.org","2023-12-15","Code_110"
