"name","uuid:ID","instanceType","text","id"
"ENCOUNTER_START_RULE_1","5f98afd6-bbdf-4805-aaac-2e54048e9ff6","TransitionRule","Subject identifier","TransitionRule_1"
"ENCOUNTER_START_RULE_1","fe388b60-4852-4146-ad59-591e72654bd4","TransitionRule","completion of screening activities","TransitionRule_2"
"ENCOUNTER_START_RULE_2","5e7af0f4-f2ce-404e-beb5-d9781bec1cc8","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"ENCOUNTER_START_RULE_3","fba6a492-869a-4eec-a6fd-d3a852dbc80e","TransitionRule","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"ENCOUNTER_START_RULE_3","34c1c149-3435-4b29-af62-9a76e3ac42f5","TransitionRule","Radomized","TransitionRule_5"
"ENCOUNTER_START_RULE_12","dd44d79c-b7e4-4ccf-a424-3d2d6a677d18","TransitionRule","End of treatment","TransitionRule_6"
"ELEMENT_START_RULE_1","9ab22325-4bd9-4b0f-99d7-8ea8e4af8e3e","TransitionRule","Informed consent","TransitionRule_7"
"ELEMENT_END_RULE_1","b7270c01-40a0-42d2-8b4d-26b304410a08","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"ELEMENT_START_RULE_2","4e523d5c-fc6b-41e2-a909-bf5e72001ca3","TransitionRule","Administration of first dose","TransitionRule_9"
"ELEMENT_START_RULE_7","d516611a-bd02-4588-8ec7-8962ad1a9a7e","TransitionRule","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"ELEMENT_END_RULE_7","f85becd0-3b27-4ad5-bf73-8deb9365ae7c","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"ELEMENT_START_RULE_3","52a62385-d8ac-427f-b041-2d0b6f0a76fc","TransitionRule","Administration of first dose","TransitionRule_10"
"ELEMENT_START_RULE_4","648f8ac5-0723-4584-b3d3-1e21e84637e7","TransitionRule","Randomized","TransitionRule_11"
"ELEMENT_START_RULE_5","78563770-efeb-4965-b997-3d994e4c4bd9","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"ELEMENT_START_RULE_6","b1c58b74-0cae-4fe4-ae9e-52253a973baf","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
