"value","name","windowLabel","uuid:ID","windowUpper","description","instanceType","windowLower","valueLabel","id","label"
"P2W","TIM1","","7d2c68c7-7cee-40a8-a8f4-d7d1c7c7ecb1","","Screening timing","Timing","","2 weeks","Timing_1","Screening"
"P2D","TIM2","-4..0 hours","6842c486-8beb-4b77-82bf-e1b22d7a8e59","PT0H","Pre dose timing","Timing","PT4H","2 days","Timing_2","Pre dose"
"P1D","TIM3","","116d370b-57fa-4fbb-9227-ea0612c2f53a","","Dosing anchor","Timing","","1 Day","Timing_3","Dosing"
"P2W","TIM4","-3..3 days","7cca347e-929e-403f-b04e-2d07e84e1dfe","P3D","Week 2 timing","Timing","P3D","2 Weeks","Timing_4","Week 2"
"P4W","TIM5","-3..3 days","ec7de91f-f4a9-4652-8b3f-e685a3abda45","P3D","Week 4 timing","Timing","P3D","4 Weeks","Timing_5","Week 4"
"P6W","TIM6","-3..3 days","055d5b22-b611-49d8-a2a7-45779a75a6ab","P3D","Week 6 timing","Timing","P3D","6 Weeks","Timing_6","Week 6"
"P8W","TIM7","-3..3 days","88f83b14-7239-484c-b485-041775e151a6","P3D","Week 8 timing","Timing","P3D","8 Weeks","Timing_7","Week 8"
"P12W","TIM9","-4..4 days","b4cf2f82-9c20-4fb8-a846-17e896bae813","P4D","Week 12 timing","Timing","P4D","12 Weeks","Timing_9","Week 12"
"P16W","TIM11","-4..4 days","3885e1e9-367e-4782-9051-079350663b9c","P4D","Week 16 timing","Timing","P4D","16 Weeks","Timing_11","Week 16"
"P20W","TIM13","-4..4 days","d72d7f38-f540-4589-a9f7-302327722745","P4D","Week 20 timing","Timing","P4D","20 Weeks","Timing_13","Week 20"
"P24W","TIM15","-4..4 days","e04bd0ec-4880-4f26-8836-9ee6fa180045","P4D","Week 24 timing","Timing","P4D","24 Weeks","Timing_15","Week 24"
"P26W","TIM16","-3..3 days","1f9bb6b8-3428-424a-98d3-43630c709cec","P3D","Week 26 timing","Timing","P3D","26 Weeks","Timing_16","Week 26"
"P2W","TIM8","","35e2e583-49bf-43ed-a5bf-ff47c1533639","","Week 8 at home timing","Timing","","2 Weeks","Timing_8","Week 8 Home"
"P2W","TIM10","","276c0804-3c12-41f1-8331-f09758265093","","Week 12 at home timing","Timing","","2 Weeks","Timing_10","Week 12 Home"
"P2W","TIM12","","b50844e8-8957-4c8a-be61-41fc30f376e1","","Week 16 at home timing","Timing","","2 Weeks","Timing_12","Week 16 Home"
"P2W","TIM14","","091ccf75-af8d-421c-8310-772ad5155f88","","Week 20 at home timing","Timing","","2 Weeks","Timing_14","Week 20 Home"
"P1D","TIM17","","9419a2bb-9c53-4270-b4f8-217f825286d8","","Adverse Event","Timing","","1 Day","Timing_17","Adverse Event"
"P1D","TIM18","","ca10e7a0-4072-4635-900c-6588c1e1241b","","Early Termination","Timing","","1 Day","Timing_18","Early Termination"
"PT0M","TIM19","","226d8528-3ae6-4ab4-a372-98c836c1bafd","","Supine","Timing","","0 mins","Timing_19","Supine"
"PT5M","TIM20","","90604319-2d0c-4c57-aa03-f8bb80ffb3e8","","VS while supine","Timing","","5 mins","Timing_20","VS while supine"
"PT0M","TIM21","","e7c46086-4544-432c-aebf-eb5e526d1082","","Standing","Timing","","0 min","Timing_21","Standing"
"PT1M","TIM22","","50db5ccc-0b5e-4e80-b7ab-45a99e1356b3","","VS while standing","Timing","","1 min","Timing_22","VS while standing"
"PT0M","TIM23","","255ec9dc-0eaf-4203-8257-99c5ad1fe1f4","","Standing","Timing","","0 min","Timing_23","Standing"
"PT2M","TIM24","","3698d275-42e0-460e-b9bd-6dca5b8c72eb","","VS while standing","Timing","","2 min","Timing_24","VS while standing"
