"purpose","name","uuid:ID","description","instanceType","text","id","label"
"","END1","0118324f-c7a9-4a73-b982-ba00d6ba03d1","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1",""
"","END2","83940348-1b9e-402f-ad95-6ff6ae2269b1","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2",""
"","END3","9a177e17-c109-4d0d-9edd-8c43199ade74","","Endpoint","Adverse events","Endpoint_3",""
"","END4","221a7f3f-cf83-4990-86b3-ade0a1a36756","","Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4",""
"","END5","232936ea-ee27-4e04-94cf-f83f175d9673","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","Laboratory evaluations (Change from Baseline)","Endpoint_5",""
"","END6","0c40d815-543b-4360-9d5c-a50da9805b41","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6",""
"","END7","512b75ee-8c2b-483c-b256-9a591c421207","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7",""
"","END8","111b9e91-b0d9-4266-aac6-5517f9de1d5e","","Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8",""
"","END9","7bf7ec49-955d-4109-840b-3c4b3428fffc","","Endpoint","*** To be determined from protocol ***","Endpoint_9",""
"","END10","249804ed-1144-442e-981c-b5b0ae8d3768","","Endpoint","*** To be determined from protocol ***","Endpoint_10",""
"","END11","ead51352-c91c-4cd3-a24e-b29c87c5ca18","","Endpoint","*** To be determined from protocol ***","Endpoint_11",""
