"name","uuid:ID","label","synonyms","id","reference","instanceType"
"Sex","ca4e5dab-52cf-4bd3-a0f3-677a1a65ed3e","Sex","","BiomedicalConcept_20","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept"
"Race","d2c0bee4-4a47-40bb-af6a-1841010956eb","Race","['Racial Group']","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept"
"Body Temperature","9f93dcbf-8a3a-4cb2-a158-82fcd5a88a28","Body Temperature","['Temperature']","BiomedicalConcept_22","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept"
"Body Weight","679eeab9-388f-4b8b-addb-704afd824486","Body Weight","['Weight']","BiomedicalConcept_23","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept"
"Body Height","6ace00eb-7127-4171-bcec-ff1e3698f068","Body Height","['Height']","BiomedicalConcept_24","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept"
"Alanine Aminotransferase Measurement","380e7402-5f67-4e4a-b80f-9545ba9ab319","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"Albumin Measurement","4923e940-1077-41ba-afef-9885f972aef0","Albumin Measurement","['Albumin']","BiomedicalConcept_26","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"Alkaline Phosphatase Measurement","88dbe18b-ac7d-4bc2-86bd-6fb53ea820e4","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","56ac0cfe-9a3a-49b0-8ace-1c0537ebd74e","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"Creatinine Measurement","23a791c1-11a4-4db2-9fb9-3f60c2b1a7f8","Creatinine Measurement","['Creatinine']","BiomedicalConcept_29","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
"Potassium Measurement","f7e68fc9-992d-4c1e-bb72-e7a6d4e7cdce","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_30","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept"
"Sodium Measurement","7f98aa98-107a-43dc-9d20-aa0739320bb1","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept_31","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept"
"Adverse Event","71cd333d-cfda-4ae1-b200-82c7b85c111f","Adverse Event","","BiomedicalConcept_1","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","BiomedicalConcept"
"Systolic Blood Pressure","ebcf2d7c-4fb2-46da-8bf2-7d96dcb05f82","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_2","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept"
"Diastolic Blood Pressure","ebc8aa72-2efd-42c5-ba15-1f020ee128b0","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_3","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept"
"Body Temperature","1e2cfb7e-c906-40f0-9a36-2b64166e5429","Body Temperature","['Temperature']","BiomedicalConcept_4","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept"
"Body Weight","ca225730-74b1-4c8b-941c-65c375d59b9e","Body Weight","['Weight']","BiomedicalConcept_5","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept"
"Body Height","04427566-a86f-4a6a-98ae-f433c4ba0ef1","Body Height","['Height']","BiomedicalConcept_6","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept"
"Alanine Aminotransferase Measurement","c478943b-ea0e-41cb-9062-e1f74aeeed15","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"Albumin Measurement","dda4ef84-d12c-4561-a0af-32502c7d6646","Albumin Measurement","['Albumin']","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"Alkaline Phosphatase Measurement","a53f50a0-90fc-47a6-a3d3-2720ac9036fa","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","fce6a69d-3b82-4b22-9515-d02715644798","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"Creatinine Measurement","49ced13f-70e2-4aa8-8ad5-7564580dc019","Creatinine Measurement","['Creatinine']","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
"Potassium Measurement","7b617f76-8dde-468c-8ecc-e2f7ac496a76","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept"
"Sodium Measurement","1e333765-8224-4ae6-8c4e-a3e8224764d8","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept"
"Systolic Blood Pressure","fadb6064-734d-47dc-9cd9-f554b630e672","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_14","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept"
"Diastolic Blood Pressure","c4253099-d93f-43c6-aefd-1fcdb1312ed9","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_15","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept"
"Heart Rate","647843c9-c98a-4906-95ae-7cfe03b62180","Heart Rate","","BiomedicalConcept_16","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","BiomedicalConcept"
"Systolic Blood Pressure","6304f6f5-45fd-493f-ab5d-14230b5dcc28","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_17","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept"
"Diastolic Blood Pressure","8ef50417-94e7-4d2f-bf5f-c5a99f469261","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_18","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept"
"Heart Rate","f2254ab7-e2b1-414d-a59d-d296e8b526e0","Heart Rate","","BiomedicalConcept_19","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","BiomedicalConcept"
