"value","windowUpper","name","uuid:ID","label","description","windowLower","id","window","instanceType"
"P2W","","TIM1","00aa5921-9684-40a3-afef-ea028ed730ed","Screening","Screening timing","","Timing_1","","Timing"
"P2D","PT0H","TIM2","0e78058e-f2dd-4d9c-b5e4-703e1b2edce9","Pre dose","Pre dose timing","PT4H","Timing_2","-4..0 hours","Timing"
"P1D","","TIM3","f5b8f896-f74f-4ff9-baba-81de32aa7b23","Dosing","Dosing anchor","","Timing_3","","Timing"
"P2W","P3D","TIM4","9afd47e9-f935-49d0-bb47-eb7b20469057","Week 2","Week 2 timing","P3D","Timing_4","-3..3 days","Timing"
"P4W","P3D","TIM5","2fdf2826-bb2a-46e6-8f3e-2fb7c621eac8","Week 4","Week 4 timing","P3D","Timing_5","-3..3 days","Timing"
"P6W","P3D","TIM6","c295bdc1-26ab-43f0-a541-13763b075bad","Week 6","Week 6 timing","P3D","Timing_6","-3..3 days","Timing"
"P8W","P3D","TIM7","80e9c04e-48ea-409f-8bbd-01591473a5f0","Week 8","Week 8 timing","P3D","Timing_7","-3..3 days","Timing"
"P12W","P4D","TIM9","bb194d7a-6fe7-49b2-8be6-fd393412d16f","Week 12","Week 12 timing","P4D","Timing_9","-4..4 days","Timing"
"P16W","P4D","TIM11","dddd888a-fd4c-4947-978a-76ea3f2391ba","Week 16","Week 16 timing","P4D","Timing_11","-4..4 days","Timing"
"P20W","P4D","TIM13","3951b867-4a64-48e9-8b65-5fc31f92dae8","Week 20","Week 20 timing","P4D","Timing_13","-4..4 days","Timing"
"P24W","P4D","TIM15","033cf1c3-9539-433a-b914-9e0520c9c2ee","Week 24","Week 24 timing","P4D","Timing_15","-4..4 days","Timing"
"P26W","P3D","TIM16","1777a331-9447-4ec2-bc2a-c75a20782023","Week 26","Week 26 timing","P3D","Timing_16","-3..3 days","Timing"
"P2W","","TIM8","3191396c-ac4b-48df-afc0-ab3090dcbc28","Week 8 Home","Week 8 at home timing","","Timing_8","","Timing"
"P2W","","TIM10","a805d0f5-dae7-4c65-8028-78cbf68392f8","Week 12 Home","Week 12 at home timing","","Timing_10","","Timing"
"P2W","","TIM12","f4159b51-acdf-472b-b5c5-003b52cb27df","Week 16 Home","Week 16 at home timing","","Timing_12","","Timing"
"P2W","","TIM14","e436127a-65f6-4b6c-9ce3-6304b77b01e4","Week 20 Home","Week 20 at home timing","","Timing_14","","Timing"
"P1D","","TIM17","d7ba67d7-ce57-482f-9991-9399520a9ef7","Adverse Event","Adverse Event","","Timing_17","","Timing"
"P1D","","TIM18","a4c4d2e3-d8af-4e11-b82a-b6e1729b06e2","Early Termination","Early Termination","","Timing_18","","Timing"
"PT0M","","TIM19","04bbd306-13af-44e0-9802-88b0dfa260dc","Supine","Supine","","Timing_19","","Timing"
"PT5M","","TIM20","df549a70-3336-4c0d-9223-281b96ed09fa","VS while supine","VS while supine","","Timing_20","","Timing"
"PT0M","","TIM21","fa9f9958-07ac-4ea2-b176-72dd6aad0f28","Standing","Standing","","Timing_21","","Timing"
"PT1M","","TIM22","cf115ad4-829c-43f0-a83e-4d23301ef027","VS while standing","VS while standing","","Timing_22","","Timing"
"PT0M","","TIM23","5569ac83-d741-4e4e-ba1a-874aad637f3f","Standing","Standing","","Timing_23","","Timing"
"PT2M","","TIM24","f68e6711-ca15-4a19-933f-8a624eed6ba0","VS while standing","VS while standing","","Timing_24","","Timing"
