"codeSystemVersion","uuid:ID","code","decode","codeSystem","id","instanceType"
"2023-09-29","32d9f39b-5e3c-4a14-99b3-c2fdfa3da187","C98388","Interventional Study","http://www.cdisc.org","Code_1","Code"
"2023-09-29","25677b80-491c-42f7-8a0c-b08f395489ae","C15601","Phase II Trial","http://www.cdisc.org","Code_2","Code"
"2023-09-29","e144fe62-8411-4fbe-8aff-1f4ce9ed3556","C132352","Sponsor Approval Date","http://www.cdisc.org","Code_9","Code"
"2023-09-29","2fdc0c77-c157-437b-9c6a-093a3b092ebe","C68846","Global","http://www.cdisc.org","Code_10","Code"
"2023-09-29","437f347b-b202-4d04-a248-612b1a62cc86","C99904x3","IRB/IEC Feedback","http://www.cdisc.org","Code_72","Code"
"2023-09-29","81e98a1e-10de-43ec-8889-16af813e2639","C17649","Other","http://www.cdisc.org","Code_73","Code"
"2023-09-29","6b92b1a8-435b-4289-9e25-df909ddeb7d5","C41129","Region","http://www.cdisc.org","Code_75","Code"
"2020-08","87a31e84-1aff-4837-a5a4-30a99334e2be","150","Europe","ISO 3166 1 alpha3","Code_74","Code"
"12","8e970566-e7ec-4053-b4fe-c52c1b57b91c","PHARMA","Eli Lilly","SPONSOR","Code_4","Code"
"2023-09-29","37728f2f-0f90-4d57-8a6b-489846a3ab24","C70793","Clinical Study Sponsor","http://www.cdisc.org","Code_76","Code"
"2020-08","8512ba91-32e2-48d8-b720-16d67d5e7d5c","USA","United States of America","ISO 3166 1 alpha3","Code_77","Code"
"2023-09-29","3fbc3f7a-dc9f-41d9-9c0d-497098dd3c88","C93453","Study Registry","http://www.cdisc.org","Code_78","Code"
"2020-08","fcc6b371-125f-4adc-a4ea-6a19572e6ef1","USA","United States of America","ISO 3166 1 alpha3","Code_79","Code"
"2023-09-29","1d40f2a2-812b-41b0-b50e-b198251d7da9","C49656","Treatment Study","http://www.cdisc.org","Code_137","Code"
"2023-09-29","e7368736-b1ad-4e88-b0f8-2d078f6250e5","C49666","Efficacy Study","http://www.cdisc.org","Code_138","Code"
"2023-09-29","1993be42-ee12-429a-9c25-b250c4d18c5f","C49667","Safety Study","http://www.cdisc.org","Code_139","Code"
"2023-09-29","64a009bd-dbba-4d37-b2c0-f28bfadd382d","C49663","Pharmacokinetic Study","http://www.cdisc.org","Code_140","Code"
"12","7b3d6405-e1d9-44c6-a792-bb53a23ff676","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","SPONSOR","Code_134","Code"
"January 31, 2018","c0cf721f-2a01-4eeb-b4d7-171c53d9e4cb","26929004","Alzheimer's disease","SNOMED","Code_135","Code"
"2023-09-29","aae786c5-c30d-433d-a837-c311cdb4ab16","C99907x1","EXTENSION","http://www.cdisc.org","Code_143","Code"
"2023-09-29","37098f45-743b-45e1-812c-63306a5047fd","C98704","ADAPTIVE","http://www.cdisc.org","Code_144","Code"
"2023-09-29","4e37bb30-caca-4e7d-80ea-d0ccb7ac6ad4","C82639","Parallel Study","http://www.cdisc.org","Code_141","Code"
"2023-09-29","9037e0d9-713d-4d26-87ab-ba75b87beaa3","C25716","Visit","http://www.cdisc.org","Code_83","Code"
"2023-09-29","96dc5b76-53ce-4ba2-8923-bec869487a63","C51282","Clinic","http://www.cdisc.org","Code_84","Code"
"2023-09-29","3c453a40-5ec8-4d49-a1c4-58bca8f6d5bc","C175574","In Person","http://www.cdisc.org","Code_85","Code"
"2023-09-29","228d1ac6-be87-41c4-b1f1-67839b8b8074","C25716","Visit","http://www.cdisc.org","Code_86","Code"
"2023-09-29","29a0086a-c379-49a7-8fd3-e30e7a6dea78","C51282","Clinic","http://www.cdisc.org","Code_87","Code"
"2023-09-29","173e068d-8a8a-434c-9b84-cd41d19bc53b","C175574","In Person","http://www.cdisc.org","Code_88","Code"
"2023-09-29","62a17978-411c-4fea-8819-face17edf521","C25716","Visit","http://www.cdisc.org","Code_89","Code"
"2023-09-29","69fc56bc-61b5-46d8-94e7-98c2ed820e24","C51282","Clinic","http://www.cdisc.org","Code_90","Code"
"2023-09-29","5790de39-bc4d-430e-952e-cc027d8fd88e","C175574","In Person","http://www.cdisc.org","Code_91","Code"
"2023-09-29","1847de3a-d8ff-4108-b244-f2ddcc931807","C25716","Visit","http://www.cdisc.org","Code_92","Code"
"2023-09-29","6832f7da-bb24-4d92-801e-1afc64d7c023","C51282","Clinic","http://www.cdisc.org","Code_93","Code"
"2023-09-29","ef99fe0f-8f25-4406-b84b-5260d3ecc688","C175574","In Person","http://www.cdisc.org","Code_94","Code"
"2023-09-29","df2287b9-4848-4393-8adb-c0bb5e4985ac","C25716","Visit","http://www.cdisc.org","Code_95","Code"
"2023-09-29","57d29f29-08b5-4af0-b24b-a2f43c0f22a9","C51282","Clinic","http://www.cdisc.org","Code_96","Code"
"2023-09-29","5a2ae536-d74d-4444-8d1c-a49ce2be7433","C175574","In Person","http://www.cdisc.org","Code_97","Code"
"2023-09-29","65024145-7268-4ee1-af74-4d38b4fb7148","C25716","Visit","http://www.cdisc.org","Code_98","Code"
"2023-09-29","4df33ecb-4a1c-4739-b3a0-d8ec0db2af40","C51282","Clinic","http://www.cdisc.org","Code_99","Code"
"2023-09-29","184abd4e-b2a9-4d5d-8b47-1f56ba180162","C175574","In Person","http://www.cdisc.org","Code_100","Code"
"2023-09-29","ec2cc415-6798-45c2-9f66-2748346391ec","C25716","Visit","http://www.cdisc.org","Code_101","Code"
"2023-09-29","ee96f1c4-054b-4d46-a27f-b3823bab6dad","C51282","Clinic","http://www.cdisc.org","Code_102","Code"
"2023-09-29","2d776341-31db-4e05-91dd-f85947840d17","C175574","In Person","http://www.cdisc.org","Code_103","Code"
"2023-09-29","d03a2fd5-aa57-4a39-a9d0-7fa56f7a53bc","C171537","Telephone Call","http://www.cdisc.org","Code_104","Code"
"2023-09-29","d2a691d6-dd12-4c73-9ee8-da00972fe2a7","C25716","Visit","http://www.cdisc.org","Code_105","Code"
"2023-09-29","ef4d158b-ad81-4ebe-9e6a-f6bb13be8832","C51282","Clinic","http://www.cdisc.org","Code_106","Code"
"2023-09-29","1bf6be35-42e2-484c-b080-9422bda49dcd","C175574","In Person","http://www.cdisc.org","Code_107","Code"
"2023-09-29","581f1e76-5bde-40d6-950b-62d309a41a3f","C171537","Telephone Call","http://www.cdisc.org","Code_108","Code"
"2023-09-29","5170bf75-7137-4a6a-923f-80b367d69435","C25716","Visit","http://www.cdisc.org","Code_109","Code"
"2023-09-29","772185e1-7454-4116-a3af-af8ce39df37d","C51282","Clinic","http://www.cdisc.org","Code_110","Code"
"2023-09-29","691b7820-ec0c-4005-935b-71c4cbc2fe5e","C175574","In Person","http://www.cdisc.org","Code_111","Code"
"2023-09-29","084e3858-fbae-4e5f-806a-6e271013b003","C171537","Telephone Call","http://www.cdisc.org","Code_112","Code"
"2023-09-29","d6cf7de6-b6f1-4a8a-910c-9656d385fe6f","C25716","Visit","http://www.cdisc.org","Code_113","Code"
"2023-09-29","0a462a4f-d5d1-4c6d-8b85-b4305450cea1","C51282","Clinic","http://www.cdisc.org","Code_114","Code"
"2023-09-29","53fba0ea-682b-44a5-b3f0-fd010b8d3b0e","C175574","In Person","http://www.cdisc.org","Code_115","Code"
"2023-09-29","da7d8def-5123-40c1-9260-e9c12e4b788e","C171537","Telephone Call","http://www.cdisc.org","Code_116","Code"
"2023-09-29","5e41a019-245d-4775-9bb6-8f8ae3edbba6","C25716","Visit","http://www.cdisc.org","Code_117","Code"
"2023-09-29","e4b10007-29b5-4308-b53f-15f36b2d2159","C51282","Clinic","http://www.cdisc.org","Code_118","Code"
"2023-09-29","4af141a6-e0a4-44ce-9f83-5f51c0fcd97e","C175574","In Person","http://www.cdisc.org","Code_119","Code"
"2023-09-29","4a875acf-cf04-4c13-83ae-3de5ebe60bd6","C25716","Visit","http://www.cdisc.org","Code_120","Code"
"2023-09-29","6f3e5ab4-0b38-425d-8fb4-8d0f805871b6","C51282","Clinic","http://www.cdisc.org","Code_121","Code"
"2023-09-29","d6a94dc5-76b9-41d1-9ddc-ec75640717ef","C175574","In Person","http://www.cdisc.org","Code_122","Code"
"January 31, 2018","c44e04fd-ce70-495e-9855-cdca8fd54599","383371000119108","CT of head without contrast","SNOMED","Code_80","Code"
"12","163e6ade-a9e5-430d-a853-5735db0a95a1","123","Subject Supine","SPONSOR","Code_81","Code"
