"name","uuid:ID","label","purpose","description","id","text","instanceType"
"END1","38de0046-70b4-4c6d-bba0-ff4e621895e3","","","","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint"
"END2","f20fc09e-0fc9-4631-aaef-eab0dcf4bee0","","","","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint"
"END3","6cf6d9e1-0dbe-4907-b26d-94626da6508a","","","","Endpoint_3","Adverse events","Endpoint"
"END4","0f00b790-764d-4cb4-b277-43defc96f551","","","","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint"
"END5","1ea5cc5a-9825-46d2-8041-b84528f168c8","","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","Laboratory evaluations (Change from Baseline)","Endpoint"
"END6","5fff0530-08c0-49b0-9a31-bb9c61ec4410","","","","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint"
"END7","1b6648c3-e1bc-4921-9b88-427795116bf0","","","","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint"
"END8","f20af8a2-519a-4010-b00b-e9ad42603f4c","","","","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint"
"END9","b6e78960-a940-4d06-b8bf-0bda50478ebf","","","","Endpoint_9","*** To be determined from protocol ***","Endpoint"
"END10","763d4063-b9ed-4781-975b-32ccac83454b","","","","Endpoint_10","*** To be determined from protocol ***","Endpoint"
"END11","9b3d5114-cf4b-4eeb-8feb-18c80052624e","","","","Endpoint_11","*** To be determined from protocol ***","Endpoint"
