"uuid:ID","name","id","text","instanceType"
"7ad43477-2656-43bb-8d9e-f72519ef0bb5","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","TransitionRule"
"b84cea59-9221-4d73-bddb-2cc5502427df","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","TransitionRule"
"5770658a-9e0c-439e-b8ea-6e56e9ae88b9","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"82de635b-9be1-433e-a169-267e4a5a015c","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule"
"319a6279-b78f-42c2-bd50-8c3d43e6609e","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","TransitionRule"
"71f93a88-899e-4f01-907a-2ef69d3b5f0b","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","TransitionRule"
"d67a0c3d-e8cb-4bc6-b74e-62ae234c0cc1","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","TransitionRule"
"b8881da3-ef8a-4501-b2c3-c7a2eeeb6b76","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"03de0a86-8d6f-4030-a5cd-a965b1160790","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","TransitionRule"
"55c6e528-c385-4c5a-81e4-bf6a5b71702f","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule"
"f942bbce-600a-4018-b319-b6063d3960d1","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"014ed766-ab78-4db7-a863-cec45d03e0af","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","TransitionRule"
"26968342-f2df-40e1-b5f7-c4c8e60d92ef","ELEMENT_START_RULE_4","TransitionRule_11","Randomized","TransitionRule"
"e0727899-3518-466a-b460-a88a4995c078","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"d8a4c326-e250-412d-a758-727163c971ad","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
