"name","uuid:ID","label","description","id","instanceType"
"Informed consent","a07f9144-fa0e-44c5-b724-619c83319871","Informed consent","","Activity_1","Activity"
"Inclusion/exclusion criteria","f38a56cd-d9eb-45a2-ba14-95a775ebd5a1","Inclusion and exclusion criteria","","Activity_2","Activity"
"Patient number assigned","f21e9974-dc17-458b-a026-e9d17d861585","Patient number assigned","","Activity_3","Activity"
"Demographics","9d7d956b-9e12-475b-a0c2-476366a9fe0a","Demographics","","Activity_4","Activity"
"Hachinski","2e0824a5-4ddb-402e-9619-4b153382bb27","Hachinski Ischemic Scale","","Activity_5","Activity"
"MMSE","087d3bf2-bcc9-40fc-8e4a-bb5d02993ecb","MMSE","","Activity_6","Activity"
"Physical examination","5c1152b0-9a05-4192-b0d6-845f3fdd66c8","Physical examination","","Activity_7","Activity"
"Medical history","a51dc7ae-c694-442d-8097-187bfd468421","Medical history","","Activity_8","Activity"
"Habits","bdf586b7-dc60-4f0e-b786-78080224140c","Habits","","Activity_9","Activity"
"Chest X-ray","8c4bc94a-9fb4-4c3a-9b56-b5d97c8989da","Chest X-ray","","Activity_10","Activity"
"Apo E genotyping","53c91f00-092c-46b1-a4b5-ee82435e79b3","Apo E genotyping","","Activity_11","Activity"
"Patient randomised","6675e148-388b-4e80-97e0-262274734304","Patient randomised","","Activity_12","Activity"
"Vital signs / Temperature","d4f3583a-2918-4d70-91bc-f3bb818dd3cb","Vital Signs and Temperature","","Activity_13","Activity"
"Ambulatory ECG placed","356fd090-2f67-437d-a2ea-42d98e6a83dd","Ambulatory ECG placed","","Activity_14","Activity"
"Ambulatory ECG removed","7d4f2c88-1fe5-47eb-8a24-3f7bb49d0dfd","Ambulatory ECG removed","","Activity_15","Activity"
"ECG","9b2dedb3-5466-463a-b5db-f22c0bdd3f68","ECG","","Activity_16","Activity"
"Placebo TTS test","c9ebb26f-7ff4-4bc5-a27e-7b550c4ae6c2","Placebo TTS test","","Activity_17","Activity"
"CT scan","b250b649-a4cc-4625-8eaa-c73045cddaf5","CT scan","","Activity_18","Activity"
"Concomitant medications","626d45e0-6d17-4504-8704-c421c73b1d92","Concomitant medications","","Activity_19","Activity"
"Hematology","84987f72-4131-43fb-a3e1-d7f135da9465","Hematology","","Activity_20","Activity"
"Chemistry","7e7d3164-16aa-4737-8eee-a1f1fe0c9ec2","Chemistry","","Activity_21","Activity"
"Uninalysis","a53da98d-944f-43de-a850-6ddb6b0d390c","Uninalysis","","Activity_22","Activity"
"Plasma Specimen (Xanomeline)","7c182a1f-30e4-42d0-8889-af942e444f4d","Plasma Specimen (Xanomeline)","","Activity_23","Activity"
"Hemoglobin A1C","f155b561-1c7e-4590-b9ff-f935482baae5","Hemoglobin A1C","","Activity_24","Activity"
"Study drug","c7e99eb6-3bf2-4d76-a787-2cde04521ba4","Study drug record , Medications dispensed, Medications returned","","Activity_25","Activity"
"TTS Acceptability Survey","4989eb0a-59e2-4551-a988-2b4b8173d840","TTS Acceptability Survey","","Activity_26","Activity"
"ADAS-Cog","6813335e-535b-419b-b4e2-1eb29a65c93a","ADAS-Cog","","Activity_27","Activity"
"CIBIC+","3e6445e6-62bf-41fd-b6f9-a000ecf06908","CIBIC+","","Activity_28","Activity"
"DAD","a965896c-95e3-467d-b657-54987b2fd8ab","DAD","","Activity_29","Activity"
"NPI-X","efab851d-7e11-454a-afbf-3b9019366f0f","NPI-X","","Activity_30","Activity"
"Adverse events","6a5ef04d-c5a5-422e-8fca-4c2c1e16ad01","Adverse events","","Activity_31","Activity"
"Check adverse events","19d66c99-ebb9-4d84-b7cb-7b9b006cc375","Check adverse events","","Activity_32","Activity"
"Supine","d6025185-ebb6-4be5-8b69-16471899a254","Subject supine","","Activity_33","Activity"
"Vital Signs Supine","e951977d-db0e-49eb-8c31-6b3d42885906","Vital signs while supine","","Activity_34","Activity"
"Stand","d9ada946-4c24-41b7-9fbb-1aa83754fb6c","Subject Standing","","Activity_35","Activity"
"Vital Signs Standing","92b92ae6-e675-43f5-8e58-ba95b3e9cc24","Vital signs while standing","","Activity_36","Activity"
