"datatype","name","uuid:ID","label","isRequired","id","isEnabled","instanceType"
"string","Sex","1294184e-af6e-4b16-b6d7-2c2d6c896ef7","Sex","True","BiomedicalConceptProperty_89","True","BiomedicalConceptProperty"
"string","Race","1e3820ef-d51e-458b-b11b-b5d7a9b0e305","Race","True","BiomedicalConceptProperty_90","True","BiomedicalConceptProperty"
"decimal","Clinical Test Result","21b676a3-d9ec-469e-9c43-78844ccda938","Clinical Test Result","True","BiomedicalConceptProperty_91","True","BiomedicalConceptProperty"
"string","Unit of Temperature","e79ecfdf-a704-44a6-9b9f-33619cb7cb33","Unit of Temperature","True","BiomedicalConceptProperty_92","True","BiomedicalConceptProperty"
"string","Anatomic Site","4f472e67-3eb7-4f24-9038-d75615b5d011","Anatomic Site","True","BiomedicalConceptProperty_93","True","BiomedicalConceptProperty"
"decimal","Clinical Test Result","ece07e7a-f055-4078-8d9a-7035cf2d9ae1","Clinical Test Result","True","BiomedicalConceptProperty_94","True","BiomedicalConceptProperty"
"string","Unit of Weight","8c48d61a-f842-41e1-9cb8-41694a784230","Unit of Weight","True","BiomedicalConceptProperty_95","True","BiomedicalConceptProperty"
"decimal","Clinical Test Result","f96edb33-0733-4ed3-82f0-173d73217be2","Clinical Test Result","True","BiomedicalConceptProperty_96","True","BiomedicalConceptProperty"
"string","Unit of Height","cf317f89-e02b-4c6e-90a5-79fe3c9b680b","Unit of Height","True","BiomedicalConceptProperty_97","True","BiomedicalConceptProperty"
"decimal","Laboratory Test Result","ff189018-6dad-48b7-8464-f1bc92b4dd63","Laboratory Test Result","True","BiomedicalConceptProperty_98","True","BiomedicalConceptProperty"
"boolean","Laboratory Test Fasting Status","91cf662e-684c-4f30-b697-da6eff8ebded","Laboratory Test Fasting Status","True","BiomedicalConceptProperty_99","True","BiomedicalConceptProperty"
"string","Unit of Catalytic Activity Concentration","68a3089d-44c0-4d58-8a82-bb372f216816","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_100","True","BiomedicalConceptProperty"
"string","Biospecimen Type","47895f92-33bc-4186-852e-59d8661f6b1c","Biospecimen Type","True","BiomedicalConceptProperty_101","True","BiomedicalConceptProperty"
"string","Laboratory Test Result","6fc6eab8-a703-4499-9399-debbf81488f6","Laboratory Test Result","True","BiomedicalConceptProperty_102","True","BiomedicalConceptProperty"
"boolean","Laboratory Test Fasting Status","a35fd6ff-7b07-4528-9f5d-baa55b4ac9b0","Laboratory Test Fasting Status","True","BiomedicalConceptProperty_103","True","BiomedicalConceptProperty"
"string","Unit of Concentration","7c8be0fb-071d-47ca-939c-ca229986c610","Unit of Concentration","True","BiomedicalConceptProperty_104","True","BiomedicalConceptProperty"
"string","Biospecimen Type","f35fb52a-64e3-4b34-bcfa-faef558d6a7e","Biospecimen Type","True","BiomedicalConceptProperty_105","True","BiomedicalConceptProperty"
"decimal","Laboratory Test Result","a2b4cff1-24ce-4063-a28c-1067dc5e6c59","Laboratory Test Result","True","BiomedicalConceptProperty_106","True","BiomedicalConceptProperty"
"boolean","Laboratory Test Fasting Status","39adb884-c882-4f1b-9127-b90e1be28c21","Laboratory Test Fasting Status","True","BiomedicalConceptProperty_107","True","BiomedicalConceptProperty"
"string","Unit of Catalytic Activity Concentration","1a1c1ccb-06ea-423b-9c15-5aa4f4400001","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_108","True","BiomedicalConceptProperty"
