"name","uuid:ID","label","description","id","instanceType"
"E1","a63c49d5-8532-4b7c-ac5d-2b7922c2644d","Screening 1","Screening encounter","Encounter_1","Encounter"
"E2","d825060e-9d10-48ba-b0d7-ba30a79b80c6","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter_2","Encounter"
"E3","d9c2ea46-83eb-4c3a-bb75-eaf3bda82ad3","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Encounter"
"E4","fb5c98a5-65a9-408f-b7a1-5a6539459615","Week 2","Day 14","Encounter_4","Encounter"
"E5","56426ea5-a46d-4bb6-9546-b7c674132520","Week 4","Day 28","Encounter_5","Encounter"
"E7","f85642cf-46c7-4afd-91b6-ecc74413a05d","Week 6","Day 42","Encounter_6","Encounter"
"E8","014c77fb-a4b0-45b2-b172-2d5e2cf4e669","Week 8","Day 56","Encounter_7","Encounter"
"E9","ba2b5e73-a43e-436f-a338-cef0aa1c2270","Week 12","Day 84","Encounter_8","Encounter"
"E10","eeaf4cc5-058b-489d-a016-4875a6640f43","Week 16","Day 112","Encounter_9","Encounter"
"E11","2cec5649-4966-4cf3-9b6d-44d87da04316","Week 20","Day 140","Encounter_10","Encounter"
"E12","15af0995-ec55-4d8c-a9da-3da0643db5eb","Week 24","Day 168","Encounter_11","Encounter"
"E13","7e0f5411-6fa1-48c6-b25e-b44f7b27c24c","Week 26","Day 182","Encounter_12","Encounter"
