"uuid:ID","description","text","purpose","instanceType","label","id","name"
"f89ca5bf-d761-4307-94d2-854d21660e9e","","Clinical status assessed using a 7-category ordinal scale at Day 28","","ENDPOINT","","Endpoint_1","END1"
"c08f1ae8-3079-4dd2-9212-622d037ef3e6","","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","","ENDPOINT","","Endpoint_2","END2"
"494a86e9-ee97-4b95-8426-6bf4afb87b73","","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","","ENDPOINT","","Endpoint_3","END3"
"049bbec2-b843-4304-b1a2-d1e8f7529963","","Incidence of mechanical ventilation","","ENDPOINT","","Endpoint_4","END4"
"560fbcab-43a2-45d2-b160-0ae1d0c3f543","","Ventilator-free days to Day 28","","ENDPOINT","","Endpoint_5","END5"
"0f687801-f679-47be-9240-c742213ea4ca","","Incidence of intensive care unit (ICU) stay","","ENDPOINT","","Endpoint_6","END6"
"c7a0b237-782c-4a2f-9bc3-8656f9145373","","Duration of ICU stay","","ENDPOINT","","Endpoint_7","END7"
"950af7ed-e93e-4a12-a8c5-f62601427341","","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","","ENDPOINT","","Endpoint_8","END8"
"fa01b646-c586-4107-96eb-3a9ad3049e4b","","Mortality rate at Days 7, 14, 21, 28, and 60","","ENDPOINT","","Endpoint_9","END9"
"61637254-f96e-45a2-be5b-263703e98ff2","","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","","ENDPOINT","","Endpoint_10","END10"
"c9eaa5f2-86e6-456b-93a3-63c18bb33962","","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","","ENDPOINT","","Endpoint_11","END11"
"ce503e28-2629-4548-85ad-324296174362","","Duration of supplemental oxygen","","ENDPOINT","","Endpoint_12","END12"
