"uuid:ID","text","sectionTitle","id","name","sectionNumber"
"e551cd8b-4b33-4b0f-b6b7-85ddc948e388","","Root","NarrativeContent_1","ROOT","0"
"e6bc8bd4-bb81-407a-bf1a-388e29df8086","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","PROTOCOL SUMMARY","NarrativeContent_2","SECTION 1","1"
"c83ed8a8-b4ad-44d5-9b73-d424dea40ffa","<div></div>","Protocol Synopsis","NarrativeContent_3","SECTION 1.1","1.1"
"a93d9727-119f-48e8-8ddb-22d579af5ac0","<div></div>","Trial Schema","NarrativeContent_4","SECTION 1.2","1.2"
"bb96aaa5-860e-479a-8515-f12ee82a9f4a","<div></div>","Schedule of Activities","NarrativeContent_5","SECTION 1.3","1.3"
"831e14f8-0591-4bd6-a7e4-ec6cb242a0c9","<div></div>","INTRODUCTION","NarrativeContent_6","SECTION 2","2"
"ca5ea218-a297-4642-a97b-c0e84e532b75","<div></div>","Purpose of Trial","NarrativeContent_7","SECTION 2.1","2.1"
"61b24102-0e8b-4200-a9eb-8c9e7517bf5a","<div></div>","Summary of Benefits and Risks","NarrativeContent_8","SECTION 2.2","2.2"
"5a50d326-58ae-4f63-bb7d-8583906f92d5","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_9","SECTION 3","3"
"5c9eb467-88b7-455a-ae19-62c0be5aa218","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","Primary Objectives","NarrativeContent_10","SECTION 3.1","3.1"
"37c692f9-db49-4e74-9ee6-a8ba5d0a7df1","<div></div>","TRIAL DESIGN","NarrativeContent_11","SECTION 4","4"
"d8c91b49-531a-4e89-bdb1-4fa78e993178","<div></div>","Description of Trial Design","NarrativeContent_12","SECTION 4.1","4.1"
"edad8433-4c28-4fdd-a302-bbfdb75cc009","<div></div>","Participant Input into Design","NarrativeContent_13","SECTION 4.1.1","4.1.1"
"626ca971-40df-4c60-bfeb-381c504c4154","<div></div>","Rationale for Trial Design","NarrativeContent_14","SECTION 4.2","4.2"
