"uuid:ID","text","name","id"
"f075b336-0e9e-447f-a407-3fd13928b822","Subject identified","ENCOUNTER_START_RULE_1","TransitionRule_1"
"8135f156-6855-43af-8688-f9339f3c9eeb","IEs passed","ENCOUNTER_START_RULE_1","TransitionRule_2"
"66678ca9-ec74-4bc8-9b73-dc933685afb8","Radomized","ENCOUNTER_START_RULE_3","TransitionRule_3"
"a1ccf5b7-eeac-4564-99bb-c1b9bd7bc6d9","Study Start","ELEMENT_START_RULE_1","TransitionRule_4"
"f883e060-938c-4351-9f96-349aed3091ee","Screened","ELEMENT_END_RULE_1","TransitionRule_5"
"421d9cba-b2e6-4ba1-9b4a-ce419efb1636","Screened","ELEMENT_START_RULE_2","TransitionRule_6"
"bd97a5d9-25a4-4246-a890-b6de08649175","Radomized","ELEMENT_END_RULE_2","TransitionRule_7"
"14a7cc9b-3c1e-4105-828d-c2aa63e1f6d3","Radomized","ELEMENT_START_RULE_3","TransitionRule_8"
"73b22246-1314-4680-8bb7-be3307040b23","Completed treatment 1","ELEMENT_END_RULE_3","TransitionRule_9"
"9513e7e3-3ec9-4cd5-a30c-69931ad43c5c","Radomized","ELEMENT_START_RULE_5","TransitionRule_12"
"75410b06-351a-4aa8-90c9-e3fa990bf6c1","Completed treatment 2","ELEMENT_END_RULE_5","TransitionRule_13"
"cc200ab3-5682-4e94-8f09-24c4d7d922b1","Treated","ELEMENT_START_RULE_4","TransitionRule_10"
"3d8dad90-350c-4ee9-81d6-def82d520fc7","Leave Study","ELEMENT_END_RULE_4","TransitionRule_11"
