"datatype","uuid:ID","name","instanceType","label","id","isRequired","isEnabled"
"decimal","3d463998-f885-433e-95be-3dfc0828d088","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_98","True","True"
"string","5e911155-63ad-403b-b4f7-e03ec6ff5f7a","Unit of Temperature","BiomedicalConceptProperty","Unit of Temperature","BiomedicalConceptProperty_99","True","True"
"string","ff294176-86e0-4ae4-949c-2319d87fd322","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location","BiomedicalConceptProperty_100","True","True"
"decimal","9280bf46-e82c-464f-8f6e-fe32d7329a2f","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_101","True","True"
"string","78019256-362e-4b2c-be72-522f7329b8f0","Unit of Weight","BiomedicalConceptProperty","Unit of Weight","BiomedicalConceptProperty_102","True","True"
"decimal","3adcab75-cf8c-4353-af53-39499c8e219d","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_103","True","True"
"string","a4c41671-bc39-4285-8dde-edfdfb79f5b9","Unit of Height","BiomedicalConceptProperty","Unit of Height","BiomedicalConceptProperty_104","True","True"
"decimal","69060a4f-506a-482b-aec7-97c4c3296883","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_105","True","True"
"boolean","ec428584-bce9-4052-b1e3-778b1e1720a6","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","True","True"
"string","8758ce7f-e12e-4a39-87f1-a8eaf6a0d6d7","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","True","True"
"string","c03ed8cd-55dc-40e8-8174-d6e17440a10d","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_108","True","True"
"string","a3498c0b-edf7-4cba-8541-857655609da0","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_109","True","True"
"boolean","1afd0bfa-d0e7-4739-a362-ccc0aef6f274","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","True","True"
"string","e9ac4854-1558-4678-b174-bc6d715fa603","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","BiomedicalConceptProperty_111","True","True"
"string","e3996d4d-3b7a-44ef-bb99-e3ceecec27ed","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_112","True","True"
"decimal","7a34665b-bb2a-452e-b5ca-8728375463c2","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_113","True","True"
"boolean","7028495b-fbc4-4e5c-a73e-20427866acf6","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","True","True"
"string","d790e80c-0c1f-4df6-83f1-d2e952641467","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_115","True","True"
"string","8cb3d034-8bab-409d-8a8b-ee1e308afbb0","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_116","True","True"
"decimal","10a7ce14-7f53-4c37-a5f6-2895af05cf45","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_117","True","True"
"boolean","12eda59f-ee1b-4c79-9289-f88c90176dc6","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","True","True"
"string","e6af2865-c62c-4afc-95fb-04f40da73129","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_119","True","True"
"string","461b7f0f-b5d0-4eec-830b-f7b19e3f132c","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_120","True","True"
"string","4b5707cb-6d5c-4d77-ade6-4162c36bc520","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_121","True","True"
"boolean","90c5e40b-ae72-470d-93a2-8261330f2c71","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_122","True","True"
"string","6a936fc6-b1fa-4e09-ba29-96560246fe69","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","BiomedicalConceptProperty_123","True","True"
"string","a62b1903-cad0-4290-9986-66b9270f9e8f","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_124","True","True"
"decimal","afb6cdab-8564-472a-b318-97e31c4e984d","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_125","True","True"
"boolean","7acc6baa-4a17-4a3c-bccc-6afe47caedb2","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_126","True","True"
"string","684c1d8c-a9d8-4132-b5be-6bd7f98ade6d","Molarity Unit","BiomedicalConceptProperty","Molarity Unit","BiomedicalConceptProperty_127","True","True"
"string","fa13ba4e-fe40-4d68-a969-1bf31723b032","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_128","True","True"
"decimal","3f3e8fdd-1c88-45c8-ac40-c4aa23a35cd6","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_129","True","True"
"boolean","fc0cb50d-8e90-4efc-80b7-e80a54e39c2d","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_130","True","True"
"string","af097068-6c97-43bb-a355-d34bb35eb476","Molarity Unit","BiomedicalConceptProperty","Molarity Unit","BiomedicalConceptProperty_131","True","True"
"string","53e49a70-adc3-4712-ae71-983d5c9387c1","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_132","True","True"
"string","f88e6dac-3849-46b0-8150-26b71a39a021","Adverse Event Verbatim Description","BiomedicalConceptProperty","Adverse Event Verbatim Description","BiomedicalConceptProperty_1","True","True"
"string","4d95a0bb-bd65-46cd-8792-c0003ebe815c","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","True","True"
"string","492146b3-2592-44da-b414-40a72ea0affd","Adverse Event Category","BiomedicalConceptProperty","Adverse Event Category","BiomedicalConceptProperty_3","True","True"
"string","539e5346-6688-4030-b194-458b652efed7","Adverse Event Subcategory","BiomedicalConceptProperty","Adverse Event Subcategory","BiomedicalConceptProperty_4","True","True"
"boolean","43347c35-5b20-4a5c-8721-74b1fe103ed1","Adverse Event Pre-specified","BiomedicalConceptProperty","Adverse Event Pre-specified","BiomedicalConceptProperty_5","True","True"
"string","7fb67d42-e060-46d1-b1bc-ca5eb0347c21","Severity of Adverse Event","BiomedicalConceptProperty","Severity of Adverse Event","BiomedicalConceptProperty_6","True","True"
"string","b29bcf78-a79a-4a46-87a0-b25b70f63fe6","Adverse Event Toxicity Grade","BiomedicalConceptProperty","Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","True","True"
"boolean","03ebec89-d091-42d4-8ea8-877285104bf3","Seriousness of Adverse Event","BiomedicalConceptProperty","Seriousness of Adverse Event","BiomedicalConceptProperty_8","True","True"
"string","2cd3ff1b-96b3-4ee0-b86a-0b635fdb7c08","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","True","True"
"string","2f09f15a-1c2d-43b8-bb8a-cf03ec7d3c05","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","True","True"
"string","c5932222-0d1a-4c0a-ba1d-554497cc2406","Adverse Event Pattern","BiomedicalConceptProperty","Adverse Event Pattern","BiomedicalConceptProperty_11","True","True"
"string","61324202-733d-45bb-b2f8-c274052d1748","Adverse Event Outcome","BiomedicalConceptProperty","Adverse Event Outcome","BiomedicalConceptProperty_12","True","True"
"datetime","29197bcd-62f2-40a2-9a41-34109ab7e199","Adverse Event Start Date Time","BiomedicalConceptProperty","Adverse Event Start Date Time","BiomedicalConceptProperty_13","True","True"
"datetime","2490d163-d17d-40ab-9333-150bc3fd09f7","Adverse Event End Date Time","BiomedicalConceptProperty","Adverse Event End Date Time","BiomedicalConceptProperty_14","True","True"
"decimal","3bf76335-0799-435b-876f-d38f5143efd8","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_15","True","True"
"string","e0c3203e-62af-4d62-b321-e92362d6917d","Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","BiomedicalConceptProperty_16","True","True"
"string","07ce653e-d526-409e-b6cd-6ff7a65ab981","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location","BiomedicalConceptProperty_17","True","True"
"string","ad36edb9-c660-47bd-a93c-6332ba1e154f","Vital Signs Laterality","BiomedicalConceptProperty","Vital Signs Laterality","BiomedicalConceptProperty_18","True","True"
"string","76874c66-01bf-417d-bc37-744c1971c9b0","Test Method","BiomedicalConceptProperty","Test Method","BiomedicalConceptProperty_19","True","True"
"string","f2e74a5e-c8bb-47e4-9424-f6b75a485357","Vital Signs Position","BiomedicalConceptProperty","Vital Signs Position","BiomedicalConceptProperty_20","True","True"
"decimal","c5bd914f-5612-4ceb-a013-56247fc206f4","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result","BiomedicalConceptProperty_21","True","True"
"string","f189ddf9-8b34-41bd-9349-3b6d21a769cd","Unit of Pressure","BiomedicalConceptProperty","Unit of Pressure","BiomedicalConceptProperty_22","True","True"
"string","8a8ced05-beb1-4a19-8c97-2b74d91e4711","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location","BiomedicalConceptProperty_23","True","True"
