"uuid:ID","name","instanceType","label","id","description"
"778b4a96-2436-43ab-8ac3-786299b8b6fe","E1","Encounter","Screening 1","Encounter_1","Screening encounter"
"77843f2b-c6b3-4734-9e32-68bddc4ed66e","E2","Encounter","Screening 2","Encounter_2","Screening encounter - Ambulatory ECG Placement"
"3d49eb22-9801-4e81-83e8-abf4a0320c52","E3","Encounter","Baseline","Encounter_3","Baseline encounter - Ambulatory ECG Removal"
"c11b621a-a5de-405e-9c24-dd29fd1ac2d3","E4","Encounter","Week 2","Encounter_4","Day 14"
"98e8fb25-0258-435b-b506-7a8b8ff2a077","E5","Encounter","Week 4","Encounter_5","Day 28"
"8f584df3-4af7-4c49-9657-173ba8351153","E7","Encounter","Week 6","Encounter_6","Day 42"
"2a503a6e-77e0-45a5-b03f-0e0d1be4df43","E8","Encounter","Week 8","Encounter_7","Day 56"
"02be7bc9-7622-4d2b-a7c8-c1447a235053","E9","Encounter","Week 12","Encounter_8","Day 84"
"ba18e43a-e3c6-43d8-ad44-131b58219fa0","E10","Encounter","Week 16","Encounter_9","Day 112"
"cf431fa1-a754-4403-bc08-673dfce8489b","E11","Encounter","Week 20","Encounter_10","Day 140"
"2b11fd9c-08f8-47c6-93e1-94d84370884a","E12","Encounter","Week 24","Encounter_11","Day 168"
"a6326d71-9534-4a4f-89fd-87191a6dafe1","E13","Encounter","Week 26","Encounter_12","Day 182"
