"uuid:ID","windowUpper","name","instanceType","label","id","window","description","windowLower","value"
"998e2c1e-9a7f-42ea-baa5-d3d489881b64","","TIM1","Timing","Screening","Timing_1","","Screening timing","","P2W"
"2fd12238-61f1-4911-83fd-579b97b96011","PT0H","TIM2","Timing","Pre dose","Timing_2","-4..0 hours","Pre dose timing","PT4H","P2D"
"39eb6fb3-79aa-4fc7-b8f6-3c2850289772","","TIM3","Timing","Dosing","Timing_3","","Dosing anchor","","P1D"
"d306271a-538b-4cd9-9937-b119f62574d9","P3D","TIM4","Timing","Week 2","Timing_4","-3..3 days","Week 2 timing","P3D","P2W"
"eb849c98-6981-4e88-8bd7-3c217354955e","P3D","TIM5","Timing","Week 4","Timing_5","-3..3 days","Week 4 timing","P3D","P4W"
"c3539b3b-cb9a-4b66-9c45-602550582c2e","P3D","TIM6","Timing","Week 6","Timing_6","-3..3 days","Week 6 timing","P3D","P6W"
"6ef2b022-4bb3-46e3-a2ca-5e09e10379a5","P3D","TIM7","Timing","Week 8","Timing_7","-3..3 days","Week 8 timing","P3D","P8W"
"2c9b3782-3508-4b85-bce8-0fae9e5b6933","P4D","TIM9","Timing","Week 12","Timing_9","-4..4 days","Week 12 timing","P4D","P12W"
"7cce6d55-51a9-4d4d-9d99-2694fe7191b5","P4D","TIM11","Timing","Week 16","Timing_11","-4..4 days","Week 16 timing","P4D","P16W"
"ce3848ab-f620-4ed0-9a51-363898ce4f47","P4D","TIM13","Timing","Week 20","Timing_13","-4..4 days","Week 20 timing","P4D","P20W"
"1ceeab8d-3612-441c-a3df-7782daa97918","P4D","TIM15","Timing","Week 24","Timing_15","-4..4 days","Week 24 timing","P4D","P24W"
"4c177df4-3172-464d-94b4-dfb501a65034","P3D","TIM16","Timing","Week 26","Timing_16","-3..3 days","Week 26 timing","P3D","P26W"
"d678fe7d-90bf-4725-a852-74c2e631be7f","","TIM8","Timing","Week 8 Home","Timing_8","","Week 8 at home timing","","P2W"
"6a509dae-ed8a-4d74-b0e0-8564d739c902","","TIM10","Timing","Week 12 Home","Timing_10","","Week 12 at home timing","","P2W"
"d3e1b6d2-de2c-4ae2-8344-7b4ce9af2d29","","TIM12","Timing","Week 16 Home","Timing_12","","Week 16 at home timing","","P2W"
"2bdfc9b8-e59c-4b9e-9780-ad578620b27c","","TIM14","Timing","Week 20 Home","Timing_14","","Week 20 at home timing","","P2W"
"ef16d593-bd6b-4393-a5f0-d4e8966ea9d3","","TIM17","Timing","Adverse Event","Timing_17","","Adverse Event","","P1D"
"115bd5b9-eb5c-47c5-8098-4c3e2783112d","","TIM18","Timing","Early Termination","Timing_18","","Early Termination","","P1D"
"a5d66da2-49ed-4351-9c76-b615d43cc630","","TIM19","Timing","Supine","Timing_19","","Supine","","PT0M"
"090d684f-8358-4362-bebb-b38738ab2d7f","","TIM20","Timing","VS while supine","Timing_20","","VS while supine","","PT5M"
"adfff743-db9e-44b4-8418-dd08224dfa8e","","TIM21","Timing","Standing","Timing_21","","Standing","","PT0M"
"a79d8060-a5ad-46d0-b68e-135fcd03a021","","TIM22","Timing","VS while standing","Timing_22","","VS while standing","","PT1M"
"66a3af86-e1b7-4d01-9369-182626c48402","","TIM23","Timing","Standing","Timing_23","","Standing","","PT0M"
"01a659da-9035-4229-bdc7-830084d0aaf2","","TIM24","Timing","VS while standing","Timing_24","","VS while standing","","PT2M"
