"uuid:ID","sectionNumber","name","instanceType","id","text","sectionTitle"
"7255d5ec-c071-4dbf-a541-9cbbdca785f5","0","ROOT","NarrativeContent","NarrativeContent_1","","Root"
"f861d8c7-ec1a-41b5-86a9-96670dbbc0ba","0","SECTION 0","NarrativeContent","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE"
"f56e2876-4be5-4d21-b4d3-ed08ba368d0e","1","SECTION 1","NarrativeContent","NarrativeContent_3","<div></div>","PROTOCOL SUMMARY"
"a8aa92a6-7f12-40d3-925d-8ded40907ed9","1.1","SECTION 1.1","NarrativeContent","NarrativeContent_4","<div></div>","Protocol Synopsis"
"c12751a6-67d6-4996-a933-2f64c30fabd2","1.2","SECTION 1.2","NarrativeContent","NarrativeContent_5","<div></div>","Trial Schema"
"fc13939c-612a-45f9-bf7a-7f737746a7bd","1.3","SECTION 1.3","NarrativeContent","NarrativeContent_6","<div></div>","Schedule of Activities"
"cb259b0e-043b-4208-ba9f-ecbf3b331a2b","2","SECTION 2","NarrativeContent","NarrativeContent_7","<div></div>","INTRODUCTION"
"0f410254-94fc-497a-a646-5da64d443937","2.1","SECTION 2.1","NarrativeContent","NarrativeContent_8","<div></div>","Purpose of Trial"
"0d37ff2a-b9cd-4e76-bea6-f09ebdcbf61e","2.2","SECTION 2.2","NarrativeContent","NarrativeContent_9","<div></div>","Summary of Benefits and Risks"
"8e28ce27-5c85-4f73-be6b-3922a9e7b78a","3","SECTION 3","NarrativeContent","NarrativeContent_10","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"a7b18b9d-9b01-41ee-9d57-db369e91b90f","3.1","SECTION 3.1","NarrativeContent","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives"
"3747b600-5201-481c-b3b3-dda9040005b1","4","SECTION 4","NarrativeContent","NarrativeContent_12","<div></div>","TRIAL DESIGN"
"e91998a2-ad36-48e1-900e-4613b200e6c9","4.1","SECTION 4.1","NarrativeContent","NarrativeContent_13","<div></div>","Description of Trial Design"
"92067c74-1b7e-4a16-9c0c-d075315268fc","4.1.1","SECTION 4.1.1","NarrativeContent","NarrativeContent_14","<div></div>","Participant Input into Design"
"f1c29ada-0f5d-4c35-9820-48b1f7618a3a","4.2","SECTION 4.2","NarrativeContent","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design"
