"uuid:ID","codeSystem","instanceType","id","codeSystemVersion","decode","code"
"150ff5a6-2d53-4af8-a680-cabd12f71790","http://www.cdisc.org","Code","Code_1","2023-09-29","Interventional Study","C98388"
"08f2bd39-fcf3-4335-b99b-35dec4046a62","http://www.cdisc.org","Code","Code_2","2023-09-29","Phase II Trial","C15601"
"b8fa3329-619e-4b7e-9407-e53f541c687e","http://www.cdisc.org","Code","Code_9","2023-09-29","Sponsor Approval Date","C132352"
"1a964eb1-82e6-436a-a59f-b7ea54c4d5a9","http://www.cdisc.org","Code","Code_10","2023-09-29","Global","C68846"
"b490443e-a5c9-4206-aaa3-61a20a45a3fd","http://www.cdisc.org","Code","Code_72","2023-09-29","IRB/IEC Feedback","C99904x3"
"6a1624ea-fafa-448f-bf16-ef345b7021ec","http://www.cdisc.org","Code","Code_73","2023-09-29","Other","C17649"
"2db15c2c-1669-4fbb-ba2d-07764afeaed7","http://www.cdisc.org","Code","Code_75","2023-09-29","Region","C41129"
"faba3860-1ed0-4412-bc10-501465ed2246","ISO 3166 1 alpha3","Code","Code_74","2020-08","Europe","150"
"44a09d0f-61e6-488c-8abd-8135f2bc66af","SPONSOR","Code","Code_4","12","Eli Lilly","PHARMA"
"3974c838-20e4-4725-913f-344279ed30e8","http://www.cdisc.org","Code","Code_76","2023-09-29","Clinical Study Sponsor","C70793"
"d1072d81-5313-4c63-bef3-242ee6bbee92","ISO 3166 1 alpha3","Code","Code_77","2020-08","Denmark","DNK"
"034dfee3-4f1f-47d3-b241-8fd2815b47e7","http://www.cdisc.org","Code","Code_78","2023-09-29","Study Registry","C93453"
"295e64e6-b8f9-4006-a051-6f66a089a70c","http://www.cdisc.org","Code","Code_136","2023-09-29","Treatment Study","C49656"
"80f6b302-c4a7-489d-977b-156e6a6cddc0","http://www.cdisc.org","Code","Code_137","2023-09-29","Efficacy Study","C49666"
"36d56cb4-3a65-4e07-a308-8325c782aedf","http://www.cdisc.org","Code","Code_138","2023-09-29","Safety Study","C49667"
"4b733fa4-4682-4bab-a44e-5b7e34f0887e","http://www.cdisc.org","Code","Code_139","2023-09-29","Pharmacokinetic Study","C49663"
"614a7670-65e4-4060-8bb6-18031d3fd5cb","SPONSOR","Code","Code_133","12","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ"
"fc0b19ee-52f8-44ff-829a-e7a7a6a1aae2","SNOMED","Code","Code_134","January 31, 2018","Alzheimer's disease","26929004"
"026fd02e-7879-4546-b6ee-3c8a171a14d0","http://www.cdisc.org","Code","Code_142","2023-09-29","EXTENSION","C99907x1"
"a095270d-fa0b-4da7-a8bc-614ea4fbb7ec","http://www.cdisc.org","Code","Code_143","2023-09-29","ADAPTIVE","C98704"
"2bd842c4-84da-4831-a99f-6f9c9d4aa630","http://www.cdisc.org","Code","Code_140","2023-09-29","Parallel Study","C82639"
"83b69287-65ef-4a8b-9a65-fd12dbc45e27","http://www.cdisc.org","Code","Code_82","2023-09-29","Visit","C25716"
"b16747db-916c-4325-82b7-a14847fa8d27","http://www.cdisc.org","Code","Code_83","2023-09-29","Clinic","C51282"
"3437daa9-6130-4b63-9959-bec86914c312","http://www.cdisc.org","Code","Code_84","2023-09-29","In Person","C175574"
"14634c85-38b3-40f5-afaf-31d51e452bac","http://www.cdisc.org","Code","Code_85","2023-09-29","Visit","C25716"
"af4c8816-670e-402d-a8de-bb7689b776c3","http://www.cdisc.org","Code","Code_86","2023-09-29","Clinic","C51282"
"209c71c1-edad-40c9-b8c0-ac38c14669a7","http://www.cdisc.org","Code","Code_87","2023-09-29","In Person","C175574"
"87d75903-7fd4-49a4-8272-97d53ee261ae","http://www.cdisc.org","Code","Code_88","2023-09-29","Visit","C25716"
"5b9d085a-affd-48f0-8323-02e6b81f0676","http://www.cdisc.org","Code","Code_89","2023-09-29","Clinic","C51282"
"e6a5172e-b31d-4f3b-ab55-15d543f64f32","http://www.cdisc.org","Code","Code_90","2023-09-29","In Person","C175574"
"26b872ac-fcbd-447a-a9a2-446c222a6fc5","http://www.cdisc.org","Code","Code_91","2023-09-29","Visit","C25716"
"8d973956-dd3b-4944-af81-d4703578e2e6","http://www.cdisc.org","Code","Code_92","2023-09-29","Clinic","C51282"
"0a1c9ad0-2ad5-4e46-80a2-4f045997b5d9","http://www.cdisc.org","Code","Code_93","2023-09-29","In Person","C175574"
"4db41a8e-93cf-44ad-a44e-808d92b9d650","http://www.cdisc.org","Code","Code_94","2023-09-29","Visit","C25716"
"63fc40a5-3257-48c2-b4cc-60c0a19eca4f","http://www.cdisc.org","Code","Code_95","2023-09-29","Clinic","C51282"
"6d82c2cd-11b3-47c2-897f-dd7b327660ff","http://www.cdisc.org","Code","Code_96","2023-09-29","In Person","C175574"
